"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2262.51934165906,60.2244,1,2262.51934165906
"junk2",2244.5347396319,59.7631,2,2243.25288084285
"junk3",2246.98990098478,60.2122,3,2244.42484402019
"junk4",2242.83402295216,59.707,4,2238.99574453296
"junk5",2239.0228601524,60.1245,5,2233.91676469025
"junk6",2243.026128065,60.0201,6,2236.63574023575
"HI_247",2286.35272928643,60.0199,7,2278.54059012031
"HI_251",2293.57890876973,59.9875,8,2284.44114419296
"HI_252",2267.09393014372,59.9114,9,2256.77723421588
"HI_253",2374.28542143578,60.1074,10,2362.13728681786
"HI_254",2288.20668020422,59.904,11,2275.20550588488
"HI_255",2282.10840825515,59.9544,12,2267.85333017974
"HI_256",2322.13817872006,60.223,13,2306.3233897617
"HI_257",2279.88210255776,59.9675,14,2263.07072006584
"HI_258",2338.34932238626,59.9786,15,2319.79099443082
"HI_259",2293.46135240535,60.0854,16,2273.97017943873
