Table of Measured Values
Task,T1492
Scope 1/1, Sample 1/16 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-72.5,21.8,NaN,,
0.0010,1,-72.4,21.8,0.0010,,
0.0025,2,-72.4,21.8,0.0015,,
0.0050,3,-72.4,21.8,0.0025,,
0.0090,4,-72.3,21.8,0.0035,,
0.0150,5,-72.2,21.8,0.0055,,
0.0235,6,-71.8,21.8,0.0075,,
0.0320,7,-71.0,21.8,0.0075,,
0.0395,8,-70.3,21.8,0.0075,,
0.0480,9,-69.3,21.8,0.0085,,
0.0565,10,-68.2,21.8,0.0075,,
0.0650,11,-67.2,21.8,0.0075,,
0.0735,12,-66.0,21.8,0.0075,,
0.0815,13,-64.7,21.8,0.0080,,
0.0895,14,-63.7,21.8,0.0080,,
0.0980,15,-62.1,21.8,0.0075,,
0.1060,16,-60.7,21.8,0.0075,,
0.1145,17,-59.1,21.8,0.0075,,
0.1230,18,-57.3,21.8,0.0075,,
0.1315,19,-56.0,21.8,0.0085,,
0.1390,20,-54.1,21.8,0.0075,,
0.1475,21,-52.2,21.8,0.0085,,
0.1560,22,-50.2,21.8,0.0075,,
0.1645,23,-48.1,21.8,0.0075,,
0.1725,24,-45.7,21.8,0.0075,,
0.1810,25,-43.2,21.8,0.0075,,
0.1890,26,-40.9,21.8,0.0080,,
0.1970,27,-38.1,21.8,0.0080,,
0.2055,28,-35.5,21.8,0.0075,,
0.2140,29,-32.2,21.8,0.0075,,
0.2225,30,-28.5,21.8,0.0075,,
0.2310,31,-25.3,21.8,0.0085,,
0.2385,32,-21.9,21.9,0.0075,,
0.2470,33,-17.4,21.9,0.0075,,
0.2555,34,-13.3,21.9,0.0075,,
0.2640,35,-9.6,21.9,0.0075,,
0.2720,36,-6.2,21.9,0.0075,,
0.2805,37,-3.5,21.9,0.0085,,
0.2880,38,-0.8,21.9,0.0075,,
0.2965,39,0.5,21.9,0.0085,,
0.3050,40,2.3,21.9,0.0075,,
0.3135,41,4.1,21.9,0.0075,,
0.3220,42,5.7,21.9,0.0075,,
0.3305,43,6.9,21.9,0.0075,,
0.3380,44,8.1,21.9,0.0075,,
0.3465,45,9.6,21.9,0.0085,,
0.3550,46,10.9,21.9,0.0075,,
