Task,T6224
Scope 1/1, Sample 1/30 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.1,18.7,NaN,,
0.0010,1,-68.1,18.7,0.0010,,
0.0025,2,-68.1,18.7,0.0015,,
0.0050,3,-68.1,18.7,0.0025,,
0.0090,4,-68.0,18.7,0.0035,,
0.0150,5,-68.0,18.7,0.0055,,
0.0235,6,-67.8,18.7,0.0075,,
0.0320,7,-67.6,18.7,0.0075,,
0.0405,8,-67.2,18.7,0.0075,,
0.0490,9,-66.6,18.7,0.0075,,
0.0565,10,-66.0,18.7,0.0070,,
0.0650,11,-65.4,18.7,0.0075,,
0.0730,12,-64.6,18.7,0.0075,,
0.0815,13,-63.6,18.7,0.0075,,
0.0900,14,-62.7,18.7,0.0075,,
0.0985,15,-61.7,18.7,0.0075,,
0.1060,16,-60.7,18.7,0.0070,,
0.1145,17,-59.4,18.7,0.0075,,
0.1230,18,-58.2,18.7,0.0075,,
0.1315,19,-56.9,18.7,0.0075,,
0.1400,20,-55.6,18.7,0.0075,,
0.1480,21,-54.1,18.7,0.0075,,
0.1565,22,-52.6,18.8,0.0070,,
0.1640,23,-51.2,18.8,0.0070,,
0.1725,24,-49.6,18.7,0.0075,,
0.1810,25,-47.8,18.7,0.0075,,
0.1895,26,-46.1,18.8,0.0075,,
0.1980,27,-44.2,18.7,0.0075,,
0.2065,28,-42.5,18.8,0.0075,,
0.2140,29,-40.5,18.7,0.0070,,
0.2225,30,-38.4,18.7,0.0075,,
0.2310,31,-36.1,18.8,0.0075,,
0.2390,32,-34.0,18.8,0.0075,,
0.2475,33,-31.8,18.8,0.0075,,
0.2560,34,-29.8,18.8,0.0075,,
0.2635,35,-27.6,18.8,0.0070,,
0.2720,36,-25.6,18.8,0.0075,,
0.2805,37,-23.7,18.8,0.0075,,
0.2890,38,-21.9,18.8,0.0075,,
0.2975,39,-20.2,18.8,0.0075,,
0.3060,40,-18.7,18.8,0.0075,,
0.3135,41,-17.2,18.8,0.0070,,
0.3220,42,-15.4,18.8,0.0075,,
0.3305,43,-14.4,18.8,0.0075,,
0.3385,44,-13.0,18.8,0.0075,,
0.3470,45,-11.7,18.8,0.0075,,
0.3555,46,-10.6,18.8,0.0075,,
0.3630,47,-9.4,18.8,0.0070,,
0.3715,48,-8.3,18.8,0.0075,,
0.3800,49,-7.1,18.8,0.0075,,
0.3885,50,-6.2,18.8,0.0075,,
0.3970,51,-5.1,18.8,0.0075,,
0.4050,52,-4.0,18.8,0.0065,,
0.4130,53,-3.0,18.8,0.0075,,
0.4210,54,-2.0,18.8,0.0075,,
0.4295,55,-1.0,18.8,0.0075,,
0.4380,56,0.0,18.8,0.0075,,
0.4465,57,0.3,18.8,0.0075,,
0.4550,58,1.2,18.8,0.0070,,
0.4625,59,2.3,18.8,0.0070,,
0.4710,60,3.3,18.8,0.0075,,
0.4795,61,4.0,18.8,0.0075,,
0.4880,62,4.9,18.8,0.0075,,
0.4960,63,5.6,18.8,0.0075,,
0.5045,64,6.3,18.8,0.0075,,
0.5120,65,7.0,18.8,0.0070,,
0.5205,66,7.8,18.8,0.0075,,
0.5290,67,8.8,18.8,0.0075,,
0.5375,68,9.7,18.8,0.0075,,
0.5460,69,10.6,18.8,0.0075,,
0.5545,70,11.5,18.8,0.0075,,
0.5620,71,12.3,18.8,0.0070,,
0.5705,72,13.2,18.8,0.0075,,
0.5785,73,14.0,18.8,0.0075,,
0.5870,74,14.8,18.8,0.0075,,
0.5955,75,15.6,18.8,0.0075,,
0.6040,76,16.5,18.8,0.0075,,
0.6125,77,17.2,18.8,0.0075,,
0.6200,78,18.0,18.8,0.0070,,
0.6285,79,18.8,18.8,0.0075,,
0.6370,80,19.7,18.8,0.0075,,
0.6455,81,20.4,18.8,0.0075,,
0.6535,82,21.3,18.8,0.0075,,
0.6620,83,22.1,18.8,0.0075,,
0.6695,84,22.9,18.8,0.0070,,
0.6780,85,23.7,18.8,0.0075,,
0.6865,86,24.5,18.8,0.0075,,
0.6950,87,25.4,18.8,0.0075,,
0.7035,88,26.2,18.8,0.0075,,
0.7120,89,27.1,18.8,0.0070,,
0.7195,90,27.9,18.8,0.0070,,
0.7280,91,28.7,18.8,0.0075,,
0.7365,92,29.5,18.8,0.0075,,
0.7445,93,30.4,18.8,0.0075,,
0.7530,94,31.2,18.8,0.0075,,
0.7615,95,32.0,18.8,0.0075,,
0.7690,96,32.9,18.8,0.0070,,
0.7775,97,33.8,18.8,0.0075,,
0.7860,98,34.6,18.8,0.0075,,
0.7945,99,35.5,18.8,0.0075,,
0.8030,100,36.5,18.8,0.0075,,
0.8115,101,37.2,18.8,0.0075,,
0.8190,102,38.1,18.8,0.0070,,
0.8275,103,39.0,18.8,0.0075,,
0.8355,104,39.8,18.8,0.0075,,
0.8440,105,40.7,18.8,0.0075,,
0.8525,106,41.6,18.8,0.0075,,
0.8610,107,42.4,18.8,0.0075,,
0.8685,108,43.2,18.8,0.0070,,
0.8770,109,44.2,18.8,0.0075,,
0.8855,110,45.2,18.8,0.0075,,
0.8940,111,46.1,18.8,0.0075,,
0.9025,112,47.0,18.8,0.0075,,
0.9100,113,47.9,18.8,0.0070,,
0.9185,114,48.9,18.8,0.0075,,
0.9270,115,49.8,18.8,0.0075,,
0.9350,116,50.7,18.8,0.0075,,
0.9435,117,51.6,18.8,0.0075,,
0.9520,118,52.6,18.8,0.0075,,
0.9605,119,53.4,18.8,0.0075,,
0.9680,120,54.4,18.8,0.0070,,
0.9765,121,55.4,18.8,0.0075,,
0.9850,122,56.4,18.8,0.0075,,
0.9935,123,57.3,18.8,0.0075,,
1.0015,124,58.3,18.8,0.0075,,
1.0100,125,59.3,18.8,0.0075,,
1.0175,126,60.3,18.8,0.0070,,
1.0260,127,61.3,18.8,0.0075,,
1.0345,128,62.4,18.8,0.0075,,
1.0430,129,63.4,18.8,0.0075,,
1.0515,130,64.5,18.8,0.0075,,
1.0600,131,65.5,18.8,0.0075,,
1.0675,132,66.4,18.8,0.0070,,
1.0760,133,67.4,18.8,0.0075,,
1.0840,134,68.4,18.8,0.0075,,
1.0925,135,69.6,18.8,0.0075,,
1.1010,136,70.7,18.8,0.0075,,
1.1095,137,71.9,18.8,0.0075,,
1.1170,138,72.9,18.8,0.0070,,
1.1255,139,74.1,18.8,0.0075,,
1.1340,140,75.4,18.8,0.0075,,
1.1425,141,76.6,18.8,0.0075,,
1.1510,142,77.8,18.8,0.0075,,
1.1590,143,79.0,18.8,0.0075,,
1.1675,144,80.3,18.8,0.0075,,
1.1750,145,81.5,18.8,0.0070,,
1.1835,146,82.8,18.8,0.0075,,
1.1920,147,84.1,18.8,0.0075,,
1.2005,148,85.4,18.8,0.0075,,
1.2090,149,86.8,18.8,0.0075,,
1.2175,150,88.0,18.8,0.0075,,
1.2250,151,89.4,18.8,0.0070,,
1.2335,152,90.9,18.8,0.0075,,
1.2420,153,92.4,18.8,0.0075,,
1.2500,154,94.0,18.8,0.0075,,
1.2585,155,95.7,18.8,0.0075,,
1.2670,156,97.2,18.8,0.0075,,
1.2745,157,99.0,18.8,0.0070,,
1.2830,158,100.9,18.8,0.0075,,
1.2915,159,102.8,18.8,0.0075,,
1.3000,160,104.9,18.8,0.0075,,
1.3085,161,107.2,18.8,0.0075,,
1.3160,162,109.2,18.8,0.0070,,
1.3245,163,111.4,18.8,0.0075,,
1.3330,164,114.0,18.8,0.0075,,
1.3415,165,116.8,18.8,0.0075,,
1.3495,166,119.9,18.8,0.0075,,
1.3580,167,123.0,18.8,0.0075,,
1.3655,168,126.0,18.8,0.0070,,
1.3740,169,129.4,18.8,0.0075,,
1.3825,170,132.8,18.8,0.0075,,
1.3910,171,136.4,18.8,0.0075,,
1.3995,172,140.3,18.8,0.0075,,
1.4080,173,144.2,18.8,0.0075,,
