"SampleID","TA","Mass","Sample.Index"
"junk1",2365.65392047479,60.0263,1
"junk2",2349.23176827436,60.4847,2
"29",1998.67078055926,60.025,3
"30",2018.93223185578,59.9043,4
"31",1992.03524624721,59.8089,5
"32",1892.38996384122,59.9924,6
"33",1988.65142492439,59.5352,7
"34",1976.82605271813,59.5706,8
"35",1983.65131492268,59.9922,9
"36",1940.30808724659,60.3778,10
"37",1907.99208326792,59.934,11
"38",2063.74990457679,60.1307,12
"39",1986.35587935246,60.1073,13
"40",1947.27619899635,60.4858,14
"41",1956.060658308,59.9546,15
"42",1965.73233859896,60.1081,16
"43",1957.96788853596,59.8228,17
"44",2021.56502987586,60.3442,18
"45",1991.96113076723,59.738,19
"46",1858.04959098996,59.7909,20
"47",1981.52407118603,60.0997,21
"48",2165.92609040215,59.6785,22
"49",1952.00907911407,59.8047,23
"50",1891.01828641848,60.4034,24
"51",1958.64238837353,59.816,25
"52",1945.2129552142,59.9343,26
"53",2021.36117905427,59.6347,27
"54",2082.87287214337,60.1286,28
"55",2152.59401271299,60.1888,29
"56",2004.57302035026,60.2988,30
