Task,T6269
Scope 1/1, Sample 1/4 (junk 1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-72.3,16.7,NaN,,
0.0005,1,-72.1,16.7,0.0005,,
0.0025,2,-72.2,16.7,0.0020,,
0.0050,3,-72.1,16.7,0.0025,,
0.0090,4,-72.2,16.7,0.0035,,
0.0150,5,-72.2,16.7,0.0055,,
0.0235,6,-72.1,16.7,0.0075,,
0.0310,7,-71.9,16.7,0.0075,,
0.0395,8,-71.6,16.7,0.0085,,
0.0480,9,-71.2,16.7,0.0085,,
0.0565,10,-70.7,16.7,0.0075,,
0.0650,11,-70.3,16.7,0.0075,,
0.0730,12,-69.5,16.7,0.0075,,
0.0815,13,-68.7,16.7,0.0075,,
0.0890,14,-67.8,16.7,0.0075,,
0.0975,15,-66.7,16.7,0.0085,,
0.1060,16,-65.7,16.7,0.0075,,
0.1145,17,-64.6,16.7,0.0075,,
0.1230,18,-63.4,16.7,0.0075,,
0.1315,19,-62.4,16.7,0.0085,,
0.1390,20,-61.0,16.7,0.0075,,
0.1475,21,-59.6,16.7,0.0085,,
0.1560,22,-57.9,16.7,0.0075,,
0.1640,23,-56.5,16.7,0.0075,,
0.1725,24,-54.9,16.7,0.0075,,
0.1810,25,-53.5,16.7,0.0085,,
0.1885,26,-51.7,16.7,0.0075,,
0.1970,27,-49.7,16.7,0.0085,,
0.2055,28,-47.9,16.7,0.0075,,
0.2140,29,-45.9,16.7,0.0075,,
0.2225,30,-43.9,16.7,0.0075,,
0.2310,31,-42.2,16.7,0.0085,,
0.2385,32,-39.8,16.7,0.0075,,
0.2470,33,-37.6,16.7,0.0085,,
0.2555,34,-35.4,16.7,0.0075,,
0.2635,35,-33.2,16.7,0.0075,,
0.2720,36,-31.1,16.7,0.0075,,
0.2805,37,-29.2,16.7,0.0085,,
0.2880,38,-27.2,16.7,0.0075,,
0.2965,39,-25.3,16.7,0.0085,,
0.3050,40,-23.5,16.7,0.0075,,
0.3135,41,-21.9,16.7,0.0075,,
0.3220,42,-20.4,16.7,0.0075,,
0.3300,43,-19.0,16.7,0.0075,,
0.3380,44,-17.5,16.7,0.0080,,
0.3460,45,-16.2,16.7,0.0080,,
0.3545,46,-15.0,16.7,0.0075,,
0.3630,47,-13.8,16.7,0.0075,,
0.3715,48,-12.6,16.7,0.0075,,
0.3800,49,-11.4,16.7,0.0075,,
0.3875,50,-10.4,16.7,0.0075,,
0.3960,51,-9.3,16.7,0.0085,,
0.4045,52,-8.3,16.7,0.0085,,
0.4125,53,-7.2,16.7,0.0075,,
0.4210,54,-6.2,16.7,0.0075,,
0.4295,55,-5.2,16.7,0.0075,,
0.4380,56,-4.0,16.7,0.0085,,
0.4455,57,-3.1,16.7,0.0075,,
0.4540,58,-1.9,16.7,0.0085,,
0.4625,59,-1.0,16.7,0.0075,,
0.4710,60,0.0,16.7,0.0075,,
0.4795,61,0.6,16.7,0.0075,,
0.4870,62,1.1,16.7,0.0075,,
0.4955,63,2.3,16.7,0.0085,,
0.5035,64,3.3,16.7,0.0080,,
0.5120,65,4.0,16.7,0.0075,,
0.5205,66,4.8,16.7,0.0075,,
0.5290,67,5.5,16.7,0.0075,,
0.5375,68,6.0,16.7,0.0085,,
0.5450,69,6.8,16.7,0.0075,,
0.5535,70,7.6,16.7,0.0085,,
0.5620,71,8.7,16.7,0.0075,,
0.5705,72,9.6,16.7,0.0075,,
0.5785,73,10.5,16.7,0.0075,,
0.5870,74,11.5,16.7,0.0085,,
0.5945,75,12.3,16.7,0.0075,,
0.6030,76,13.0,16.7,0.0085,,
0.6115,77,13.8,16.7,0.0075,,
0.6200,78,14.5,16.7,0.0075,,
0.6285,79,15.3,16.7,0.0075,,
0.6360,80,16.3,16.7,0.0075,,
0.6445,81,17.1,16.7,0.0085,,
0.6530,82,17.9,16.7,0.0085,,
0.6615,83,18.8,16.7,0.0075,,
0.6695,84,19.5,16.7,0.0075,,
0.6780,85,20.1,16.7,0.0075,,
0.6855,86,21.0,16.7,0.0075,,
0.6940,87,21.7,16.7,0.0085,,
0.7025,88,22.4,16.7,0.0085,,
0.7110,89,23.3,16.7,0.0075,,
0.7195,90,24.2,16.7,0.0075,,
0.7280,91,25.0,16.7,0.0075,,
0.7355,92,25.8,16.7,0.0075,,
0.7440,93,26.8,16.7,0.0075,,
0.7525,94,27.5,16.7,0.0085,,
0.7605,95,28.2,16.7,0.0075,,
0.7690,96,29.1,16.7,0.0075,,
0.7775,97,30.0,16.7,0.0075,,
0.7860,98,30.8,16.7,0.0085,,
0.7935,99,31.6,16.7,0.0075,,
0.8020,100,32.6,16.7,0.0085,,
0.8105,101,33.3,16.7,0.0075,,
0.8190,102,34.2,16.7,0.0075,,
0.8275,103,35.1,16.7,0.0075,,
0.8355,104,35.8,16.7,0.0080,,
0.8435,105,36.7,16.7,0.0080,,
0.8515,106,37.6,16.7,0.0080,,
0.8600,107,38.5,16.7,0.0075,,
0.8685,108,39.3,16.7,0.0075,,
0.8770,109,40.3,16.7,0.0075,,
0.8855,110,41.1,16.7,0.0085,,
0.8930,111,42.0,16.7,0.0075,,
0.9015,112,42.9,16.7,0.0085,,
0.9100,113,43.7,16.7,0.0075,,
0.9185,114,44.4,16.7,0.0075,,
0.9265,115,45.6,16.7,0.0075,,
0.9350,116,46.4,16.7,0.0075,,
0.9425,117,47.1,16.7,0.0075,,
0.9510,118,48.0,16.7,0.0085,,
0.9595,119,48.8,16.7,0.0075,,
0.9680,120,49.7,16.7,0.0075,,
0.9765,121,50.8,16.7,0.0075,,
0.9850,122,51.7,16.7,0.0075,,
0.9925,123,52.4,16.7,0.0075,,
1.0010,124,53.4,16.7,0.0085,,
1.0090,125,54.3,16.7,0.0075,,
1.0175,126,55.3,16.7,0.0075,,
1.0260,127,56.2,16.7,0.0075,,
1.0345,128,57.2,16.7,0.0075,,
1.0420,129,57.9,16.7,0.0075,,
1.0505,130,59.0,16.7,0.0085,,
1.0590,131,60.1,16.7,0.0075,,
1.0675,132,61.1,16.7,0.0075,,
1.0760,133,62.2,16.7,0.0075,,
1.0840,134,63.1,16.7,0.0075,,
1.0920,135,64.1,16.7,0.0080,,
1.1000,136,65.4,16.7,0.0080,,
1.1085,137,66.4,16.7,0.0085,,
1.1170,138,67.6,16.7,0.0075,,
1.1255,139,68.9,16.7,0.0075,,
1.1340,140,70.1,16.7,0.0075,,
1.1415,141,71.3,16.7,0.0075,,
1.1500,142,72.6,16.7,0.0085,,
1.1585,143,73.9,16.7,0.0085,,
1.1665,144,75.2,16.7,0.0075,,
1.1750,145,76.7,16.7,0.0075,,
1.1835,146,78.0,16.7,0.0075,,
1.1910,147,79.4,16.7,0.0075,,
1.1995,148,80.9,16.7,0.0085,,
1.2080,149,82.5,16.7,0.0085,,
1.2165,150,84.4,16.7,0.0075,,
1.2250,151,86.1,16.7,0.0075,,
1.2335,152,88.0,16.7,0.0075,,
1.2415,153,89.9,16.7,0.0080,,
1.2495,154,91.8,16.7,0.0080,,
1.2580,155,94.1,16.7,0.0085,,
1.2660,156,96.6,16.7,0.0075,,
1.2745,157,99.1,16.7,0.0075,,
1.2830,158,101.6,16.7,0.0075,,
1.2905,159,104.2,16.7,0.0075,,
1.2990,160,107.2,16.7,0.0085,,
1.3075,161,110.3,16.7,0.0085,,
1.3160,162,114.1,16.7,0.0075,,
1.3245,163,117.8,16.7,0.0075,,
1.3330,164,121.7,16.7,0.0075,,
1.3405,165,125.3,16.7,0.0075,,
1.3490,166,129.4,16.7,0.0085,,
1.3570,167,133.7,16.7,0.0080,,
1.3655,168,138.0,16.7,0.0075,,
1.3740,169,142.3,16.7,0.0075,,
1.3825,170,146.7,16.7,0.0075,,
1.3910,171,151.3,16.7,0.0075,,
1.3985,172,154.9,16.7,0.0070,,
1.4070,173,158.3,16.7,0.0085,,
1.4155,174,161.5,16.7,0.0075,,
1.4235,175,164.6,16.7,0.0075,,
1.4320,176,167.4,16.7,0.0075,,
1.4405,177,169.9,16.7,0.0075,,
1.4480,178,172.2,16.7,0.0075,,
1.4565,179,174.4,16.7,0.0085,,
1.4650,180,176.3,16.7,0.0075,,
1.4735,181,178.1,16.7,0.0075,,
1.4820,182,179.6,16.7,0.0075,,
1.4905,183,181.2,16.7,0.0075,,
1.4980,184,182.7,16.7,0.0075,,
1.5060,185,183.9,16.7,0.0080,,
1.5165,186,185.1,16.7,0.0080,,
1.5165,426,189.9,16.8,0.0000,,
1.5170,427,190.1,16.8,0.0005,,
1.5185,428,190.1,16.8,0.0010,,
1.5210,430,190.1,16.8,0.0015,,
1.5255,430,190.1,16.8,0.0090,,
1.5315,432,190.1,16.8,0.0040,,
1.5400,432,190.4,16.8,0.0210,,
1.5475,433,191.0,16.8,0.0055,,
1.5560,434,191.7,16.8,0.0060,,
1.5645,436,192.5,16.8,0.0055,,
1.5730,436,193.5,16.8,0.0170,,
1.5815,438,194.3,16.8,0.0055,,
1.5895,438,195.2,16.8,0.0200,,
1.5975,439,196.0,16.8,0.0055,,
1.6055,440,196.7,16.8,0.0055,,
1.6140,442,197.6,16.8,0.0055,,
1.6225,442,198.4,16.8,0.0170,,
1.6310,444,199.1,16.8,0.0055,,
1.6395,444,199.9,16.8,0.0170,,
1.6470,445,200.8,16.8,0.0055,,
1.6555,446,201.5,16.8,0.0060,,
1.6640,448,202.1,16.8,0.0055,,
1.6725,448,202.7,16.8,0.0170,,
1.6805,450,203.2,16.8,0.0055,,
1.6890,450,204.0,16.8,0.0170,,
1.6965,451,204.6,16.8,0.0055,,
1.7050,452,205.3,16.8,0.0060,,
1.7135,453,206.0,16.8,0.0060,,
1.7220,454,206.5,16.8,0.0055,,
1.7305,456,207.1,16.8,0.0055,,
1.7390,456,207.7,16.8,0.0170,,
1.7465,457,208.1,16.8,0.0055,,
1.7550,458,208.7,16.8,0.0060,,
1.7635,459,209.1,16.8,0.0060,,
1.7715,460,209.6,16.8,0.0055,,
1.7800,462,210.2,16.8,0.0055,,
1.7885,462,210.6,16.8,0.0170,,
1.7960,463,210.9,16.8,0.0055,,
1.8045,464,211.4,16.8,0.0060,,
1.8130,465,211.9,16.8,0.0060,,
1.8215,466,212.4,16.8,0.0055,,
1.8300,468,212.9,16.8,0.0055,,
1.8380,468,213.2,16.8,0.0160,,
1.8460,469,213.5,16.8,0.0055,,
1.8540,470,213.9,16.8,0.0055,,
1.8625,471,214.3,16.8,0.0060,,
1.8710,472,214.8,16.8,0.0055,,
1.8795,474,215.2,16.8,0.0055,,
1.8880,474,215.6,16.8,0.0170,,
1.8955,475,216.1,16.8,0.0055,,
1.9040,476,216.6,16.8,0.0060,,
1.9125,477,216.8,16.8,0.0060,,
1.9210,478,217.2,16.8,0.0055,,
1.9295,480,217.5,16.8,0.0055,,
1.9375,480,217.7,16.8,0.0160,,
1.9455,481,218.1,16.8,0.0055,,
1.9535,482,218.6,16.8,0.0055,,
1.9620,483,218.9,16.8,0.0060,,
1.9705,484,219.3,16.8,0.0055,,
1.9790,486,219.7,16.8,0.0055,,
1.9875,486,220.0,16.8,0.0170,,
1.9950,487,220.3,16.8,0.0055,,
2.0035,488,220.4,16.8,0.0060,,
2.0120,489,220.8,16.8,0.0060,,
2.0205,490,221.4,16.8,0.0055,,
2.0285,492,221.6,16.8,0.0055,,
2.0370,492,221.8,16.8,0.0170,,
2.0445,493,222.2,16.8,0.0055,,
2.0530,494,222.6,16.8,0.0060,,
2.0615,495,222.8,16.8,0.0060,,
2.0700,496,223.0,16.8,0.0055,,
2.0785,498,223.2,16.8,0.0055,,
2.0870,498,223.6,16.8,0.0170,,
2.0945,499,223.7,16.8,0.0055,,
2.1030,500,224.0,16.8,0.0060,,
2.1115,501,224.4,16.8,0.0060,,
2.1195,502,224.7,16.8,0.0055,,
2.1280,504,224.9,16.8,0.0055,,
2.1365,504,225.2,16.8,0.0170,,
2.1440,505,225.4,16.8,0.0055,,
2.1525,506,225.7,16.8,0.0060,,
2.1610,507,226.0,16.8,0.0060,,
2.1695,508,226.3,16.8,0.0055,,
2.1780,510,226.5,16.8,0.0055,,
2.1865,510,226.7,16.8,0.0170,,
2.1940,511,227.0,16.8,0.0055,,
2.2025,512,227.3,16.8,0.0060,,
2.2105,513,227.5,16.8,0.0055,,
2.2190,514,227.8,16.8,0.0055,,
2.2275,516,228.0,16.8,0.0055,,
2.2360,516,228.2,16.8,0.0170,,
2.2435,517,228.4,16.8,0.0055,,
2.2520,518,228.8,16.8,0.0060,,
2.2605,519,228.9,16.8,0.0060,,
2.2690,520,229.2,16.8,0.0055,,
2.2770,522,229.4,16.8,0.0055,,
2.2855,522,229.6,16.8,0.0170,,
2.2940,523,229.7,16.8,0.0060,,
2.3015,524,230.0,16.8,0.0055,,
2.3100,525,230.2,16.8,0.0060,,
2.3185,526,230.4,16.8,0.0055,,
2.3270,528,230.6,16.8,0.0055,,
2.3355,528,230.8,16.8,0.0170,,
2.3440,530,230.9,16.8,0.0055,,
2.3515,530,231.1,16.8,0.0185,,
2.3600,531,231.5,16.8,0.0060,,
2.3680,532,231.7,16.8,0.0055,,
2.3765,534,231.8,16.8,0.0055,,
2.3850,534,232.0,16.8,0.0170,,
2.3925,535,232.2,16.8,0.0055,,
2.4010,536,232.3,16.8,0.0060,,
2.4095,537,232.6,16.8,0.0060,,
2.4180,538,232.7,16.8,0.0055,,
2.4265,540,233.0,16.8,0.0055,,
2.4350,540,233.1,16.8,0.0170,,
2.4425,541,233.3,16.8,0.0055,,
2.4510,542,233.4,16.8,0.0060,,
2.4595,543,233.5,16.8,0.0060,,
2.4675,544,233.8,16.8,0.0055,,
2.4760,546,234.0,16.8,0.0055,,
2.4820,546,234.0,16.8,0.0120,,
2.4830,547,234.2,16.8,0.0005,,
2.4830,548,234.4,16.8,0.0000,,
2.4835,549,234.4,16.8,0.0005,,
2.4845,550,234.4,16.8,0.0005,,
2.4850,552,234.6,16.8,0.0005,,
2.4865,552,234.6,16.8,0.0030,,
2.4875,553,234.6,16.8,0.0005,,
2.4885,554,234.6,16.8,0.0005,,
2.4895,555,234.6,16.8,0.0005,,
2.4900,556,234.7,16.8,0.0005,,
2.4905,558,234.7,16.8,0.0005,,
2.4920,558,234.7,16.8,0.0030,,
2.4935,560,235.0,16.8,0.0010,,
Scope 1/1, Sample 2/4 (junk 2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-67.6,16.6,NaN,,
0.0005,1,-67.4,16.6,0.0005,,
0.0025,2,-67.3,16.6,0.0020,,
0.0050,3,-67.3,16.6,0.0025,,
0.0085,4,-67.3,16.6,0.0030,,
0.0150,5,-67.3,16.6,0.0060,,
0.0230,6,-67.3,16.6,0.0075,,
0.0305,7,-67.0,16.6,0.0075,,
0.0390,8,-66.5,16.6,0.0085,,
0.0475,9,-65.9,16.6,0.0075,,
0.0560,10,-65.2,16.6,0.0075,,
0.0645,11,-64.3,16.6,0.0075,,
0.0730,12,-63.3,16.6,0.0075,,
0.0805,13,-62.4,16.6,0.0075,,
0.0890,14,-61.2,16.6,0.0085,,
0.0975,15,-60.0,16.6,0.0075,,
0.1055,16,-58.8,16.6,0.0075,,
0.1140,17,-57.4,16.6,0.0075,,
0.1225,18,-56.0,16.6,0.0075,,
0.1300,19,-54.6,16.6,0.0075,,
0.1385,20,-53.1,16.6,0.0085,,
0.1470,21,-51.3,16.6,0.0085,,
0.1555,22,-49.7,16.6,0.0075,,
0.1640,23,-48.0,16.6,0.0075,,
0.1720,24,-46.1,16.6,0.0075,,
0.1805,25,-44.3,16.6,0.0085,,
0.1880,26,-42.3,16.6,0.0075,,
0.1965,27,-40.2,16.6,0.0085,,
0.2050,28,-38.0,16.6,0.0075,,
0.2135,29,-35.9,16.6,0.0075,,
0.2220,30,-33.8,16.6,0.0075,,
0.2305,31,-31.7,16.6,0.0075,,
0.2380,32,-29.8,16.6,0.0075,,
0.2465,33,-27.8,16.6,0.0085,,
0.2550,34,-25.9,16.6,0.0075,,
0.2630,35,-24.0,16.6,0.0075,,
0.2715,36,-22.2,16.6,0.0075,,
0.2800,37,-20.6,16.6,0.0085,,
0.2875,38,-19.1,16.6,0.0075,,
0.2960,39,-17.6,16.6,0.0085,,
0.3045,40,-16.1,16.6,0.0075,,
0.3130,41,-14.7,16.6,0.0075,,
0.3215,42,-13.5,16.6,0.0075,,
0.3300,43,-12.2,16.6,0.0075,,
0.3375,44,-11.0,16.6,0.0075,,
0.3460,45,-9.8,16.6,0.0085,,
0.3540,46,-8.7,16.6,0.0075,,
0.3625,47,-7.6,16.6,0.0075,,
0.3710,48,-6.7,16.6,0.0075,,
0.3795,49,-5.6,16.6,0.0075,,
0.3870,50,-4.8,16.6,0.0075,,
0.3955,51,-3.7,16.6,0.0085,,
0.4040,52,-2.6,16.6,0.0075,,
0.4125,53,-1.5,16.6,0.0075,,
0.4210,54,-0.4,16.6,0.0075,,
0.4290,55,0.2,16.6,0.0080,,
0.4370,56,0.5,16.6,0.0080,,
0.4450,57,1.4,16.6,0.0080,,
0.4535,58,2.4,16.6,0.0075,,
0.4620,59,3.8,16.6,0.0075,,
0.4705,60,4.3,16.6,0.0075,,
0.4790,61,5.0,16.6,0.0075,,
0.4865,62,5.7,16.6,0.0075,,
0.4950,63,6.3,16.6,0.0085,,
0.5035,64,7.2,16.6,0.0075,,
0.5115,65,7.8,16.6,0.0075,,
0.5200,66,8.6,16.6,0.0075,,
0.5285,67,9.6,16.6,0.0075,,
0.5360,68,10.4,16.6,0.0075,,
0.5445,69,11.3,16.6,0.0085,,
0.5530,70,12.2,16.6,0.0075,,
0.5615,71,13.0,16.6,0.0075,,
0.5700,72,13.8,16.6,0.0075,,
0.5785,73,14.6,16.6,0.0075,,
0.5860,74,15.3,16.6,0.0075,,
0.5945,75,16.2,16.6,0.0085,,
0.6025,76,16.9,16.6,0.0080,,
0.6110,77,17.7,16.6,0.0075,,
0.6195,78,18.4,16.6,0.0075,,
0.6280,79,19.2,16.6,0.0075,,
0.6355,80,19.9,16.6,0.0075,,
0.6440,81,20.8,16.6,0.0085,,
0.6525,82,21.6,16.6,0.0085,,
0.6610,83,22.4,16.6,0.0075,,
0.6690,84,23.2,16.6,0.0075,,
0.6775,85,24.0,16.6,0.0075,,
0.6860,86,24.8,16.6,0.0075,,
0.6935,87,25.5,16.6,0.0075,,
0.7020,88,26.2,16.6,0.0085,,
0.7105,89,27.0,16.6,0.0075,,
0.7190,90,27.7,16.6,0.0075,,
0.7275,91,28.6,16.6,0.0075,,
