Task,T5424
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-54.7,21.0,NaN,,
0.0010,1,-57.0,21.0,0.0010,,
0.0025,2,-57.4,21.0,0.0015,,
0.0050,3,-57.6,21.0,0.0025,,
0.0090,4,-58.0,21.0,0.0035,,
0.0150,5,-58.2,21.0,0.0055,,
0.0235,6,-58.6,21.0,0.0075,,
0.0320,7,-58.8,21.0,0.0075,,
0.0405,8,-59.0,21.0,0.0075,,
0.0490,9,-59.1,21.0,0.0070,,
0.0565,10,-59.3,21.0,0.0070,,
0.0650,11,-59.1,21.0,0.0075,,
0.0730,12,-59.2,21.0,0.0075,,
0.0815,13,-59.1,21.0,0.0075,,
0.0900,14,-59.0,21.0,0.0075,,
0.0985,15,-58.8,21.0,0.0075,,
0.1060,16,-58.6,21.0,0.0070,,
0.1145,17,-58.2,21.0,0.0075,,
0.1230,18,-57.7,21.0,0.0075,,
0.1315,19,-57.4,21.0,0.0075,,
0.1400,20,-56.9,21.0,0.0075,,
0.1485,21,-56.5,21.0,0.0070,,
0.1560,22,-56.0,21.0,0.0070,,
0.1645,23,-55.6,21.0,0.0075,,
0.1725,24,-55.0,21.0,0.0075,,
0.1810,25,-54.5,21.0,0.0075,,
0.1895,26,-53.9,21.0,0.0075,,
0.1980,27,-53.2,21.0,0.0070,,
0.2055,28,-52.5,21.0,0.0070,,
0.2140,29,-51.9,21.0,0.0075,,
0.2225,30,-51.1,21.0,0.0075,,
0.2310,31,-50.4,21.0,0.0075,,
0.2395,32,-49.6,21.0,0.0075,,
0.2475,33,-49.0,21.0,0.0065,,
0.2555,34,-48.4,21.0,0.0075,,
0.2640,35,-47.8,21.0,0.0075,,
0.2720,36,-47.0,21.0,0.0075,,
0.2805,37,-46.3,21.0,0.0075,,
0.2890,38,-45.6,21.0,0.0075,,
0.2975,39,-45.0,21.0,0.0070,,
0.3050,40,-44.4,21.0,0.0070,,
0.3135,41,-43.8,21.0,0.0075,,
0.3220,42,-43.2,21.0,0.0075,,
0.3305,43,-42.5,21.0,0.0075,,
0.3390,44,-42.0,21.0,0.0075,,
0.3470,45,-41.3,21.0,0.0065,,
0.3550,46,-40.8,21.0,0.0075,,
0.3630,47,-40.1,21.0,0.0075,,
0.3715,48,-39.5,21.0,0.0075,,
0.3800,49,-38.8,21.0,0.0075,,
0.3885,50,-38.1,21.0,0.0075,,
0.3970,51,-37.7,21.0,0.0075,,
0.4045,52,-37.1,21.0,0.0070,,
0.4130,53,-36.7,21.0,0.0075,,
0.4215,54,-36.1,21.0,0.0075,,
0.4300,55,-35.7,21.0,0.0075,,
0.4380,56,-35.1,21.0,0.0075,,
0.4465,57,-34.7,21.0,0.0075,,
0.4545,58,-34.2,21.0,0.0075,,
0.4625,59,-33.7,21.0,0.0075,,
0.4710,60,-33.2,21.0,0.0075,,
0.4795,61,-32.7,21.0,0.0075,,
0.4880,62,-32.2,21.0,0.0075,,
0.4965,63,-31.7,21.0,0.0075,,
0.5040,64,-31.2,21.0,0.0070,,
0.5125,65,-30.7,21.0,0.0075,,
0.5210,66,-30.3,21.0,0.0075,,
0.5290,67,-29.9,21.0,0.0075,,
0.5375,68,-29.5,21.0,0.0075,,
0.5460,69,-29.0,21.0,0.0075,,
0.5535,70,-28.5,21.0,0.0070,,
0.5620,71,-28.0,21.0,0.0075,,
0.5705,72,-27.6,21.0,0.0075,,
0.5790,73,-27.1,21.0,0.0075,,
0.5875,74,-26.5,21.0,0.0075,,
0.5960,75,-26.2,21.0,0.0075,,
0.6035,76,-25.6,21.0,0.0070,,
0.6120,77,-25.1,21.0,0.0075,,
0.6205,78,-24.7,21.0,0.0075,,
0.6285,79,-24.3,21.0,0.0075,,
0.6370,80,-23.8,21.0,0.0075,,
0.6455,81,-23.5,21.0,0.0075,,
0.6530,82,-23.0,21.0,0.0070,,
0.6615,83,-22.6,21.0,0.0075,,
0.6700,84,-22.0,21.0,0.0075,,
0.6785,85,-21.4,21.0,0.0075,,
0.6870,86,-21.0,21.0,0.0075,,
0.6955,87,-20.6,21.0,0.0075,,
0.7030,88,-20.2,21.0,0.0070,,
0.7115,89,-19.7,21.0,0.0075,,
0.7195,90,-19.4,21.0,0.0075,,
0.7280,91,-18.9,21.0,0.0070,,
