"SampleID","TA","Mass","Sample.Index"
"junk1",2237.26395161833,60.4548,1
"junk2",2319.98761295937,59.7177,2
"P4_Dusk_10-24",2220.23167668104,59.6118,3
"HC_OO_Dusk_A_10-25",2183.6892055605,60.1565,4
"HC_OO_Dusk_B_10-25",2180.80754823788,60.4211,5
"HC_OO_Dusk_C_10-25",2253.81935415198,60.4831,6
"OO_Dusk_10-25",2250.83703166563,60.309,7
"M1_Dusk_10-25",2204.32294502217,60.3642,8
"M4_Dusk_10-25",2221.90225306254,59.9431,9
"M6_Dusk_10-25",2198.05748652228,60.4903,10
"HC_OO_Dusk_A_10-26",2215.42142810875,59.7453,11
"HC_OO_Dusk_B_10-26",2181.37020789871,60.222,12
"HC_OO_Dusk_C_10-26",2262.08260449147,59.683,13
"M2_Dusk_10-26",2131.04000643137,59.9508,14
"M6_Dusk_10-26",2175.09227029374,59.8601,15
"B6_Dusk_10-26",2192.9497172766,60.0637,16
"P2_Dusk_10-26",2217.49099504834,59.7376,17
"P4_Dusk_10-26",2165.44570123206,60.0802,18
"HC_OO_Dusk_A_10-27",2227.16688901848,59.6126,19
"HC_OO_Dusk_B_10-27",2237.07358607819,59.6951,20
"HC_OO_C_Dusk_C_10-27",2199.33672386522,60.307,21
"SAS_OO_Dusk_10-27",2225.13467978792,59.9587,22
"M3_Dusk_10-27",2201.38347498817,60.2367,23
"P3_Dusk_10-27",2212.02590746033,59.6593,24
"B6_Dusk_10-27",2192.43714172831,60.4701,25
"HC_OO_Dawn_A_10-29",2215.95281167686,60.1831,26
"HC_OO_Dawn_B_10-29",2175.14803611512,59.9045,27
"HC_OO_Dawn_C_10-29",2214.14932658458,60.0125,28
"OO_Dawn_10-29",2248.43272117718,59.7566,29
"RW2_Dawn_10-29",2217.24710924346,59.7647,30
"RW6_Dawn_10-29",2218.00134537012,59.9412,31
"M2_Dawn_10-29",2175.36278709304,60.4907,32
