"SampleID","TA","Mass","Sample.Index"
"junk1",2409.26319954068,60.2956,1
"junk2",2364.98725401576,60.2526,2
"B1_Dawn_11-3",2196.26361145809,60.0502,3
"RW3_Dawn_11-3",2204.37648182487,59.6595,4
"RW1_Dawn_11-3",2216.73788562309,59.9495,5
"HC_OO_A_Dawn_11-3",2221.14949514685,60.0099,6
"HC_OO_B_Dawn_11-3",2225.51894653275,59.9048,7
"HC_OO_C_Dawn_11-3",2217.26854346428,59.5338,8
"RW5_Dawn_11-2",2185.98058752279,60.26,9
"RW1_Dawn_11-2",2189.91194593225,60.3552,10
"HC_OO_Dawn_A_11-2",2215.17301106716,60.3229,11
"HC_OO_Dawn_B_11-2",2208.12975630936,59.9185,12
"CRM",2227.18762914755,59.9515,13
