"SampleID","TA","Mass","Sample.Index"
"junk1",2352.00209318853,59.9582,1
"junk2",2317.86025565029,59.9897,2
"m2dusk0505",2201.72485391525,59.9678,3
"oohcdusk0427",2225.87252247841,60.4581,4
"b3dusk0427",2193.85606182481,60.1481,5
"p1dusk0427",2203.69896482499,59.5576,6
"m4dusk427",2227.6854207219,60.2514,7
"hcoodawn420",2234.4064686017,59.871,8
"rw4dawn420",2227.20559123282,60.3203,9
"p1dawn420",2227.9996061381,60.4178,10
"m4dawn420",2230.50334003229,60.2121,11
"m6dawn420",2178.21232440161,60.2201,12
"hcoodawn419",2215.9126539812,60.3211,13
"rw3dawn419",2217.41962152927,60.1811,14
"p2dawn419",2218.00416057939,60.056,15
"hcoodawn418",2217.06625199646,60.3906,16
"rw3dawn418",2197.35106529669,60.4282,17
"rw6dawn418",2217.74561272744,59.85,18
"p1dawn418",2210.16714907027,60.4733,19
"m5dawn418",2189.78156902887,60.4592,20
"hcoo417",2209.56238151464,59.7727,21
"rw1dawn417",2209.2425695217,59.9895,22
"rw3dawn417",2166.21778514786,60.3468,23
"rw5dawn417",2475.00288979767,59.9496,24
"p1dawn417",2217.55461028741,60.4011,25
"p4dawn417",2202.84494816124,60.1035,26
"hcoodawn416",2223.7947880949,60.451,27
"sasdawn416",2236.83989102413,60.3424,28
"rw2dawn416",2207.20172664362,59.5736,29
"rw4dawn416",2200.78925923219,59.6773,30
"hcoodusk411",2212.27481452577,59.8018,31
"p2dusk411",2202.44730138189,60.4656,32
