Task,T6090
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.4,21.7,NaN,,
0.0005,1,-68.6,21.7,0.0005,,
0.0025,2,-68.7,21.7,0.0020,,
0.0050,3,-68.7,21.7,0.0025,,
0.0085,4,-68.7,21.7,0.0030,,
0.0150,5,-68.6,21.7,0.0060,,
0.0230,6,-68.6,21.7,0.0075,,
0.0305,7,-68.4,21.7,0.0075,,
0.0390,8,-68.0,21.7,0.0085,,
0.0475,9,-67.4,21.7,0.0085,,
0.0560,10,-66.7,21.7,0.0075,,
0.0645,11,-65.8,21.7,0.0075,,
0.0730,12,-64.9,21.7,0.0075,,
0.0805,13,-63.9,21.7,0.0075,,
0.0890,14,-62.8,21.7,0.0085,,
0.0970,15,-61.7,21.7,0.0080,,
0.1055,16,-60.4,21.7,0.0075,,
0.1140,17,-59.1,21.7,0.0075,,
0.1225,18,-57.5,21.7,0.0075,,
0.1300,19,-56.0,21.7,0.0075,,
0.1385,20,-54.4,21.7,0.0085,,
0.1470,21,-52.6,21.7,0.0085,,
0.1555,22,-50.8,21.7,0.0075,,
0.1640,23,-48.9,21.7,0.0075,,
0.1720,24,-47.0,21.7,0.0075,,
0.1800,25,-45.0,21.7,0.0080,,
0.1885,26,-43.0,21.7,0.0085,,
0.1965,27,-40.7,21.7,0.0080,,
0.2050,28,-38.4,21.7,0.0075,,
0.2135,29,-36.2,21.7,0.0075,,
0.2220,30,-33.7,21.7,0.0075,,
0.2295,31,-31.7,21.7,0.0075,,
0.2380,32,-29.7,21.7,0.0085,,
0.2465,33,-27.6,21.7,0.0085,,
0.2550,34,-25.8,21.7,0.0075,,
0.2630,35,-23.9,21.7,0.0075,,
0.2715,36,-22.1,21.7,0.0075,,
0.2795,37,-20.6,21.7,0.0080,,
0.2875,38,-19.1,21.7,0.0080,,
0.2960,39,-17.6,21.7,0.0085,,
0.3045,40,-16.0,21.7,0.0075,,
0.3130,41,-14.8,21.7,0.0075,,
0.3215,42,-13.5,21.7,0.0075,,
0.3290,43,-12.2,21.7,0.0075,,
0.3375,44,-11.0,21.7,0.0085,,
0.3460,45,-9.7,21.7,0.0085,,
0.3540,46,-8.4,21.7,0.0075,,
0.3625,47,-7.4,21.7,0.0075,,
0.3710,48,-6.4,21.7,0.0075,,
0.3795,49,-5.3,21.7,0.0085,,
0.3870,50,-4.3,21.7,0.0075,,
0.3955,51,-3.1,21.7,0.0085,,
0.4040,52,-1.9,21.7,0.0075,,
0.4125,53,-0.6,21.7,0.0075,,
0.4210,54,-0.1,21.7,0.0075,,
0.4285,55,0.6,21.7,0.0075,,
0.4370,56,1.5,21.7,0.0085,,
0.4455,57,3.0,21.7,0.0085,,
0.4535,58,3.8,21.7,0.0075,,
0.4620,59,4.8,21.7,0.0075,,
0.4705,60,5.5,21.7,0.0085,,
0.4780,61,6.3,21.7,0.0075,,
