Task,T6725
Scope 1/1, Sample 1/32 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-43.4,21.5,NaN,,
0.0005,1,-43.6,21.5,0.0005,,
0.0025,2,-43.5,21.5,0.0020,,
0.0050,3,-43.6,21.5,0.0025,,
0.0090,4,-43.6,21.5,0.0035,,
0.0150,5,-43.7,21.5,0.0055,,
0.0235,6,-43.6,21.5,0.0075,,
0.0310,7,-43.4,21.5,0.0075,,
0.0395,8,-43.1,21.5,0.0085,,
0.0480,9,-42.4,21.5,0.0075,,
0.0565,10,-41.6,21.5,0.0075,,
0.0650,11,-40.8,21.5,0.0075,,
0.0735,12,-39.8,21.5,0.0075,,
0.0810,13,-39.1,21.5,0.0075,,
0.0895,14,-38.0,21.5,0.0085,,
0.0980,15,-36.8,21.5,0.0085,,
0.1060,16,-35.5,21.5,0.0075,,
0.1145,17,-34.0,21.5,0.0075,,
0.1230,18,-32.6,21.5,0.0075,,
0.1305,19,-31.3,21.5,0.0075,,
0.1390,20,-29.6,21.5,0.0085,,
0.1475,21,-28.0,21.5,0.0085,,
0.1560,22,-26.3,21.5,0.0075,,
0.1645,23,-24.7,21.5,0.0075,,
0.1730,24,-23.0,21.5,0.0075,,
0.1805,25,-21.6,21.5,0.0075,,
0.1890,26,-19.9,21.5,0.0085,,
0.1970,27,-18.3,21.5,0.0080,,
0.2055,28,-16.9,21.5,0.0075,,
0.2140,29,-15.6,21.5,0.0075,,
0.2225,30,-14.3,21.5,0.0075,,
0.2310,31,-13.2,21.5,0.0085,,
0.2385,32,-12.0,21.5,0.0075,,
0.2470,33,-10.9,21.5,0.0085,,
0.2555,34,-9.7,21.5,0.0075,,
0.2635,35,-8.5,21.5,0.0075,,
0.2720,36,-7.4,21.5,0.0075,,
0.2805,37,-6.6,21.5,0.0085,,
0.2880,38,-5.5,21.5,0.0075,,
0.2965,39,-4.4,21.5,0.0085,,
0.3050,40,-3.4,21.5,0.0075,,
0.3135,41,-2.3,21.5,0.0075,,
0.3220,42,-1.3,21.5,0.0075,,
0.3305,43,-0.4,21.5,0.0085,,
0.3380,44,-0.1,21.5,0.0075,,
0.3465,45,0.8,21.5,0.0085,,
0.3545,46,1.7,21.5,0.0075,,
0.3630,47,2.9,21.5,0.0075,,
0.3715,48,3.6,21.5,0.0075,,
0.3800,49,4.1,21.5,0.0075,,
0.3875,50,5.0,21.5,0.0075,,
0.3960,51,5.7,21.5,0.0085,,
0.4045,52,6.4,21.5,0.0085,,
0.4130,53,6.9,21.5,0.0075,,
0.4210,54,7.6,21.5,0.0075,,
0.4295,55,8.4,21.5,0.0075,,
0.4375,56,9.1,21.5,0.0080,,
0.4455,57,10.0,21.5,0.0080,,
0.4540,58,10.8,21.5,0.0085,,
0.4625,59,11.9,21.5,0.0075,,
0.4710,60,12.7,21.5,0.0075,,
0.4795,61,13.6,21.5,0.0075,,
0.4870,62,14.3,21.5,0.0075,,
0.4955,63,15.2,21.5,0.0085,,
0.5040,64,16.0,21.5,0.0075,,
0.5125,65,16.7,21.5,0.0075,,
0.5205,66,17.5,21.5,0.0075,,
0.5290,67,18.2,21.5,0.0075,,
0.5365,68,18.9,21.5,0.0075,,
0.5450,69,19.6,21.5,0.0085,,
0.5535,70,20.2,21.5,0.0075,,
0.5620,71,20.9,21.5,0.0075,,
0.5705,72,21.5,21.5,0.0075,,
0.5790,73,22.3,21.5,0.0085,,
0.5865,74,23.1,21.5,0.0075,,
0.5950,75,23.8,21.5,0.0085,,
0.6035,76,24.6,21.5,0.0075,,
0.6115,77,25.4,21.5,0.0075,,
0.6200,78,26.1,21.5,0.0075,,
0.6285,79,26.9,21.5,0.0075,,
0.6360,80,27.6,21.5,0.0075,,
0.6445,81,28.3,21.5,0.0085,,
0.6530,82,29.0,21.5,0.0085,,
0.6615,83,29.8,21.5,0.0075,,
0.6700,84,30.5,21.5,0.0075,,
0.6785,85,31.3,21.5,0.0075,,
0.6860,86,31.9,21.5,0.0075,,
0.6945,87,32.6,21.5,0.0085,,
0.7025,88,33.3,21.5,0.0080,,
0.7110,89,34.1,21.5,0.0075,,
0.7195,90,35.0,21.5,0.0075,,
0.7280,91,35.8,21.5,0.0075,,
0.7365,92,36.4,21.5,0.0085,,
0.7440,93,37.1,21.5,0.0075,,
0.7525,94,37.8,21.5,0.0085,,
0.7610,95,38.7,21.5,0.0075,,
0.7695,96,39.5,21.5,0.0075,,
0.7775,97,40.3,21.5,0.0075,,
0.7860,98,40.8,21.5,0.0085,,
0.7935,99,41.6,21.5,0.0075,,
0.8020,100,42.4,21.5,0.0085,,
0.8105,101,43.1,21.5,0.0075,,
0.8190,102,43.9,21.5,0.0075,,
0.8275,103,44.7,21.5,0.0075,,
