SampleID,TA,Mass,Sample.Index,TA_evap
junk,2292.909666,59.8365,1,2292.909666
N_24_2_AI,2162.920676,59.876,2,2161.685427
N_28_4_BC,2389.464441,60.2417,3,2386.736742
N_28_4_AI,2261.344933,60.0853,4,2257.474976
N_28_3_AI,2313.118246,59.8152,5,2307.843176
N_29_2_AI,2264.974124,60.0976,6,2258.521206
N_29_5_AI,2413.398434,59.8527,7,2405.152198
N_28_3_BC,2286.407853,59.9439,8,2277.298658
N_28_5_BC,2498.631692,59.8862,9,2487.261354
N_29_3_AI,2376.091519,59.9116,10,2363.934143
N_29_4_AI,2326.082163,60.1484,11,2312.865787
N_22_3_BC,2310.944052,59.8918,12,2296.508854
N_29_2_BC,2153.823103,59.9307,13,2139.154614
D_22_2_AI,2000.214727,59.981,14,1985.465555
D_22_3_AI,1899.555554,59.9125,15,1884.479716
N_22_4_BC,2319.482426,60.1772,16,2299.770111
D_22_5_BC,2265.767959,59.9099,17,2245.24005
D_22_4_BC,2214.697332,59.8823,18,2193.390114
N_25_3_BC,2232.763101,59.8983,19,2210.03135
N_24_3_BC,2088.930216,59.9627,20,2066.493995
N_25_1_BC,2085.019378,59.8215,21,2061.459837
N_23_5_BC,2145.255999,59.9818,22,2119.81818
D_25_5_BC,2220.868217,60.3489,23,2193.295362
N_27_3_AI,2364.397109,60.0304,24,2333.725291
