Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk,12/21/2019 11:25:51 AM,OK,Unchecked,0,,25.0,°C,,2.169,mL,,59.896,g,,59.8956,g,,1.0,g/mL
2,N_4_4_BC,12/21/2019 11:36:05 AM,OK,Unchecked,0,,25.0,°C,,2.134,mL,,59.898,g,,59.8978,g,,1.0,g/mL
3,D_8_4_AI,12/21/2019 11:46:06 AM,OK,Unchecked,0,,25.0,°C,,2.169,mL,,60.102,g,,60.1020,g,,1.0,g/mL
4,D_14_4_AI,12/21/2019 11:56:12 AM,OK,Unchecked,0,,25.0,°C,,2.114,mL,,59.917,g,,59.9172,g,,1.0,g/mL
5,N_24_5_BC,12/21/2019 12:06:10 PM,OK,Unchecked,0,,25.0,°C,,2.068,mL,,59.966,g,,59.9661,g,,1.0,g/mL
6,D_15_2_BC,12/21/2019 12:16:03 PM,OK,Unchecked,0,,25.0,°C,,2.023,mL,,59.929,g,,59.9287,g,,1.0,g/mL
7,N_26_3_AI,12/21/2019 12:26:06 PM,OK,Unchecked,0,,25.0,°C,,2.187,mL,,60.214,g,,60.2139,g,,1.0,g/mL
8,N_14_4_AI,12/21/2019 12:36:16 PM,OK,Unchecked,0,,25.0,°C,,2.206,mL,,59.887,g,,59.8874,g,,1.0,g/mL
9,N_24_4_AI,12/21/2019 12:46:27 PM,OK,Unchecked,0,,25.0,°C,,2.106,mL,,59.725,g,,59.7250,g,,1.0,g/mL
10,D_7_4_BC,12/21/2019 12:56:24 PM,OK,Unchecked,0,,25.0,°C,,2.160,mL,,59.962,g,,59.9617,g,,1.0,g/mL
11,N_30_2_BC,12/21/2019 1:06:30 PM,OK,Unchecked,0,,25.0,°C,,2.079,mL,,59.965,g,,59.9646,g,,1.0,g/mL
12,N_24_3_AI,12/21/2019 1:16:25 PM,OK,Unchecked,0,,25.0,°C,,2.156,mL,,60.160,g,,60.1603,g,,1.0,g/mL
13,N_25_4_BC,12/21/2019 1:26:29 PM,OK,Unchecked,0,,25.0,°C,,2.200,mL,,59.826,g,,59.8256,g,,1.0,g/mL
14,N_7_3_BC,12/21/2019 1:36:39 PM,OK,Unchecked,0,,25.0,°C,,2.222,mL,,59.918,g,,59.9183,g,,1.0,g/mL
15,D_16_5_BC,12/21/2019 1:46:50 PM,OK,Unchecked,0,,25.0,°C,,2.086,mL,,60.193,g,,60.1929,g,,1.0,g/mL
16,N_13_2_BC,12/21/2019 1:56:45 PM,OK,Unchecked,0,,25.0,°C,,2.024,mL,,60.114,g,,60.1135,g,,1.0,g/mL
SystemInternal12/21/2019 2:08:42 PM,,,,,,,,,,,,,,,,,,1/1,,
