Results Editor,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Content (R1),Unit of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk,12/13/2019 9:19,OK,Unchecked,0,,25,°C,,2.167,mL,59.836,g,59.8362,g,,1,g/mL
2,D_24_1_BC,12/13/2019 9:29,OK,Unchecked,0,,25,°C,,2.066,mL,60.111,g,60.1106,g,,1,g/mL
3,D_24_2_BC,12/13/2019 9:39,OK,Unchecked,0,,25,°C,,2.01,mL,60.063,g,60.0626,g,,1,g/mL
4,D_24_3_BC,12/13/2019 9:49,OK,Unchecked,0,,25,°C,,1.961,mL,59.8,g,59.8,g,,1,g/mL
5,D_24_4_BC,12/13/2019 9:58,OK,Unchecked,0,,25,°C,,1.928,mL,59.911,g,59.9113,g,,1,g/mL
6,D_24_5_BC,12/13/2019 10:08,OK,Unchecked,0,,25,°C,,1.903,mL,59.993,g,59.9932,g,,1,g/mL
7,N_24_1_BC,12/13/2019 10:18,OK,Unchecked,0,,25,°C,,2.037,mL,59.911,g,59.9108,g,,1,g/mL
8,N_24_2_BC,12/13/2019 10:27,OK,Unchecked,0,,25,°C,,2.025,mL,60.17,g,60.17,g,,1,g/mL
9,N_24_3_BC,12/13/2019 10:37,OK,Unchecked,0,,25,°C,,2.066,mL,59.891,g,59.891,g,,1,g/mL
10,N_24_4_BC,12/13/2019 10:47,OK,Unchecked,0,,25,°C,,2.046,mL,59.871,g,59.8709,g,,1,g/mL
11,N_24_5_BC,12/13/2019 10:57,OK,Unchecked,0,,25,°C,,2.054,mL,59.928,g,59.9276,g,,1,g/mL
12,D_24_1_AI,12/13/2019 11:07,OK,Unchecked,0,,25,°C,,2.108,mL,59.957,g,59.9569,g,,1,g/mL
13,D_24_2_AI,12/13/2019 11:17,OK,Unchecked,0,,25,°C,,2.089,mL,59.981,g,59.9813,g,,1,g/mL
14,D_24_3_AI,12/13/2019 11:27,OK,Unchecked,0,,25,°C,,2.056,mL,59.992,g,59.9918,g,,1,g/mL
15,D_24_4_AI,12/13/2019 11:37,OK,Unchecked,0,,25,°C,,2.032,mL,60.011,g,60.0108,g,,1,g/mL
16,N_24_1_AI,12/13/2019 11:46,OK,Unchecked,0,,25,°C,,2.108,mL,60.092,g,60.0918,g,,1,g/mL
17,N_24_2_AI,12/13/2019 11:56,OK,Unchecked,0,,25,°C,,2.102,mL,60.107,g,60.1066,g,,1,g/mL
18,N_24_3_AI,12/13/2019 12:06,OK,Unchecked,0,,25,°C,,2.155,mL,60.188,g,60.1882,g,,1,g/mL
19,N_24_4_AI,12/13/2019 12:17,OK,Unchecked,0,,25,°C,,2.096,mL,59.906,g,59.9062,g,,1,g/mL
SystemInternal12/13/2019 1:53:07 PM,,,,,,,,,,,,,,,,1-Jan,,
