SampleID,TA,Mass,Sample.Index,TA_evap,notes
junk,2255.926026,59.8402,1,2255.926026,
D_27_1_BC,2210.413012,60.1031,2,2209.15064,
D_27_2_BC,2232.894881,60.2892,3,2230.345914,
D_27_3_BC,2243.966586,60.1634,4,2240.12637,
D_27_4_BC,2258.380444,60.1619,5,2253.230203,
D_27_5_BC,2143.958597,59.9527,6,2137.850453,redo?
N_27_1_BC,2183.89164,59.8899,7,2176.429596,
N_27_2_BC,2150.182213,60.0472,8,2141.61575,
N_27_3_BC,2204.179633,60.0162,9,2194.149236,
N_27_4_BC,2345.778656,59.8465,10,2333.776378,redo?
N_27_5_BC,2317.494814,60.1516,11,2304.327229,redo?
D_27_1_AI,2214.949648,60.1414,12,2201.114074,
D_27_2_AI,2249.946696,59.9573,13,2234.623563,
D_27_3_AI,2276.45001,60.0054,14,2259.663935,
D_27_4_AI,2261.619947,59.8486,15,2243.670582,redo?
N_27_1_AI,2257.34677,59.9767,16,2238.16252,
N_27_2_AI,2203.628001,59.8827,17,2183.663081,
N_27_3_AI,2353.972699,59.9027,18,2331.325537,redo?
N_27_4_AI,2254.187519,60.2682,19,2231.237646,redo?
