Task,T2146
Scope 1/1, Sample 1/20 (Junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-69.8,21.9,NaN,,
0.0005,1,-69.7,21.9,0.0005,,
0.0025,2,-69.8,21.9,0.0020,,
0.0050,3,-69.8,21.9,0.0025,,
0.0085,4,-69.8,21.9,0.0030,,
0.0150,5,-69.7,21.9,0.0060,,
0.0230,6,-69.2,21.9,0.0075,,
0.0305,7,-68.5,21.9,0.0075,,
0.0390,8,-67.7,21.9,0.0085,,
0.0475,9,-66.7,21.9,0.0075,,
0.0560,10,-65.9,21.9,0.0075,,
0.0645,11,-65.1,21.9,0.0075,,
0.0730,12,-64.0,21.9,0.0075,,
0.0805,13,-63.1,21.9,0.0075,,
0.0890,14,-62.0,21.9,0.0085,,
0.0975,15,-60.8,21.9,0.0085,,
0.1055,16,-59.6,21.9,0.0075,,
0.1140,17,-58.2,21.9,0.0075,,
0.1225,18,-56.8,21.9,0.0075,,
0.1300,19,-55.7,21.9,0.0075,,
0.1385,20,-54.3,21.9,0.0085,,
0.1470,21,-52.8,21.9,0.0085,,
0.1555,22,-51.0,21.9,0.0075,,
0.1640,23,-49.2,21.9,0.0075,,
0.1720,24,-47.3,21.9,0.0075,,
0.1800,25,-45.5,21.9,0.0080,,
0.1885,26,-43.6,21.9,0.0085,,
0.1965,27,-41.4,21.9,0.0080,,
0.2050,28,-39.1,21.9,0.0075,,
0.2135,29,-36.6,21.9,0.0075,,
0.2220,30,-34.0,21.9,0.0075,,
0.2295,31,-31.6,21.9,0.0075,,
0.2380,32,-28.9,21.9,0.0085,,
0.2465,33,-25.5,21.9,0.0085,,
0.2550,34,-22.2,21.9,0.0075,,
0.2635,35,-18.7,21.9,0.0075,,
0.2715,36,-15.1,21.9,0.0075,,
0.2795,37,-11.7,21.9,0.0080,,
0.2875,38,-8.0,21.9,0.0080,,
0.2960,39,-4.4,21.9,0.0085,,
0.3045,40,-0.4,21.9,0.0075,,
0.3130,41,2.1,21.9,0.0075,,
0.3215,42,4.8,21.9,0.0075,,
0.3290,43,6.7,21.9,0.0075,,
0.3375,44,8.8,21.9,0.0085,,
0.3460,45,10.7,21.9,0.0085,,
0.3545,46,12.7,21.9,0.0075,,
0.3625,47,14.1,21.9,0.0075,,
0.3710,48,15.4,21.9,0.0075,,
0.3795,49,16.5,21.9,0.0085,,
0.3870,50,17.7,21.9,0.0075,,
0.3955,51,19.0,21.9,0.0085,,
0.4040,52,20.3,21.9,0.0075,,
0.4125,53,21.2,21.9,0.0075,,
0.4210,54,22.3,21.9,0.0075,,
0.4295,55,23.1,21.9,0.0085,,
0.4370,56,24.2,21.9,0.0075,,
0.4450,57,25.1,21.9,0.0080,,
0.4535,58,26.4,21.9,0.0075,,
0.4620,59,27.5,21.9,0.0075,,
0.4705,60,28.5,21.9,0.0075,,
0.4790,61,29.4,21.9,0.0075,,
0.4865,62,30.2,21.9,0.0075,,
0.4950,63,31.1,21.9,0.0085,,
0.5035,64,32.0,21.9,0.0075,,
0.5120,65,32.8,21.9,0.0075,,
0.5205,66,33.7,21.9,0.0075,,
0.5285,67,34.5,21.9,0.0080,,
0.5365,68,35.4,21.9,0.0080,,
0.5445,69,36.2,21.9,0.0080,,
0.5530,70,37.0,21.9,0.0075,,
0.5615,71,38.1,21.9,0.0075,,
