Table of Measured Values
Task,T1069
Scope 1/1, Sample 1/35 (Junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-81.0,23.6,NaN,,
0.0005,1,-81.0,23.6,0.0005,,
0.0025,2,-81.0,23.6,0.0020,,
0.0050,3,-81.0,23.6,0.0025,,
0.0085,4,-81.0,23.6,0.0030,,
0.0150,5,-80.9,23.6,0.0060,,
0.0230,6,-80.9,23.6,0.0075,,
0.0305,7,-80.8,23.6,0.0075,,
0.0390,8,-80.6,23.6,0.0085,,
0.0475,9,-80.3,23.6,0.0075,,
0.0560,10,-79.9,23.6,0.0075,,
0.0645,11,-79.6,23.6,0.0075,,
0.0730,12,-79.1,23.6,0.0085,,
0.0805,13,-78.5,23.6,0.0075,,
0.0890,14,-78.0,23.6,0.0085,,
0.0975,15,-77.3,23.6,0.0075,,
0.1060,16,-76.6,23.6,0.0075,,
0.1145,17,-75.9,23.6,0.0075,,
0.1220,18,-75.1,23.6,0.0075,,
0.1305,19,-74.3,23.6,0.0085,,
0.1385,20,-73.4,23.6,0.0080,,
0.1470,21,-72.5,23.6,0.0075,,
0.1555,22,-71.4,23.6,0.0075,,
0.1640,23,-70.4,23.6,0.0075,,
0.1715,24,-69.3,23.6,0.0075,,
0.1800,25,-68.3,23.6,0.0085,,
0.1885,26,-67.0,23.6,0.0075,,
0.1970,27,-65.8,23.6,0.0075,,
0.2055,28,-64.7,23.6,0.0075,,
0.2135,29,-63.3,23.6,0.0075,,
0.2215,30,-62.2,23.6,0.0080,,
0.2295,31,-60.7,23.6,0.0080,,
0.2380,32,-59.5,23.6,0.0075,,
0.2465,33,-58.2,23.6,0.0075,,
0.2550,34,-56.8,23.6,0.0075,,
0.2635,35,-55.3,23.6,0.0075,,
0.2710,36,-54.0,23.6,0.0075,,
0.2795,37,-52.7,23.6,0.0085,,
0.2880,38,-51.4,23.6,0.0075,,
0.2965,39,-50.1,23.6,0.0075,,
0.3050,40,-48.8,23.6,0.0075,,
0.3125,41,-47.8,23.6,0.0075,,
0.3210,42,-46.6,23.6,0.0085,,
