Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk,2/17/2020 12:45:14 PM,OK,Unchecked,0,,25.0,°C,,2.154,mL,,59.797,g,,59.7972,g,,1.0,g/mL
2,Sump,2/17/2020 12:55:27 PM,OK,Unchecked,0,,25.0,°C,,2.144,mL,,60.447,g,,60.4473,g,,1.0,g/mL
3,Tank1,2/17/2020 1:05:30 PM,OK,Unchecked,0,,25.0,°C,,2.130,mL,,60.029,g,,60.0293,g,,1.0,g/mL
4,Tank2,2/17/2020 1:15:31 PM,OK,Unchecked,0,,25.0,°C,,2.125,mL,,59.809,g,,59.8087,g,,1.0,g/mL
5,Tank3,2/17/2020 1:25:32 PM,OK,Unchecked,0,,25.0,°C,,2.132,mL,,60.146,g,,60.1456,g,,1.0,g/mL
6,Tank4,2/17/2020 1:35:33 PM,OK,Unchecked,0,,25.0,°C,,2.136,mL,,60.326,g,,60.3265,g,,1.0,g/mL
7,Tank7,2/17/2020 1:45:36 PM,OK,Unchecked,0,,25.0,°C,,2.117,mL,,59.805,g,,59.8050,g,,1.0,g/mL
8,Tank8,2/17/2020 1:55:36 PM,OK,Unchecked,0,,25.0,°C,,2.134,mL,,60.102,g,,60.1020,g,,1.0,g/mL
9,Tank9,2/17/2020 2:05:38 PM,OK,Unchecked,0,,25.0,°C,,2.119,mL,,59.960,g,,59.9595,g,,1.0,g/mL
10,Tank10,2/17/2020 2:15:37 PM,OK,Unchecked,0,,25.0,°C,,2.124,mL,,59.932,g,,59.9315,g,,1.0,g/mL
11,Tank11,2/17/2020 2:25:37 PM,OK,Unchecked,0,,25.0,°C,,2.140,mL,,60.445,g,,60.4447,g,,1.0,g/mL
12,Tank12,2/17/2020 2:35:39 PM,OK,Unchecked,0,,25.0,°C,,2.116,mL,,59.720,g,,59.7202,g,,1.0,g/mL
13,Tank13,2/17/2020 2:45:38 PM,OK,Unchecked,0,,25.0,°C,,2.117,mL,,59.914,g,,59.9135,g,,1.0,g/mL
14,Tank14,2/17/2020 2:55:37 PM,OK,Unchecked,0,,25.0,°C,,2.104,mL,,59.812,g,,59.8125,g,,1.0,g/mL
15,Tank15,2/17/2020 3:05:51 PM,OK,Unchecked,0,,25.0,°C,,2.132,mL,,60.330,g,,60.3302,g,,1.0,g/mL
16,Tank16,2/17/2020 3:15:54 PM,OK,Unchecked,0,,25.0,°C,,2.128,mL,,60.267,g,,60.2672,g,,1.0,g/mL
17,Tank17,2/17/2020 3:25:55 PM,OK,Unchecked,0,,25.0,°C,,2.106,mL,,59.729,g,,59.7290,g,,1.0,g/mL
18,Tank18,2/17/2020 3:35:58 PM,OK,Unchecked,0,,25.0,°C,,2.116,mL,,60.126,g,,60.1260,g,,1.0,g/mL
19,Tank19,2/17/2020 3:45:58 PM,OK,Unchecked,0,,25.0,°C,,2.100,mL,,59.804,g,,59.8041,g,,1.0,g/mL
20,Tank20,2/17/2020 3:56:15 PM,OK,Unchecked,0,,25.0,°C,,2.118,mL,,59.998,g,,59.9978,g,,1.0,g/mL
2/17/2020 6:25:28 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
