"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk",2270.27829769158,59.6283,1,2270.27829769158
"Sump",2207.38107514463,59.531,2,2206.12043489612
"Tank1",2208.39463824729,59.9874,3,2205.87363980181
"Tank2",2205.85373957117,60.2765,4,2202.07874743271
"Tank3",2215.86471935713,59.6975,5,2210.81143607467
"Tank4",2208.94631694338,59.6318,6,2202.65302259311
"Tank7",2212.37848704966,60.1757,7,2204.81910725336
"Tank8",2208.0223356394,60.2997,8,2199.22543390378
"Tank9",2204.25369003898,60.1001,9,2194.22295652344
"Tank10",2204.64130864618,59.8261,10,2193.36116550927
"Tank11",2209.75768145926,60.4524,11,2197.20224008733
"Tank12",2205.52275851224,59.9961,12,2191.74606893607
"Tank13",2207.22959247057,60.3319,13,2192.19738185216
"Tank14",2201.05324109612,59.6707,14,2184.82312644254
"Tank15",2207.05101432893,60.2524,15,2189.53473643743
"Tank16",2203.84884105638,60.0751,16,2185.11924750633
"Tank17",2206.56256406031,59.74,17,2186.57105725115
"Tank18",2204.97588899349,59.7719,18,2183.76219905977
"Tank19",2206.98461675495,59.9406,19,2184.51531635812
"Tank20",2204.94937607323,59.6758,20,2181.26704812219
