Task,T2353
Scope 1/1, Sample 1/4 (j1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-43.9,21.0,NaN,,
0.0005,1,-44.1,21.0,0.0005,,
0.0025,2,-44.0,21.0,0.0020,,
0.0050,3,-44.0,21.0,0.0025,,
0.0090,4,-44.1,21.0,0.0035,,
0.0150,5,-44.0,21.0,0.0055,,
0.0235,6,-43.6,21.0,0.0075,,
0.0315,7,-43.1,21.0,0.0080,,
0.0395,8,-42.3,21.0,0.0080,,
0.0480,9,-40.8,21.0,0.0075,,
0.0565,10,-39.1,21.0,0.0075,,
0.0650,11,-37.6,21.0,0.0075,,
0.0735,12,-36.1,21.0,0.0085,,
0.0810,13,-34.2,21.0,0.0075,,
0.0895,14,-32.1,21.0,0.0085,,
0.0980,15,-29.8,21.0,0.0075,,
0.1065,16,-27.4,21.0,0.0075,,
0.1150,17,-25.1,21.0,0.0075,,
0.1225,18,-22.7,21.0,0.0075,,
0.1310,19,-20.0,21.0,0.0085,,
0.1395,20,-17.1,21.0,0.0075,,
0.1475,21,-14.0,21.0,0.0075,,
0.1560,22,-11.2,21.0,0.0075,,
0.1645,23,-8.6,21.0,0.0075,,
0.1720,24,-5.9,21.0,0.0075,,
0.1805,25,-2.7,21.0,0.0085,,
0.1890,26,-0.1,21.0,0.0075,,
0.1975,27,1.7,21.0,0.0075,,
0.2060,28,4.1,21.0,0.0075,,
0.2135,29,5.6,21.0,0.0075,,
0.2220,30,6.9,21.0,0.0085,,
0.2305,31,8.5,21.0,0.0075,,
0.2390,32,10.2,21.0,0.0075,,
0.2475,33,11.8,21.0,0.0075,,
0.2555,34,12.9,21.0,0.0075,,
0.2635,35,14.1,21.0,0.0080,,
0.2715,36,15.3,21.0,0.0080,,
0.2800,37,16.5,21.0,0.0075,,
0.2885,38,17.7,21.0,0.0075,,
0.2970,39,18.9,21.0,0.0075,,
0.3045,40,19.6,21.0,0.0075,,
0.3130,41,20.6,21.0,0.0085,,
0.3215,42,21.7,21.0,0.0085,,
0.3300,43,22.6,21.0,0.0075,,
0.3385,44,23.6,21.0,0.0075,,
0.3470,45,24.4,21.0,0.0075,,
0.3545,46,25.3,21.0,0.0075,,
0.3630,47,26.2,21.0,0.0085,,
0.3710,48,27.3,21.0,0.0075,,
0.3795,49,28.2,21.0,0.0075,,
0.3880,50,29.1,21.0,0.0075,,
0.3965,51,30.0,21.0,0.0075,,
0.4040,52,31.0,21.0,0.0075,,
0.4125,53,31.8,21.0,0.0085,,
0.4210,54,32.7,21.0,0.0075,,
0.4295,55,33.5,21.0,0.0075,,
0.4380,56,34.3,21.0,0.0075,,
0.4465,57,35.0,21.0,0.0085,,
0.4540,58,35.9,21.0,0.0075,,
0.4625,59,36.7,21.0,0.0085,,
0.4705,60,37.5,21.0,0.0075,,
0.4790,61,38.3,21.0,0.0075,,
0.4875,62,39.0,21.0,0.0075,,
0.4960,63,39.6,21.0,0.0085,,
0.5035,64,40.3,21.0,0.0075,,
0.5120,65,41.1,21.0,0.0085,,
0.5205,66,41.8,21.0,0.0075,,
0.5290,67,42.6,21.0,0.0075,,
0.5375,68,43.3,21.0,0.0075,,
0.5450,69,44.1,21.0,0.0075,,
0.5535,70,44.7,21.0,0.0085,,
0.5620,71,45.4,21.0,0.0075,,
0.5705,72,46.3,21.0,0.0075,,
0.5785,73,47.2,21.0,0.0075,,
0.5870,74,47.9,21.0,0.0075,,
0.5945,75,48.4,21.0,0.0075,,
0.6030,76,49.1,21.0,0.0085,,
0.6115,77,50.0,21.0,0.0075,,
0.6200,78,50.7,21.0,0.0075,,
0.6285,79,51.4,21.0,0.0075,,
0.6370,80,52.1,21.0,0.0085,,
0.6445,81,52.7,21.0,0.0075,,
0.6530,82,53.4,21.0,0.0085,,
0.6615,83,54.2,21.0,0.0075,,
0.6700,84,54.8,21.0,0.0075,,
0.6780,85,55.4,21.0,0.0075,,
0.6860,86,56.0,21.0,0.0080,,
0.6945,87,56.7,21.0,0.0085,,
0.7025,88,57.5,21.0,0.0075,,
0.7110,89,58.2,21.0,0.0075,,
0.7195,90,59.0,21.0,0.0075,,
0.7280,91,59.7,21.0,0.0075,,
0.7355,92,60.2,21.0,0.0075,,
0.7440,93,60.9,21.0,0.0085,,
0.7525,94,61.6,21.0,0.0075,,
0.7610,95,62.3,21.0,0.0075,,
0.7695,96,62.9,21.0,0.0075,,
0.7775,97,63.4,21.0,0.0080,,
0.7855,98,64.1,21.0,0.0080,,
0.7940,99,64.9,21.0,0.0085,,
0.8020,100,65.7,21.0,0.0075,,
0.8105,101,66.4,21.0,0.0075,,
0.8190,102,67.2,21.0,0.0075,,
0.8265,103,67.7,21.0,0.0075,,
0.8350,104,68.4,21.0,0.0085,,
0.8435,105,69.2,21.0,0.0075,,
0.8520,106,69.8,21.0,0.0075,,
0.8605,107,70.7,21.0,0.0075,,
0.8690,108,71.4,21.0,0.0075,,
0.8765,109,72.1,21.0,0.0075,,
0.8850,110,72.8,21.0,0.0085,,
0.8935,111,73.5,21.0,0.0075,,
0.9020,112,74.3,21.0,0.0075,,
0.9100,113,75.1,21.0,0.0075,,
0.9185,114,75.8,21.0,0.0085,,
0.9260,115,76.6,21.0,0.0075,,
0.9345,116,77.3,21.0,0.0085,,
0.9430,117,78.1,21.0,0.0075,,
0.9515,118,78.7,21.0,0.0075,,
0.9600,119,79.7,21.0,0.0075,,
0.9675,120,80.6,21.0,0.0075,,
0.9760,121,81.1,21.0,0.0085,,
0.9845,122,81.9,21.0,0.0075,,
0.9930,123,83.1,21.0,0.0075,,
1.0015,124,84.1,21.0,0.0075,,
1.0095,125,84.7,21.0,0.0080,,
1.0175,126,85.6,21.0,0.0080,,
1.0260,127,86.5,21.0,0.0085,,
