Task,T4069
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-70.7,21.9,NaN,,
0.0010,1,-70.8,21.9,0.0010,,
0.0025,2,-70.8,21.9,0.0015,,
0.0050,3,-70.8,21.9,0.0025,,
0.0085,4,-70.9,21.9,0.0030,,
0.0150,5,-70.9,21.9,0.0060,,
0.0230,6,-70.9,21.9,0.0075,,
0.0315,7,-70.8,21.9,0.0075,,
0.0400,8,-70.7,21.9,0.0075,,
0.0475,9,-70.5,21.9,0.0070,,
0.0560,10,-70.2,21.9,0.0075,,
0.0645,11,-69.8,21.9,0.0075,,
0.0730,12,-69.5,21.9,0.0075,,
0.0815,13,-69.1,21.9,0.0075,,
0.0895,14,-68.6,21.9,0.0075,,
0.0975,15,-68.1,21.9,0.0075,,
0.1060,16,-67.5,21.9,0.0075,,
0.1140,17,-67.0,21.9,0.0075,,
0.1225,18,-66.4,21.9,0.0075,,
0.1310,19,-65.7,21.9,0.0075,,
0.1395,20,-65.0,21.9,0.0075,,
0.1470,21,-64.3,21.9,0.0070,,
0.1555,22,-63.4,21.9,0.0075,,
0.1640,23,-62.6,21.9,0.0075,,
0.1725,24,-61.7,21.9,0.0075,,
0.1810,25,-60.8,21.9,0.0075,,
0.1895,26,-59.9,21.9,0.0085,,
0.1970,27,-59.1,21.9,0.0070,,
0.2055,28,-58.1,21.9,0.0075,,
0.2135,29,-57.2,21.9,0.0075,,
0.2220,30,-56.2,21.9,0.0075,,
0.2305,31,-55.2,21.9,0.0075,,
0.2390,32,-54.1,21.9,0.0075,,
0.2465,33,-53.2,21.9,0.0070,,
0.2550,34,-52.1,21.9,0.0075,,
0.2635,35,-51.0,21.9,0.0075,,
0.2720,36,-49.9,21.9,0.0075,,
0.2800,37,-48.9,21.9,0.0075,,
0.2885,38,-48.0,21.9,0.0075,,
0.2960,39,-47.0,21.9,0.0070,,
0.3045,40,-46.0,21.9,0.0075,,
0.3130,41,-45.0,21.9,0.0075,,
0.3215,42,-44.1,21.9,0.0075,,
0.3300,43,-43.1,21.9,0.0075,,
0.3385,44,-42.3,21.9,0.0075,,
0.3460,45,-41.5,21.9,0.0070,,
0.3545,46,-40.7,21.9,0.0075,,
0.3630,47,-39.9,21.9,0.0075,,
0.3710,48,-39.2,21.9,0.0075,,
0.3795,49,-38.4,21.9,0.0075,,
0.3880,50,-37.6,21.9,0.0075,,
0.3965,51,-37.0,21.9,0.0085,,
0.4040,52,-36.2,21.9,0.0070,,
0.4125,53,-35.5,21.9,0.0075,,
0.4210,54,-34.8,21.9,0.0075,,
0.4295,55,-34.1,21.9,0.0075,,
0.4375,56,-33.5,21.9,0.0075,,
0.4460,57,-32.8,21.9,0.0085,,
0.4535,58,-32.1,21.9,0.0070,,
0.4620,59,-31.5,21.9,0.0075,,
0.4705,60,-30.8,21.9,0.0075,,
0.4790,61,-30.3,21.9,0.0075,,
0.4875,62,-29.7,21.9,0.0075,,
0.4960,63,-29.1,21.9,0.0085,,
0.5035,64,-28.4,21.9,0.0070,,
0.5120,65,-27.8,21.9,0.0075,,
0.5205,66,-27.2,21.9,0.0075,,
0.5290,67,-26.6,21.9,0.0075,,
0.5370,68,-26.1,21.9,0.0075,,
0.5455,69,-25.5,21.9,0.0075,,
0.5530,70,-25.0,21.9,0.0070,,
0.5615,71,-24.5,21.9,0.0075,,
0.5700,72,-23.8,21.9,0.0075,,
0.5785,73,-23.3,21.9,0.0075,,
0.5870,74,-22.7,21.9,0.0075,,
0.5955,75,-22.2,21.9,0.0085,,
0.6030,76,-21.7,21.9,0.0070,,
0.6115,77,-21.1,21.9,0.0075,,
0.6200,78,-20.5,21.9,0.0075,,
0.6280,79,-20.0,21.9,0.0075,,
0.6365,80,-19.5,21.9,0.0075,,
0.6450,81,-19.1,21.9,0.0085,,
0.6525,82,-18.5,21.9,0.0070,,
0.6610,83,-18.1,21.9,0.0075,,
0.6695,84,-17.5,21.9,0.0075,,
0.6780,85,-17.0,21.9,0.0075,,
0.6865,86,-16.5,21.9,0.0075,,
0.6950,87,-16.0,21.9,0.0085,,
0.7025,88,-15.5,21.9,0.0070,,
0.7110,89,-15.0,21.9,0.0075,,
0.7190,90,-14.5,21.9,0.0075,,
0.7275,91,-14.0,21.9,0.0075,,
0.7360,92,-13.5,21.9,0.0075,,
0.7445,93,-13.0,21.9,0.0075,,
0.7520,94,-12.6,21.9,0.0070,,
0.7605,95,-12.0,21.9,0.0075,,
0.7690,96,-11.5,21.9,0.0075,,
0.7775,97,-11.0,21.9,0.0075,,
0.7860,98,-10.5,21.9,0.0075,,
0.7940,99,-10.0,21.9,0.0075,,
0.8015,100,-9.5,21.9,0.0070,,
0.8100,101,-9.0,21.9,0.0075,,
0.8185,102,-8.5,21.9,0.0075,,
0.8270,103,-8.0,21.9,0.0075,,
0.8355,104,-7.6,21.9,0.0075,,
0.8440,105,-7.1,21.9,0.0075,,
0.8515,106,-6.7,21.9,0.0070,,
0.8600,107,-6.2,21.9,0.0075,,
0.8685,108,-5.7,21.9,0.0075,,
0.8765,109,-5.3,21.9,0.0075,,
0.8850,110,-4.7,21.9,0.0075,,
0.8935,111,-4.1,21.9,0.0075,,
0.9020,112,-3.7,21.9,0.0085,,
0.9095,113,-3.0,21.9,0.0070,,
0.9180,114,-2.4,21.9,0.0075,,
0.9265,115,-1.8,21.9,0.0075,,
0.9350,116,-1.1,21.9,0.0075,,
0.9435,117,-0.5,21.9,0.0075,,
0.9515,118,0.0,21.9,0.0080,,
0.9595,119,0.5,21.9,0.0075,,
0.9675,120,0.4,21.9,0.0075,,
0.9760,121,0.9,21.9,0.0075,,
0.9845,122,1.4,21.9,0.0075,,
0.9930,123,1.9,21.9,0.0075,,
1.0015,124,2.7,21.9,0.0085,,
1.0090,125,3.8,21.9,0.0070,,
1.0175,126,3.9,21.9,0.0075,,
1.0260,127,4.5,21.9,0.0075,,
1.0340,128,5.0,21.9,0.0075,,
1.0425,129,5.5,21.9,0.0075,,
1.0510,130,6.0,21.9,0.0075,,
1.0585,131,6.4,21.9,0.0070,,
1.0670,132,7.0,21.9,0.0075,,
1.0755,133,7.5,21.9,0.0075,,
1.0840,134,8.1,21.9,0.0075,,
1.0925,135,8.8,21.9,0.0075,,
1.1010,136,9.5,21.9,0.0085,,
1.1085,137,10.3,21.9,0.0070,,
1.1170,138,11.0,21.9,0.0075,,
1.1255,139,11.9,21.9,0.0075,,
1.1335,140,12.6,21.9,0.0075,,
1.1420,141,13.3,21.9,0.0075,,
1.1505,142,14.0,21.9,0.0085,,
1.1580,143,14.7,21.9,0.0070,,
1.1665,144,15.5,21.9,0.0075,,
1.1750,145,16.3,21.9,0.0075,,
1.1835,146,17.0,21.9,0.0075,,
1.1920,147,17.8,21.9,0.0075,,
1.2005,148,18.5,21.9,0.0085,,
1.2080,149,19.3,21.9,0.0070,,
1.2165,150,20.2,21.9,0.0075,,
1.2245,151,21.1,21.9,0.0075,,
1.2330,152,22.0,21.9,0.0075,,
1.2415,153,23.0,21.9,0.0075,,
1.2500,154,24.0,21.9,0.0075,,
1.2575,155,25.0,21.9,0.0070,,
1.2660,156,26.1,21.9,0.0075,,
1.2745,157,27.2,21.9,0.0075,,
1.2830,158,28.4,21.9,0.0075,,
1.2915,159,29.7,21.9,0.0075,,
1.2995,160,31.0,21.9,0.0075,,
1.3075,161,32.3,21.9,0.0075,,
1.3155,162,33.8,21.9,0.0075,,
1.3240,163,35.4,21.9,0.0075,,
1.3325,164,37.1,21.9,0.0075,,
1.3410,165,38.9,21.9,0.0075,,
1.3495,166,40.7,21.9,0.0075,,
1.3570,167,42.8,21.9,0.0070,,
1.3655,168,45.1,21.9,0.0075,,
1.3740,169,47.6,21.9,0.0075,,
1.3825,170,50.3,21.9,0.0075,,
1.3905,171,53.3,21.9,0.0075,,
1.3990,172,56.5,21.9,0.0075,,
1.4065,173,59.8,21.9,0.0070,,
1.4150,174,64.1,21.9,0.0075,,
1.4235,175,68.7,21.9,0.0075,,
1.4320,176,73.9,21.9,0.0075,,
1.4405,177,79.7,21.9,0.0075,,
1.4490,178,85.9,21.9,0.0075,,
1.4565,179,91.8,21.9,0.0070,,
1.4650,180,98.7,21.9,0.0075,,
1.4735,181,106.1,21.9,0.0075,,
1.4815,182,113.7,21.9,0.0075,,
1.4900,183,121.6,21.9,0.0075,,
1.4985,184,129.5,21.9,0.0075,,
1.5060,185,136.3,21.9,0.0070,,
1.5145,186,143.2,21.9,0.0075,,
1.5230,187,150.0,21.9,0.0075,,
1.5315,188,156.6,21.9,0.0075,,
1.5400,189,162.9,21.9,0.0075,,
1.5485,190,168.5,21.9,0.0075,,
1.5560,191,172.8,21.9,0.0070,,
1.5645,192,176.9,21.9,0.0075,,
1.5730,193,180.5,21.9,0.0075,,
1.5810,194,183.4,21.9,0.0075,,
1.5890,195,185.1,21.9,0.0080,,
1.5890,435,193.0,21.9,0.0000,,
1.5895,436,192.9,21.9,0.0005,,
1.5910,437,192.9,21.9,0.0015,,
1.5935,438,192.9,21.9,0.0020,,
1.5975,439,192.9,21.9,0.0035,,
1.6035,440,193.0,21.9,0.0050,,
1.6120,441,193.4,21.9,0.0070,,
1.6195,442,193.9,21.9,0.0070,,
1.6280,443,194.7,21.9,0.0075,,
1.6365,444,195.6,21.9,0.0070,,
1.6450,445,196.5,21.9,0.0070,,
1.6530,446,197.4,21.9,0.0065,,
1.6615,447,198.1,21.9,0.0075,,
1.6690,448,199.0,21.9,0.0070,,
1.6775,449,199.8,21.9,0.0075,,
1.6860,450,200.6,21.9,0.0070,,
