"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2422.50507759935,59.5585,1,2422.50507759935
"junk2",2398.00927627661,60.2288,2,2396.63976783784
"junk3",2292.3538460199,60.4861,3,2289.73700372992
"SandAmb1_0615_7_30",2309.23305783523,59.9563,4,2305.28114729701
"SandAmb2_0615_7:30",2298.63313161571,59.5421,5,2293.39109482753
"SandAmb3_0615_7:30",2377.07711539724,59.6159,6,2370.30481592317
"SandAmb1_0615_13_30",2297.06757038049,59.5723,7,2289.21882014001
"SandAmb2_0615_13_30",2370.01661232433,59.892,8,2360.57431506407
"SandAmb3_0615_13_30",2372.4008268745,60.1877,9,2361.60491867484
"SandAmb1_0615_20_00",2366.20397554179,60.0584,10,2354.09718999326
"SandAmb2_0615_20_00",2292.29681736169,59.857,11,2279.27240362668
"SandAmb3_0615_20_00",2378.05650095143,59.7569,12,2363.20208782794
"SandAmb1_0615_2_00",2379.25975080282,59.5094,13,2363.05593865206
"SandAmb2_0615_2_00",2387.14798848971,60.0674,14,2369.54564938003
"SandAmb3_0615_2_00",2388.69506598295,59.6002,15,2369.73716863388
"ReefAmb1_0615_2_00",2377.0188054371,59.6554,16,2356.81751247304
"ReefAmb2_0615_2_00",2381.97040284205,59.544,17,2360.38969704054
"ReefAmb3_0615_2_00",2310.50436106684,59.5208,18,2288.2754000379
"ReefAmb1_0615_7_30",2303.76982457141,59.9533,19,2280.31515441175
"ReefAmb2_0615_7_30",2294.68827312479,59.5358,20,2270.04210173453
"ReefAmb3_0615_7_30",2327.00007468399,60.1182,21,2300.70628852937
"ReefAmb1_0615_13_30",2373.38524660008,59.8402,22,2345.24233853763
"ReefAmb2_0615_13_30",2307.85549632906,60.1104,23,2279.20266285319
"ReefAmb3_0615_13_30",2362.82695840053,59.6319,24,2332.17550885557
"ReefAmb1_0615_20_00",2293.51633381223,60.0429,25,2262.48792794329
"ReefAmb2_0615_20",2294.95914905377,59.8064,26,2262.63578075724
"ReefAmb3_0615_20_00",2410.00680227509,60.2188,27,2374.7251711607
