Task,T5472
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-69.8,21.6,NaN,,
0.0005,1,-70.4,21.6,0.0005,,
0.0025,2,-70.5,21.6,0.0020,,
0.0050,3,-70.6,21.6,0.0025,,
0.0090,4,-70.8,21.6,0.0035,,
0.0155,5,-70.9,21.6,0.0060,,
0.0235,6,-71.0,21.6,0.0075,,
0.0315,7,-71.0,21.7,0.0080,,
0.0395,8,-70.9,21.6,0.0080,,
0.0480,9,-70.9,21.6,0.0075,,
0.0565,10,-70.7,21.6,0.0075,,
0.0650,11,-70.4,21.6,0.0075,,
0.0735,12,-70.1,21.6,0.0085,,
0.0810,13,-69.8,21.6,0.0075,,
0.0895,14,-69.4,21.6,0.0085,,
0.0980,15,-68.9,21.6,0.0075,,
0.1065,16,-68.5,21.6,0.0075,,
0.1150,17,-67.9,21.6,0.0075,,
0.1225,18,-67.4,21.6,0.0075,,
0.1310,19,-66.8,21.6,0.0085,,
0.1390,20,-66.2,21.6,0.0080,,
0.1475,21,-65.5,21.7,0.0075,,
0.1560,22,-64.8,21.6,0.0075,,
0.1645,23,-64.0,21.7,0.0075,,
0.1720,24,-63.3,21.7,0.0075,,
0.1805,25,-62.5,21.7,0.0085,,
0.1890,26,-61.7,21.7,0.0075,,
0.1975,27,-60.9,21.7,0.0075,,
0.2060,28,-59.9,21.7,0.0075,,
0.2145,29,-58.9,21.7,0.0075,,
0.2220,30,-58.1,21.7,0.0075,,
0.2305,31,-57.1,21.7,0.0085,,
0.2385,32,-56.1,21.7,0.0075,,
0.2470,33,-55.1,21.7,0.0075,,
0.2555,34,-54.1,21.7,0.0075,,
0.2640,35,-53.1,21.7,0.0075,,
0.2715,36,-52.2,21.7,0.0075,,
0.2800,37,-51.2,21.7,0.0085,,
0.2885,38,-50.3,21.7,0.0075,,
0.2970,39,-49.4,21.7,0.0075,,
0.3055,40,-48.5,21.7,0.0075,,
0.3135,41,-47.7,21.7,0.0075,,
