SampleID,TA,Salinity,Mass,Sample.Index
junk,2278.03183,na,60.015,1
1,2208.55988,35,59.6001,2
2,2212.732139,35.1,60.2091,3
3,2413.941256,34.42,59.6822,4
4,2311.656037,35.09,59.8346,5
5,2282.237067,35.2,59.9927,6
6,2207.194872,35.17,59.5951,7
7,2198.367301,34.93,59.8998,8
8,2229.996586,34.68,60.2325,9
9,2202.246002,34.88,60.3531,10
10,2054.232483,34.91,59.5753,11
13,2143.630386,34.98,60.063,12
14,2239.506154,35.26,59.8839,13
15,2252.178596,35.44,60.0149,14
16,2255.347261,34.93,59.909,15
17,2207.589326,34.91,60.2259,16
18,2197.547497,35.27,59.6634,17
19,2202.792327,34.91,59.6348,18
20,2173.680602,34.96,60.2472,19
