Task,T4808
Scope 1/1, Sample 1/19 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-70.0,22.2,NaN,,
0.0010,1,-69.9,22.2,0.0010,,
0.0025,2,-69.9,22.2,0.0015,,
0.0050,3,-69.9,22.2,0.0025,,
0.0085,4,-69.9,22.2,0.0030,,
0.0150,5,-69.9,22.2,0.0060,,
0.0230,6,-69.9,22.2,0.0075,,
0.0315,7,-69.8,22.2,0.0085,,
0.0390,8,-69.8,22.2,0.0075,,
0.0475,9,-69.5,22.2,0.0075,,
0.0560,10,-69.3,22.2,0.0075,,
0.0645,11,-68.9,22.2,0.0075,,
0.0730,12,-68.6,22.2,0.0075,,
0.0805,13,-68.2,22.2,0.0075,,
0.0890,14,-67.7,22.2,0.0085,,
0.0975,15,-67.2,22.2,0.0075,,
0.1060,16,-66.6,22.2,0.0075,,
0.1140,17,-65.9,22.2,0.0075,,
0.1225,18,-65.3,22.3,0.0075,,
0.1300,19,-64.8,22.2,0.0075,,
0.1385,20,-64.0,22.2,0.0085,,
0.1470,21,-63.3,22.2,0.0075,,
0.1555,22,-62.4,22.2,0.0075,,
0.1640,23,-61.5,22.2,0.0075,,
0.1725,24,-60.5,22.2,0.0075,,
0.1800,25,-59.8,22.3,0.0075,,
0.1885,26,-58.8,22.3,0.0075,,
0.1970,27,-57.9,22.3,0.0075,,
0.2055,28,-57.0,22.3,0.0075,,
0.2135,29,-55.9,22.3,0.0075,,
0.2220,30,-55.0,22.3,0.0075,,
0.2295,31,-54.1,22.3,0.0075,,
0.2380,32,-53.0,22.3,0.0075,,
0.2465,33,-51.9,22.3,0.0075,,
0.2550,34,-50.8,22.3,0.0075,,
0.2635,35,-49.8,22.3,0.0075,,
0.2720,36,-48.9,22.3,0.0085,,
0.2795,37,-47.9,22.3,0.0075,,
0.2880,38,-47.0,22.3,0.0075,,
0.2965,39,-46.1,22.3,0.0075,,
0.3050,40,-45.3,22.3,0.0075,,
0.3130,41,-44.5,22.3,0.0075,,
0.3210,42,-43.7,22.3,0.0080,,
0.3295,43,-42.8,22.3,0.0085,,
0.3375,44,-42.0,22.3,0.0075,,
0.3460,45,-41.3,22.3,0.0075,,
0.3545,46,-40.5,22.3,0.0075,,
0.3630,47,-39.8,22.3,0.0075,,
0.3705,48,-39.1,22.3,0.0075,,
0.3790,49,-38.6,22.3,0.0085,,
0.3875,50,-37.8,22.3,0.0075,,
0.3960,51,-37.2,22.3,0.0075,,
0.4045,52,-36.5,22.3,0.0075,,
0.4125,53,-35.8,22.3,0.0075,,
0.4205,54,-35.2,22.3,0.0080,,
0.4285,55,-34.6,22.3,0.0080,,
0.4370,56,-33.9,22.3,0.0075,,
0.4455,57,-33.2,22.3,0.0075,,
0.4540,58,-32.6,22.3,0.0075,,
0.4625,59,-32.1,22.3,0.0085,,
0.4700,60,-31.4,22.3,0.0075,,
0.4785,61,-30.8,22.3,0.0075,,
0.4870,62,-30.3,22.3,0.0075,,
0.4955,63,-29.7,22.3,0.0075,,
0.5040,64,-29.1,22.3,0.0075,,
0.5115,65,-28.7,22.3,0.0075,,
0.5200,66,-28.2,22.3,0.0085,,
0.5285,67,-27.7,22.3,0.0075,,
0.5365,68,-27.1,22.3,0.0075,,
0.5450,69,-26.7,22.3,0.0075,,
0.5535,70,-26.2,22.3,0.0075,,
0.5610,71,-25.7,22.3,0.0075,,
0.5695,72,-25.1,22.3,0.0085,,
0.5780,73,-24.5,22.3,0.0075,,
0.5865,74,-24.0,22.3,0.0075,,
0.5950,75,-23.5,22.3,0.0075,,
0.6035,76,-22.9,22.3,0.0075,,
0.6110,77,-22.5,22.3,0.0075,,
0.6195,78,-22.0,22.3,0.0075,,
0.6280,79,-21.5,22.3,0.0075,,
0.6360,80,-21.1,22.3,0.0075,,
0.6445,81,-20.7,22.3,0.0075,,
0.6530,82,-20.2,22.3,0.0085,,
0.6605,83,-19.7,22.3,0.0075,,
0.6690,84,-19.3,22.3,0.0075,,
0.6775,85,-18.9,22.3,0.0075,,
