Task,T4836
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-50.0,22.4,NaN,,
0.0005,1,-50.9,22.4,0.0005,,
0.0025,2,-51.1,22.4,0.0020,,
0.0050,3,-51.4,22.4,0.0025,,
0.0085,4,-51.5,22.4,0.0030,,
0.0150,5,-51.8,22.4,0.0060,,
0.0230,6,-51.9,22.5,0.0075,,
0.0315,7,-52.0,22.5,0.0085,,
0.0390,8,-52.1,22.5,0.0075,,
0.0475,9,-52.1,22.5,0.0085,,
0.0560,10,-52.0,22.5,0.0075,,
0.0645,11,-51.9,22.5,0.0075,,
0.0730,12,-51.7,22.5,0.0075,,
0.0805,13,-51.5,22.5,0.0075,,
0.0890,14,-51.2,22.4,0.0085,,
0.0975,15,-50.8,22.4,0.0085,,
0.1055,16,-50.5,22.5,0.0075,,
0.1140,17,-50.0,22.5,0.0075,,
0.1225,18,-49.5,22.5,0.0075,,
0.1300,19,-49.0,22.5,0.0075,,
0.1385,20,-48.4,22.5,0.0085,,
0.1470,21,-47.8,22.5,0.0075,,
0.1555,22,-47.1,22.5,0.0075,,
0.1640,23,-46.4,22.5,0.0075,,
0.1725,24,-45.7,22.5,0.0085,,
0.1800,25,-45.0,22.5,0.0075,,
0.1885,26,-44.1,22.5,0.0085,,
0.1970,27,-43.3,22.5,0.0075,,
0.2055,28,-42.5,22.5,0.0075,,
0.2140,29,-41.6,22.5,0.0075,,
0.2215,30,-40.9,22.5,0.0075,,
0.2300,31,-40.2,22.5,0.0085,,
0.2380,32,-39.4,22.5,0.0075,,
0.2465,33,-38.6,22.5,0.0075,,
0.2550,34,-37.8,22.5,0.0075,,
0.2635,35,-37.2,22.5,0.0085,,
0.2710,36,-36.5,22.5,0.0075,,
0.2795,37,-35.8,22.5,0.0085,,
0.2880,38,-35.1,22.5,0.0075,,
0.2965,39,-34.4,22.5,0.0075,,
0.3050,40,-33.7,22.5,0.0075,,
0.3135,41,-33.1,22.5,0.0085,,
0.3210,42,-32.5,22.5,0.0075,,
0.3295,43,-31.9,22.5,0.0085,,
0.3375,44,-31.2,22.5,0.0075,,
0.3460,45,-30.6,22.5,0.0075,,
0.3545,46,-30.0,22.5,0.0075,,
0.3630,47,-29.5,22.5,0.0085,,
0.3705,48,-28.9,22.5,0.0075,,
0.3790,49,-28.3,22.5,0.0085,,
0.3875,50,-27.7,22.5,0.0075,,
0.3960,51,-27.1,22.5,0.0075,,
0.4045,52,-26.6,22.5,0.0075,,
0.4120,53,-26.1,22.5,0.0075,,
0.4205,54,-25.5,22.5,0.0085,,
0.4290,55,-25.0,22.5,0.0075,,
0.4370,56,-24.4,22.5,0.0075,,
0.4455,57,-23.9,22.5,0.0075,,
0.4540,58,-23.3,22.5,0.0075,,
0.4615,59,-22.9,22.5,0.0075,,
0.4700,60,-22.4,22.5,0.0085,,
0.4785,61,-21.9,22.5,0.0075,,
