Task,T1691
Scope 1/1, Sample 1/11 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-57.2,21.7,NaN,,
0.0010,1,-57.3,21.7,0.0010,,
0.0025,2,-57.2,21.7,0.0015,,
0.0050,3,-57.3,21.7,0.0025,,
0.0090,4,-57.2,21.7,0.0035,,
0.0150,5,-57.1,21.7,0.0055,,
0.0235,6,-56.7,21.7,0.0075,,
0.0320,7,-56.0,21.7,0.0075,,
0.0405,8,-55.2,21.7,0.0085,,
0.0480,9,-54.2,21.7,0.0070,,
0.0565,10,-52.9,21.7,0.0075,,
0.0650,11,-51.6,21.7,0.0075,,
0.0735,12,-50.0,21.7,0.0075,,
0.0815,13,-48.4,21.7,0.0075,,
0.0900,14,-46.9,21.7,0.0085,,
0.0980,15,-44.9,21.7,0.0075,,
0.1060,16,-43.1,21.7,0.0075,,
0.1145,17,-41.1,21.7,0.0075,,
0.1230,18,-39.0,21.7,0.0075,,
0.1315,19,-36.6,21.7,0.0075,,
0.1400,20,-33.9,21.7,0.0075,,
0.1475,21,-31.7,21.7,0.0075,,
0.1560,22,-28.8,21.7,0.0075,,
0.1645,23,-25.9,21.7,0.0075,,
0.1725,24,-22.9,21.7,0.0075,,
0.1810,25,-19.8,21.7,0.0075,,
0.1895,26,-16.3,21.7,0.0075,,
0.1970,27,-13.0,21.7,0.0075,,
0.2055,28,-9.5,21.7,0.0075,,
0.2140,29,-6.4,21.7,0.0075,,
0.2225,30,-3.3,21.7,0.0075,,
0.2310,31,-0.6,21.7,0.0075,,
0.2395,32,1.0,21.7,0.0075,,
0.2470,33,3.4,21.7,0.0075,,
0.2555,34,4.9,21.8,0.0075,,
0.2635,35,6.2,21.7,0.0075,,
0.2720,36,10.0,21.7,0.0075,,
0.2805,37,11.3,21.8,0.0075,,
0.2890,38,12.3,21.8,0.0075,,
0.2965,39,13.0,21.8,0.0075,,
0.3050,40,14.1,21.8,0.0075,,
0.3135,41,15.3,21.8,0.0075,,
0.3220,42,16.2,21.8,0.0075,,
0.3305,43,17.2,21.8,0.0075,,
0.3385,44,18.4,21.8,0.0075,,
0.3465,45,19.1,21.8,0.0080,,
0.3545,46,20.0,21.8,0.0075,,
0.3630,47,21.2,21.8,0.0075,,
0.3715,48,22.2,21.8,0.0075,,
0.3800,49,23.1,21.8,0.0075,,
0.3885,50,24.1,21.8,0.0085,,
0.3960,51,25.0,21.8,0.0070,,
0.4045,52,25.7,21.8,0.0075,,
0.4130,53,26.5,21.8,0.0075,,
0.4215,54,27.6,21.8,0.0075,,
0.4295,55,28.5,21.8,0.0075,,
0.4380,56,29.4,21.8,0.0075,,
0.4455,57,30.7,21.8,0.0075,,
0.4540,58,31.6,21.8,0.0075,,
0.4625,59,32.3,21.8,0.0075,,
0.4710,60,33.2,21.8,0.0075,,
0.4795,61,34.2,21.8,0.0075,,
0.4880,62,34.9,21.8,0.0075,,
0.4955,63,35.3,21.8,0.0075,,
0.5040,64,35.9,21.8,0.0075,,
0.5125,65,36.6,21.8,0.0075,,
0.5205,66,37.3,21.8,0.0075,,
0.5290,67,38.2,21.8,0.0075,,
0.5375,68,39.0,21.8,0.0075,,
0.5450,69,39.8,21.8,0.0075,,
0.5535,70,40.6,21.8,0.0075,,
0.5620,71,41.2,21.8,0.0075,,
0.5705,72,42.0,21.8,0.0075,,
0.5790,73,42.7,21.8,0.0075,,
0.5875,74,43.2,21.8,0.0075,,
0.5950,75,44.0,21.8,0.0075,,
0.6035,76,44.8,21.8,0.0075,,
0.6115,77,45.6,21.8,0.0075,,
0.6200,78,46.3,21.8,0.0075,,
0.6285,79,47.2,21.8,0.0075,,
0.6370,80,47.9,21.8,0.0075,,
0.6455,81,48.4,21.8,0.0085,,
0.6530,82,49.4,21.8,0.0070,,
0.6615,83,50.0,21.8,0.0075,,
0.6700,84,50.5,21.8,0.0075,,
0.6780,85,51.1,21.8,0.0075,,
0.6865,86,51.6,21.8,0.0075,,
0.6950,87,52.7,21.8,0.0075,,
0.7025,88,53.6,21.8,0.0075,,
0.7110,89,54.5,21.8,0.0075,,
0.7195,90,55.1,21.8,0.0075,,
0.7280,91,55.9,21.8,0.0075,,
0.7365,92,56.5,21.8,0.0075,,
0.7445,93,57.3,21.8,0.0065,,
0.7525,94,57.6,21.8,0.0080,,
0.7610,95,58.5,21.8,0.0075,,
0.7690,96,59.1,21.8,0.0075,,
0.7775,97,59.7,21.8,0.0075,,
0.7860,98,60.1,21.8,0.0075,,
0.7945,99,60.7,21.8,0.0075,,
0.8020,100,61.3,21.8,0.0075,,
0.8105,101,62.4,21.8,0.0075,,
0.8190,102,63.4,21.8,0.0075,,
0.8275,103,64.5,21.8,0.0075,,
0.8360,104,65.3,21.8,0.0075,,
0.8440,105,65.7,21.8,0.0075,,
0.8520,106,66.4,21.8,0.0080,,
0.8600,107,67.1,21.8,0.0075,,
0.8685,108,67.4,21.8,0.0075,,
0.8770,109,68.3,21.8,0.0075,,
0.8855,110,69.1,21.8,0.0075,,
0.8940,111,70.0,21.8,0.0075,,
0.9015,112,71.0,21.8,0.0075,,
0.9100,113,71.6,21.8,0.0075,,
0.9185,114,72.5,21.8,0.0075,,
0.9270,115,72.9,21.8,0.0075,,
0.9350,116,73.6,21.8,0.0075,,
0.9435,117,74.4,21.8,0.0075,,
0.9520,118,75.8,21.8,0.0085,,
0.9595,119,76.5,21.8,0.0070,,
0.9680,120,76.9,21.8,0.0075,,
0.9765,121,77.9,21.8,0.0075,,
0.9850,122,78.5,21.8,0.0075,,
0.9935,123,79.6,21.8,0.0075,,
1.0015,124,80.1,21.8,0.0080,,
1.0095,125,81.8,21.8,0.0080,,
1.0175,126,82.5,21.8,0.0075,,
1.0260,127,83.5,21.8,0.0075,,
1.0345,128,85.3,21.8,0.0075,,
1.0430,129,86.0,21.8,0.0075,,
1.0515,130,87.0,21.8,0.0075,,
1.0590,131,88.1,21.8,0.0075,,
1.0675,132,88.9,21.8,0.0075,,
1.0760,133,89.9,21.8,0.0075,,
1.0845,134,91.4,21.8,0.0075,,
1.0925,135,92.1,21.8,0.0075,,
1.1010,136,93.6,21.8,0.0075,,
1.1085,137,94.2,21.8,0.0070,,
1.1170,138,95.5,21.8,0.0075,,
1.1255,139,96.3,21.8,0.0075,,
1.1340,140,97.4,21.8,0.0075,,
1.1425,141,99.6,21.8,0.0075,,
1.1510,142,100.9,21.8,0.0075,,
1.1585,143,102.2,21.8,0.0075,,
1.1670,144,103.5,21.8,0.0075,,
1.1755,145,104.9,21.8,0.0075,,
1.1835,146,106.0,21.8,0.0075,,
1.1920,147,107.6,21.8,0.0075,,
1.2005,148,110.0,21.8,0.0075,,
1.2080,149,112.1,21.8,0.0070,,
1.2165,150,114.3,21.8,0.0075,,
1.2250,151,116.3,21.8,0.0075,,
1.2335,152,117.6,21.8,0.0075,,
1.2420,153,119.2,21.8,0.0075,,
1.2505,154,122.1,21.8,0.0085,,
1.2580,155,123.9,21.8,0.0070,,
1.2665,156,127.7,21.8,0.0075,,
1.2750,157,130.4,21.8,0.0075,,
1.2830,158,132.1,21.8,0.0075,,
1.2915,159,135.3,21.8,0.0075,,
1.3000,160,137.5,21.8,0.0085,,
1.3075,161,141.2,21.8,0.0070,,
1.3160,162,143.9,21.8,0.0075,,
1.3245,163,148.4,21.8,0.0075,,
1.3330,164,151.9,21.8,0.0075,,
1.3415,165,154.9,21.8,0.0075,,
1.3500,166,158.3,21.8,0.0085,,
1.3575,167,160.7,21.8,0.0070,,
1.3660,168,163.6,21.8,0.0075,,
1.3740,169,167.0,21.8,0.0075,,
1.3825,170,169.4,21.8,0.0075,,
1.3910,171,172.5,21.8,0.0070,,
1.3995,172,174.2,21.8,0.0085,,
1.4070,173,176.5,21.8,0.0070,,
1.4155,174,178.4,21.8,0.0075,,
1.4240,175,180.2,21.8,0.0075,,
1.4325,176,182.0,21.8,0.0075,,
1.4410,177,183.8,21.8,0.0075,,
1.4505,178,185.2,21.8,0.0075,,
1.4505,418,188.2,21.9,0.0000,,
1.4510,419,188.3,21.9,0.0005,,
1.4525,420,188.2,21.9,0.0010,,
1.4550,421,188.2,21.9,0.0020,,
1.4590,422,188.1,21.9,0.0025,,
1.4655,424,189.1,21.9,0.0045,,
1.4740,424,190.2,21.9,0.0170,,
1.4815,425,191.0,21.9,0.0055,,
1.4900,426,192.3,21.9,0.0060,,
1.4985,427,193.4,21.9,0.0060,,
1.5070,428,194.8,21.9,0.0055,,
1.5150,430,195.7,21.9,0.0055,,
1.5235,430,196.9,21.9,0.0170,,
1.5310,431,198.2,21.9,0.0055,,
1.5395,432,199.2,21.9,0.0060,,
1.5480,434,199.8,21.9,0.0055,,
1.5565,434,200.8,21.9,0.0170,,
1.5650,436,201.7,21.9,0.0055,,
1.5735,436,202.4,21.9,0.0210,,
1.5810,437,203.3,21.9,0.0055,,
1.5895,438,204.1,21.9,0.0060,,
1.5980,440,205.1,21.9,0.0055,,
1.6065,440,205.6,21.9,0.0170,,
1.6145,442,206.3,21.9,0.0055,,
1.6225,442,207.1,21.9,0.0200,,
1.6305,443,207.6,21.9,0.0055,,
1.6390,444,208.4,21.9,0.0060,,
1.6475,446,209.0,21.9,0.0055,,
1.6560,446,209.7,21.9,0.0170,,
1.6645,448,210.3,21.9,0.0055,,
1.6730,448,210.8,21.9,0.0170,,
1.6805,449,211.6,21.9,0.0055,,
1.6890,450,212.0,21.9,0.0060,,
1.6975,452,212.5,21.9,0.0055,,
1.7055,452,213.0,21.9,0.0160,,
1.7140,454,213.7,21.9,0.0055,,
1.7225,454,214.3,21.9,0.0170,,
1.7300,455,214.8,21.9,0.0055,,
1.7385,456,215.2,21.9,0.0060,,
1.7470,458,215.7,21.9,0.0055,,
1.7555,458,216.3,21.9,0.0170,,
1.7640,460,216.8,21.9,0.0055,,
1.7715,460,217.1,21.9,0.0185,,
1.7800,461,217.7,21.9,0.0060,,
1.7885,462,218.2,21.9,0.0060,,
1.7965,464,218.6,21.9,0.0055,,
1.8050,464,219.0,21.9,0.0170,,
1.8135,466,219.5,21.9,0.0055,,
1.8220,466,219.9,21.9,0.0170,,
1.8295,467,220.2,21.9,0.0055,,
1.8380,468,220.7,21.9,0.0060,,
1.8465,470,221.1,21.9,0.0055,,
1.8550,470,221.5,21.9,0.0170,,
1.8635,472,221.9,21.9,0.0055,,
1.8715,472,222.2,21.9,0.0160,,
1.8795,473,222.5,21.9,0.0055,,
1.8875,474,222.9,21.9,0.0055,,
1.8960,476,223.3,21.9,0.0055,,
1.9045,476,223.7,21.9,0.0170,,
1.9130,478,224.0,21.9,0.0055,,
1.9215,478,224.3,21.9,0.0170,,
1.9290,479,224.7,21.9,0.0055,,
1.9375,480,225.2,21.9,0.0060,,
1.9460,481,225.6,21.9,0.0060,,
1.9540,482,226.0,21.9,0.0055,,
1.9625,484,226.3,21.9,0.0055,,
1.9710,484,226.6,21.9,0.0170,,
1.9785,485,226.9,21.9,0.0055,,
1.9870,486,227.3,21.9,0.0060,,
1.9955,487,227.5,21.9,0.0060,,
2.0040,488,227.8,21.9,0.0055,,
2.0125,490,228.2,21.9,0.0055,,
2.0210,490,228.5,21.9,0.0170,,
2.0285,491,228.9,21.9,0.0055,,
2.0370,492,229.1,21.9,0.0055,,
2.0455,494,229.4,21.9,0.0060,,
2.0535,494,229.6,22.0,0.0160,,
2.0620,496,230.0,22.0,0.0055,,
2.0705,496,230.2,21.9,0.0170,,
2.0780,497,230.4,22.0,0.0055,,
2.0865,498,230.6,21.9,0.0060,,
2.0950,499,230.8,22.0,0.0060,,
2.1035,500,231.2,21.9,0.0055,,
2.1120,502,231.6,22.0,0.0055,,
2.1205,502,231.8,22.0,0.0170,,
2.1280,503,231.9,22.0,0.0055,,
2.1365,504,232.3,22.0,0.0060,,
2.1445,505,232.5,22.0,0.0055,,
2.1530,506,232.8,22.0,0.0055,,
2.1615,508,233.1,22.0,0.0055,,
2.1700,508,233.3,22.0,0.0170,,
2.1775,509,233.4,22.0,0.0055,,
2.1860,510,233.7,22.0,0.0060,,
2.1945,511,233.8,22.0,0.0060,,
