Task,T2630
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-43.9,20.2,NaN,,
0.0010,1,-44.1,20.2,0.0010,,
0.0025,2,-44.2,20.2,0.0015,,
0.0050,3,-44.2,20.2,0.0025,,
0.0090,4,-44.2,20.2,0.0035,,
0.0150,5,-44.2,20.2,0.0055,,
0.0235,6,-44.1,20.2,0.0075,,
0.0320,7,-43.8,20.2,0.0075,,
0.0405,8,-43.3,20.2,0.0085,,
0.0480,9,-42.7,20.2,0.0075,,
0.0565,10,-41.9,20.2,0.0075,,
0.0650,11,-41.1,20.2,0.0075,,
0.0735,12,-39.8,20.2,0.0075,,
0.0815,13,-38.5,20.3,0.0075,,
0.0895,14,-37.2,20.3,0.0080,,
0.0975,15,-35.8,20.3,0.0080,,
0.1060,16,-34.5,20.3,0.0075,,
0.1145,17,-32.9,20.3,0.0075,,
0.1230,18,-31.2,20.3,0.0075,,
0.1315,19,-29.5,20.3,0.0075,,
0.1390,20,-27.8,20.3,0.0075,,
0.1475,21,-25.9,20.3,0.0085,,
0.1560,22,-23.9,20.3,0.0075,,
0.1645,23,-21.9,20.3,0.0075,,
0.1725,24,-19.8,20.3,0.0075,,
0.1810,25,-17.5,20.3,0.0075,,
0.1885,26,-15.5,20.3,0.0075,,
0.1970,27,-13.2,20.3,0.0085,,
0.2055,28,-10.9,20.3,0.0075,,
0.2140,29,-8.7,20.3,0.0075,,
0.2225,30,-6.6,20.3,0.0075,,
0.2310,31,-4.2,20.3,0.0075,,
0.2385,32,-2.3,20.3,0.0075,,
0.2470,33,-0.1,20.3,0.0085,,
0.2555,34,1.0,20.3,0.0075,,
0.2635,35,3.2,20.3,0.0075,,
0.2720,36,4.5,20.3,0.0075,,
0.2805,37,5.7,20.3,0.0075,,
0.2880,38,6.6,20.3,0.0075,,
0.2965,39,7.8,20.3,0.0085,,
0.3050,40,9.5,20.3,0.0075,,
0.3135,41,10.9,20.3,0.0075,,
0.3220,42,12.1,20.3,0.0075,,
0.3305,43,13.2,20.3,0.0075,,
0.3385,44,14.2,20.3,0.0080,,
0.3465,45,15.2,20.3,0.0080,,
0.3545,46,16.2,20.3,0.0075,,
0.3630,47,17.2,20.3,0.0075,,
0.3715,48,18.3,20.3,0.0075,,
0.3800,49,19.2,20.3,0.0075,,
0.3885,50,20.0,20.3,0.0085,,
0.3960,51,20.9,20.3,0.0075,,
0.4045,52,21.8,20.3,0.0075,,
0.4130,53,22.7,20.3,0.0075,,
0.4215,54,23.6,20.3,0.0075,,
0.4295,55,24.5,20.3,0.0075,,
0.4380,56,25.4,20.3,0.0075,,
0.4455,57,26.1,20.3,0.0075,,
0.4540,58,27.1,20.3,0.0085,,
0.4625,59,27.9,20.3,0.0075,,
0.4710,60,28.7,20.3,0.0075,,
0.4795,61,29.5,20.3,0.0075,,
0.4880,62,30.3,20.3,0.0075,,
0.4955,63,30.9,20.3,0.0075,,
0.5040,64,31.7,20.3,0.0075,,
0.5125,65,32.5,20.3,0.0075,,
0.5205,66,33.4,20.3,0.0075,,
0.5290,67,34.2,20.3,0.0075,,
0.5375,68,34.9,20.3,0.0075,,
0.5450,69,35.6,20.3,0.0075,,
0.5535,70,36.3,20.3,0.0075,,
0.5620,71,37.1,20.3,0.0075,,
0.5705,72,37.8,20.3,0.0075,,
0.5790,73,38.6,20.3,0.0075,,
0.5875,74,39.2,20.3,0.0085,,
0.5950,75,39.9,20.3,0.0075,,
0.6035,76,40.7,20.3,0.0075,,
0.6115,77,41.3,20.3,0.0075,,
0.6200,78,42.0,20.3,0.0075,,
0.6285,79,42.8,20.3,0.0075,,
0.6370,80,43.4,20.3,0.0085,,
0.6445,81,44.1,20.3,0.0075,,
0.6530,82,44.7,20.3,0.0075,,
0.6615,83,45.4,20.3,0.0075,,
0.6700,84,46.1,20.3,0.0075,,
0.6780,85,46.7,20.3,0.0075,,
0.6865,86,47.3,20.3,0.0075,,
0.6940,87,47.9,20.3,0.0075,,
0.7025,88,48.6,20.3,0.0075,,
0.7110,89,49.2,20.3,0.0075,,
0.7195,90,49.9,20.3,0.0075,,
0.7280,91,50.5,20.3,0.0075,,
0.7365,92,51.2,20.3,0.0075,,
0.7440,93,51.7,20.3,0.0075,,
0.7525,94,52.4,20.4,0.0075,,
0.7610,95,53.0,20.4,0.0075,,
0.7695,96,53.6,20.4,0.0075,,
0.7775,97,54.3,20.4,0.0075,,
0.7860,98,54.8,20.4,0.0085,,
0.7935,99,55.5,20.4,0.0075,,
0.8020,100,56.1,20.4,0.0075,,
0.8105,101,56.7,20.4,0.0075,,
0.8190,102,57.3,20.4,0.0075,,
0.8275,103,57.9,20.4,0.0075,,
0.8360,104,58.6,20.4,0.0075,,
0.8435,105,59.1,20.4,0.0075,,
0.8520,106,59.7,20.4,0.0075,,
0.8605,107,60.4,20.4,0.0075,,
0.8685,108,61.0,20.4,0.0075,,
0.8770,109,61.6,20.4,0.0075,,
0.8855,110,62.2,20.4,0.0075,,
0.8930,111,62.7,20.4,0.0075,,
0.9015,112,63.4,20.4,0.0075,,
0.9100,113,64.0,20.4,0.0075,,
0.9185,114,64.6,20.4,0.0075,,
0.9270,115,65.1,20.4,0.0075,,
0.9355,116,65.7,20.4,0.0075,,
0.9430,117,66.4,20.4,0.0075,,
0.9515,118,67.0,20.4,0.0075,,
0.9595,119,67.6,20.4,0.0075,,
0.9680,120,68.1,20.4,0.0075,,
0.9765,121,68.8,20.4,0.0075,,
0.9850,122,69.4,20.4,0.0075,,
0.9925,123,70.0,20.4,0.0075,,
1.0010,124,70.5,20.4,0.0075,,
1.0095,125,71.2,20.4,0.0075,,
1.0180,126,71.9,20.4,0.0075,,
1.0265,127,72.6,20.4,0.0075,,
1.0345,128,73.2,20.4,0.0075,,
1.0425,129,73.7,20.4,0.0080,,
1.0505,130,74.4,20.4,0.0080,,
1.0590,131,75.0,20.4,0.0075,,
1.0675,132,75.7,20.4,0.0075,,
1.0760,133,76.5,20.4,0.0075,,
1.0845,134,77.1,20.4,0.0075,,
1.0920,135,77.7,20.4,0.0075,,
1.1005,136,78.5,20.4,0.0085,,
1.1090,137,79.2,20.4,0.0075,,
1.1175,138,80.0,20.4,0.0075,,
1.1255,139,80.6,20.4,0.0075,,
1.1340,140,81.2,20.4,0.0075,,
1.1415,141,81.9,20.4,0.0075,,
1.1500,142,82.6,20.4,0.0075,,
1.1585,143,83.4,20.4,0.0075,,
1.1670,144,84.1,20.4,0.0075,,
1.1755,145,84.8,20.4,0.0075,,
1.1840,146,85.6,20.4,0.0075,,
1.1920,147,86.2,20.4,0.0080,,
1.2000,148,87.0,20.4,0.0080,,
1.2080,149,87.7,20.4,0.0075,,
1.2165,150,88.6,20.4,0.0075,,
1.2250,151,89.4,20.4,0.0075,,
1.2335,152,90.2,20.4,0.0075,,
1.2420,153,91.0,20.4,0.0085,,
1.2495,154,92.1,20.4,0.0075,,
1.2580,155,93.0,20.4,0.0075,,
1.2665,156,93.9,20.4,0.0075,,
1.2750,157,94.9,20.4,0.0075,,
1.2835,158,95.6,20.4,0.0075,,
1.2910,159,96.7,20.4,0.0075,,
1.2990,160,97.7,20.4,0.0080,,
1.3075,161,98.5,20.4,0.0075,,
1.3160,162,99.4,20.4,0.0075,,
1.3245,163,100.4,20.4,0.0075,,
1.3330,164,101.5,20.4,0.0075,,
1.3415,165,102.8,20.4,0.0075,,
1.3490,166,104.1,20.4,0.0075,,
1.3575,167,105.3,20.4,0.0075,,
1.3660,168,106.4,20.4,0.0075,,
1.3740,169,107.6,20.4,0.0075,,
1.3825,170,108.7,20.4,0.0075,,
1.3910,171,110.2,20.4,0.0075,,
1.3985,172,111.5,20.4,0.0075,,
1.4070,173,113.0,20.4,0.0075,,
1.4155,174,114.3,20.5,0.0075,,
1.4240,175,115.9,20.5,0.0075,,
1.4325,176,117.2,20.5,0.0075,,
1.4410,177,118.8,20.5,0.0075,,
1.4485,178,120.5,20.5,0.0075,,
1.4570,179,122.1,20.5,0.0085,,
1.4650,180,124.0,20.5,0.0075,,
1.4735,181,126.0,20.5,0.0075,,
1.4820,182,128.1,20.5,0.0075,,
1.4905,183,130.5,20.5,0.0075,,
1.4980,184,133.1,20.5,0.0075,,
1.5065,185,135.5,20.5,0.0085,,
1.5150,186,138.1,20.5,0.0075,,
1.5235,187,141.1,20.5,0.0075,,
1.5315,188,143.8,20.5,0.0075,,
1.5400,189,147.1,20.5,0.0075,,
1.5475,190,149.9,20.5,0.0075,,
1.5560,191,153.2,20.5,0.0085,,
1.5645,192,156.6,20.5,0.0075,,
1.5730,193,160.2,20.5,0.0075,,
1.5815,194,163.9,20.5,0.0075,,
1.5900,195,167.2,20.5,0.0075,,
1.5975,196,169.6,20.5,0.0075,,
1.6060,197,172.7,20.5,0.0085,,
1.6145,198,175.4,20.5,0.0075,,
1.6230,199,177.6,20.5,0.0075,,
1.6310,200,180.4,20.5,0.0075,,
1.6395,201,182.4,20.5,0.0075,,
1.6470,202,184.6,20.5,0.0075,,
1.6515,202,185.1,20.5,0.0090,,
1.6515,443,190.0,20.7,0.0000,,
1.6520,444,190.1,20.7,0.0010,,
1.6535,445,190.1,20.7,0.0025,,
1.6560,446,190.2,20.7,0.0035,,
1.6600,447,190.2,20.7,0.0055,,
1.6660,448,190.3,20.7,0.0085,,
1.6745,449,190.9,20.7,0.0120,,
1.6820,450,191.7,20.7,0.0125,,
1.6905,451,193.0,20.7,0.0140,,
1.6990,452,194.4,20.7,0.0140,,
1.7075,453,195.9,20.7,0.0120,,
1.7155,454,197.3,20.7,0.0115,,
1.7240,455,198.5,20.7,0.0120,,
1.7315,456,199.5,20.7,0.0125,,
1.7400,457,200.6,20.7,0.0140,,
1.7485,458,201.8,20.7,0.0140,,
1.7570,459,202.8,20.7,0.0120,,
1.7655,460,203.8,20.7,0.0120,,
1.7740,461,204.7,20.7,0.0120,,
1.7815,462,205.7,20.7,0.0125,,
1.7900,463,206.6,20.7,0.0140,,
1.7985,464,207.3,20.7,0.0140,,
1.8070,465,208.2,20.7,0.0120,,
1.8150,466,209.1,20.7,0.0115,,
1.8235,467,209.9,20.7,0.0120,,
1.8310,468,210.6,20.7,0.0125,,
1.8395,469,211.4,20.7,0.0140,,
1.8480,470,212.1,20.7,0.0140,,
1.8565,471,212.9,20.7,0.0120,,
1.8650,472,213.6,20.7,0.0120,,
1.8735,473,214.3,20.7,0.0120,,
1.8810,474,214.7,20.7,0.0125,,
1.8895,475,215.4,20.7,0.0140,,
1.8980,476,216.1,20.7,0.0140,,
1.9060,477,216.6,20.7,0.0115,,
1.9145,478,217.2,20.7,0.0120,,
1.9230,479,217.7,20.7,0.0120,,
1.9305,480,218.4,20.7,0.0125,,
1.9390,481,218.9,20.7,0.0140,,
1.9475,482,219.5,20.7,0.0120,,
1.9560,483,220.1,20.7,0.0120,,
1.9645,484,220.7,20.7,0.0120,,
1.9730,485,221.0,20.7,0.0140,,
1.9805,486,221.6,20.7,0.0125,,
1.9890,487,222.1,20.7,0.0140,,
1.9975,488,222.5,20.7,0.0120,,
2.0055,489,223.0,20.7,0.0115,,
2.0140,490,223.3,20.7,0.0120,,
2.0220,491,223.8,20.7,0.0135,,
2.0300,492,224.2,20.7,0.0135,,
2.0385,493,224.7,20.7,0.0140,,
2.0470,494,225.1,20.7,0.0120,,
2.0555,495,225.6,20.7,0.0120,,
2.0640,496,226.0,20.7,0.0120,,
2.0715,497,226.4,20.7,0.0125,,
2.0800,498,226.7,20.7,0.0140,,
2.0885,499,227.2,20.7,0.0140,,
2.0970,500,227.6,20.7,0.0120,,
2.1050,501,228.0,20.7,0.0115,,
2.1135,502,228.4,20.7,0.0120,,
2.1220,503,228.7,20.7,0.0140,,
2.1295,504,229.1,20.7,0.0125,,
2.1380,505,229.5,20.7,0.0140,,
2.1465,506,229.8,20.7,0.0120,,
2.1550,507,230.1,20.7,0.0120,,
2.1635,508,230.4,20.7,0.0120,,
2.1710,509,230.8,20.7,0.0125,,
2.1795,510,231.2,20.7,0.0140,,
2.1875,511,231.5,20.7,0.0135,,
2.1960,512,231.8,20.7,0.0120,,
2.2045,513,232.2,20.7,0.0120,,
2.2130,514,232.5,20.8,0.0120,,
2.2205,515,232.8,20.8,0.0125,,
2.2290,516,233.1,20.7,0.0140,,
2.2375,517,233.4,20.8,0.0140,,
2.2455,518,233.7,20.8,0.0115,,
2.2520,519,234.0,20.8,0.0095,,
2.2555,520,234.3,20.8,0.0050,,
2.2560,521,234.5,20.8,0.0010,,
2.2565,522,234.6,20.8,0.0010,,
2.2570,523,234.7,20.8,0.0010,,
2.2580,524,234.7,20.8,0.0015,,
2.2590,525,234.8,20.8,0.0015,,
2.2615,526,234.8,20.8,0.0035,,
