Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,V01_LD_20210806,9/22/2021 2:40:19 PM,OK,Unchecked,0,,25.0,°C,,2.486,mL,,59.704,g,,59.7043,g,,1.0,g/mL
2,V02_LD_20210806,9/22/2021 2:51:10 PM,OK,Unchecked,0,,25.0,°C,,2.498,mL,,59.825,g,,59.8254,g,,1.0,g/mL
3,V03_LD_20210806,9/22/2021 3:01:53 PM,OK,Unchecked,0,,25.0,°C,,2.493,mL,,59.891,g,,59.8906,g,,1.0,g/mL
4,V05_LD_20210806,9/22/2021 3:12:38 PM,OK,Unchecked,0,,25.0,°C,,2.508,mL,,60.138,g,,60.1384,g,,1.0,g/mL
5,V06_LD_20210806,9/22/2021 3:23:24 PM,OK,Unchecked,0,,25.0,°C,,2.501,mL,,59.560,g,,59.5601,g,,1.0,g/mL
6,V09_LD_20210806,9/22/2021 3:34:09 PM,OK,Unchecked,0,,25.0,°C,,2.548,mL,,60.469,g,,60.4686,g,,1.0,g/mL
7,V10_LD_20210806,9/22/2021 3:44:59 PM,OK,Unchecked,0,,25.0,°C,,2.516,mL,,60.178,g,,60.1784,g,,1.0,g/mL
8,V13_LD_20210806,9/22/2021 3:55:45 PM,OK,Unchecked,0,,25.0,°C,,2.526,mL,,60.430,g,,60.4297,g,,1.0,g/mL
9,V15_LD_20210806,9/22/2021 4:06:34 PM,OK,Unchecked,0,,25.0,°C,,2.519,mL,,60.416,g,,60.4158,g,,1.0,g/mL
10,V19_LD_20210806,9/22/2021 4:17:22 PM,OK,Unchecked,0,,25.0,°C,,2.522,mL,,60.425,g,,60.4250,g,,1.0,g/mL
11,V02_LN_20210808,9/22/2021 4:28:09 PM,OK,Unchecked,0,,25.0,°C,,2.521,mL,,60.472,g,,60.4717,g,,1.0,g/mL
12,V03_LD_20210808,9/22/2021 4:38:57 PM,OK,Unchecked,0,,25.0,°C,,2.519,mL,,59.981,g,,59.9807,g,,1.0,g/mL
13,V16_LN_20210808,9/22/2021 4:49:44 PM,OK,Unchecked,0,,25.0,°C,,2.491,mL,,59.822,g,,59.8220,g,,1.0,g/mL
14,V09_LN_20210808,9/22/2021 5:00:29 PM,OK,Unchecked,0,,25.0,°C,,2.506,mL,,59.838,g,,59.8375,g,,1.0,g/mL
15,V07_LN_20210808,9/22/2021 5:11:14 PM,OK,Unchecked,0,,25.0,°C,,2.485,mL,,59.822,g,,59.8222,g,,1.0,g/mL
16,V18_LN_20210808,9/22/2021 5:21:57 PM,OK,Unchecked,0,,25.0,°C,,2.499,mL,,59.742,g,,59.7417,g,,1.0,g/mL
17,V01_LN_20210808,9/22/2021 5:32:42 PM,OK,Unchecked,0,,25.0,°C,,2.496,mL,,59.926,g,,59.9265,g,,1.0,g/mL
18,V01_LD_20210808,9/22/2021 5:43:26 PM,OK,Unchecked,0,,25.0,°C,,2.528,mL,,60.280,g,,60.2805,g,,1.0,g/mL
19,V09_LD_20210808,9/22/2021 5:54:15 PM,OK,Unchecked,0,,25.0,°C,,2.520,mL,,60.023,g,,60.0232,g,,1.0,g/mL
20,V06_LD_20210808,9/22/2021 6:05:03 PM,OK,Unchecked,0,,25.0,°C,,2.521,mL,,60.229,g,,60.2291,g,,1.0,g/mL
21,V13_LD_20210808,9/22/2021 6:15:50 PM,OK,Unchecked,0,,25.0,°C,,2.510,mL,,59.976,g,,59.9764,g,,1.0,g/mL
22,V11_LD_20210808,9/22/2021 6:26:38 PM,OK,Unchecked,0,,25.0,°C,,2.504,mL,,59.788,g,,59.7877,g,,1.0,g/mL
23,V18_LD_20210808,9/22/2021 6:37:23 PM,OK,Unchecked,0,,25.0,°C,,2.513,mL,,59.920,g,,59.9201,g,,1.0,g/mL
24,V07_LD_20210808,9/22/2021 6:48:10 PM,OK,Unchecked,0,,25.0,°C,,2.528,mL,,60.158,g,,60.1585,g,,1.0,g/mL
25,V17_LD_20210808,9/22/2021 6:59:00 PM,OK,Unchecked,0,,25.0,°C,,2.501,mL,,59.780,g,,59.7796,g,,1.0,g/mL
26,V19_LD_20210808,9/22/2021 7:09:46 PM,OK,Unchecked,0,,25.0,°C,,2.505,mL,,59.677,g,,59.6770,g,,1.0,g/mL
27,V04_LD_20210808,9/22/2021 7:20:32 PM,OK,Unchecked,0,,25.0,°C,,2.498,mL,,59.575,g,,59.5747,g,,1.0,g/mL
28,V08_LD_20210808,9/22/2021 7:31:17 PM,OK,Unchecked,0,,25.0,°C,,2.496,mL,,59.723,g,,59.7228,g,,1.0,g/mL
29,V20_LD_20210808,9/22/2021 7:42:16 PM,OK,Unchecked,0,,25.0,°C,,2.512,mL,,59.964,g,,59.9638,g,,1.0,g/mL
30,V16_LD_20210808,9/22/2021 7:53:05 PM,OK,Unchecked,0,,25.0,°C,,2.534,mL,,60.318,g,,60.3181,g,,1.0,g/mL
31,CRM,9/22/2021 8:03:55 PM,OK,Unchecked,0,,25.0,°C,,2.428,mL,,59.771,g,,59.7706,g,,1.0,g/mL
SystemInternal9/22/2021 9:38:38 PM,,,,,,,,,,,,,,,,,,1/1,,
