Task,T3011
Scope 1/1, Sample 1/1 (CRM)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-56.4,23.1,NaN,,
0.0010,1,-56.5,23.1,0.0010,,
0.0025,2,-56.6,23.1,0.0015,,
0.0050,3,-56.6,23.1,0.0025,,
0.0090,4,-56.5,23.1,0.0035,,
0.0150,5,-56.3,23.1,0.0055,,
0.0235,6,-56.0,23.1,0.0075,,
0.0320,7,-55.4,23.1,0.0075,,
0.0405,8,-54.7,23.1,0.0075,,
0.0480,9,-53.9,23.1,0.0070,,
0.0565,10,-52.8,23.1,0.0075,,
0.0650,11,-51.7,23.1,0.0075,,
0.0735,12,-50.6,23.1,0.0075,,
0.0820,13,-49.3,23.1,0.0075,,
0.0905,14,-47.9,23.1,0.0075,,
0.0980,15,-46.6,23.1,0.0070,,
0.1065,16,-45.1,23.1,0.0075,,
0.1145,17,-43.4,23.1,0.0075,,
0.1230,18,-41.7,23.1,0.0075,,
0.1315,19,-39.9,23.1,0.0075,,
0.1400,20,-38.1,23.1,0.0075,,
0.1475,21,-36.3,23.1,0.0070,,
0.1560,22,-34.3,23.1,0.0075,,
0.1645,23,-32.1,23.1,0.0075,,
0.1730,24,-29.9,23.1,0.0075,,
0.1815,25,-27.7,23.1,0.0075,,
0.1900,26,-25.6,23.1,0.0075,,
0.1975,27,-23.3,23.1,0.0070,,
0.2060,28,-21.0,23.1,0.0075,,
0.2145,29,-18.6,23.1,0.0075,,
0.2225,30,-16.5,23.1,0.0075,,
0.2310,31,-14.4,23.1,0.0075,,
0.2395,32,-12.4,23.1,0.0075,,
0.2470,33,-10.7,23.1,0.0070,,
0.2555,34,-9.0,23.1,0.0075,,
0.2640,35,-7.4,23.1,0.0075,,
0.2725,36,-5.8,23.1,0.0075,,
0.2810,37,-4.2,23.1,0.0075,,
0.2885,38,-2.8,23.1,0.0070,,
0.2970,39,-1.0,23.1,0.0075,,
0.3055,40,0.3,23.1,0.0075,,
0.3140,41,0.8,23.1,0.0075,,
0.3220,42,2.1,23.1,0.0075,,
0.3305,43,4.0,23.1,0.0070,,
0.3385,44,4.6,23.1,0.0075,,
0.3465,45,5.6,23.1,0.0075,,
0.3550,46,6.5,23.1,0.0075,,
0.3635,47,7.4,23.1,0.0075,,
0.3720,48,8.4,23.1,0.0075,,
0.3805,49,9.5,23.1,0.0070,,
0.3880,50,10.7,23.1,0.0070,,
0.3965,51,11.8,23.1,0.0075,,
0.4050,52,12.9,23.1,0.0075,,
0.4135,53,14.0,23.1,0.0075,,
0.4215,54,15.0,23.1,0.0075,,
0.4300,55,15.9,23.1,0.0075,,
0.4375,56,16.9,23.1,0.0070,,
0.4460,57,18.0,23.1,0.0075,,
0.4545,58,18.9,23.1,0.0075,,
0.4630,59,19.8,23.1,0.0075,,
0.4715,60,20.8,23.1,0.0075,,
0.4800,61,21.7,23.1,0.0075,,
0.4875,62,22.6,23.1,0.0070,,
0.4960,63,23.6,23.1,0.0075,,
0.5045,64,24.6,23.1,0.0075,,
0.5130,65,25.5,23.1,0.0075,,
0.5210,66,26.5,23.0,0.0075,,
0.5290,67,27.3,23.1,0.0075,,
0.5370,68,28.2,23.1,0.0075,,
0.5455,69,29.2,23.0,0.0075,,
0.5540,70,30.0,23.1,0.0075,,
0.5625,71,30.9,23.1,0.0075,,
0.5710,72,31.8,23.1,0.0075,,
0.5785,73,32.7,23.1,0.0070,,
0.5870,74,33.5,23.1,0.0075,,
0.5955,75,34.3,23.1,0.0075,,
0.6040,76,35.2,23.1,0.0075,,
0.6125,77,36.2,23.1,0.0075,,
0.6205,78,37.0,23.1,0.0075,,
0.6285,79,37.9,23.1,0.0075,,
0.6370,80,38.9,23.1,0.0075,,
0.6450,81,39.9,23.0,0.0075,,
0.6535,82,40.7,23.1,0.0075,,
0.6620,83,41.6,23.1,0.0075,,
0.6695,84,42.3,23.1,0.0070,,
0.6780,85,43.2,23.1,0.0075,,
0.6865,86,44.1,23.1,0.0075,,
0.6950,87,44.9,23.1,0.0075,,
0.7035,88,45.9,23.1,0.0075,,
0.7120,89,46.8,23.1,0.0075,,
0.7195,90,47.6,23.1,0.0070,,
0.7280,91,48.5,23.1,0.0075,,
0.7365,92,49.5,23.1,0.0075,,
0.7445,93,50.4,23.1,0.0075,,
0.7530,94,51.3,23.1,0.0075,,
0.7615,95,52.1,23.1,0.0070,,
0.7690,96,52.8,23.1,0.0070,,
0.7775,97,53.7,23.1,0.0075,,
0.7860,98,54.6,23.1,0.0075,,
0.7945,99,55.5,23.0,0.0075,,
0.8030,100,56.3,23.1,0.0075,,
0.8115,101,57.2,23.1,0.0070,,
0.8190,102,58.0,23.1,0.0070,,
0.8275,103,58.8,23.1,0.0075,,
0.8360,104,59.7,23.1,0.0075,,
0.8440,105,60.6,23.1,0.0075,,
0.8525,106,61.5,23.1,0.0075,,
0.8610,107,62.4,23.1,0.0070,,
0.8685,108,63.2,23.1,0.0070,,
0.8770,109,64.2,23.1,0.0075,,
0.8855,110,65.0,23.0,0.0075,,
0.8940,111,65.8,23.1,0.0075,,
0.9025,112,66.8,23.0,0.0075,,
0.9105,113,67.6,23.1,0.0075,,
0.9185,114,68.5,23.1,0.0075,,
0.9265,115,69.3,23.1,0.0075,,
0.9350,116,70.2,23.1,0.0075,,
0.9435,117,71.1,23.1,0.0075,,
0.9520,118,72.0,23.1,0.0075,,
0.9605,119,73.1,23.1,0.0070,,
0.9680,120,73.8,23.1,0.0070,,
0.9765,121,74.7,23.1,0.0075,,
0.9850,122,75.8,23.1,0.0075,,
0.9935,123,76.8,23.1,0.0075,,
1.0020,124,77.8,23.1,0.0075,,
1.0100,125,78.7,23.1,0.0075,,
1.0180,126,79.7,23.1,0.0075,,
1.0260,127,80.8,23.1,0.0075,,
1.0345,128,81.9,23.1,0.0075,,
1.0430,129,82.9,23.1,0.0075,,
1.0515,130,84.0,23.1,0.0075,,
1.0590,131,85.0,23.1,0.0070,,
1.0675,132,86.2,23.1,0.0075,,
1.0760,133,87.3,23.1,0.0075,,
1.0845,134,88.4,23.1,0.0075,,
1.0930,135,89.8,23.1,0.0075,,
1.1015,136,91.0,23.1,0.0070,,
1.1090,137,92.0,23.1,0.0070,,
1.1175,138,93.2,23.1,0.0075,,
1.1260,139,94.4,23.1,0.0075,,
1.1340,140,95.8,23.1,0.0075,,
1.1425,141,97.2,23.1,0.0075,,
1.1510,142,98.5,23.1,0.0075,,
1.1585,143,99.6,23.1,0.0070,,
1.1670,144,101.1,23.1,0.0075,,
1.1755,145,102.7,23.1,0.0075,,
1.1840,146,104.5,23.1,0.0075,,
1.1925,147,106.2,23.1,0.0075,,
1.2010,148,107.7,23.1,0.0075,,
1.2085,149,109.3,23.1,0.0070,,
1.2170,150,111.2,23.1,0.0075,,
1.2255,151,113.1,23.1,0.0075,,
1.2335,152,115.3,23.1,0.0075,,
1.2420,153,117.3,23.1,0.0075,,
1.2505,154,119.1,23.1,0.0075,,
1.2580,155,121.3,23.1,0.0070,,
1.2665,156,124.0,23.1,0.0075,,
1.2750,157,126.9,23.1,0.0075,,
1.2835,158,130.0,23.1,0.0075,,
1.2920,159,133.6,23.1,0.0070,,
1.2995,160,136.3,23.1,0.0070,,
1.3080,161,139.4,23.1,0.0075,,
1.3165,162,143.2,23.1,0.0075,,
1.3250,163,147.4,23.1,0.0075,,
1.3330,164,150.9,23.1,0.0075,,
1.3415,165,154.5,23.1,0.0070,,
1.3495,166,157.7,23.1,0.0075,,
1.3575,167,161.5,23.1,0.0075,,
1.3660,168,165.0,23.1,0.0075,,
