Task,T3032
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-60.0,21.2,NaN,,
0.0010,1,-60.0,21.2,0.0010,,
0.0025,2,-60.0,21.2,0.0015,,
0.0050,3,-60.0,21.2,0.0025,,
0.0085,4,-60.1,21.2,0.0030,,
0.0150,5,-60.1,21.2,0.0060,,
0.0230,6,-59.9,21.2,0.0075,,
0.0315,7,-59.5,21.2,0.0075,,
0.0390,8,-58.8,21.2,0.0075,,
0.0475,9,-57.9,21.2,0.0075,,
0.0560,10,-57.0,21.2,0.0075,,
0.0645,11,-55.9,21.2,0.0075,,
0.0730,12,-54.8,21.2,0.0075,,
0.0815,13,-53.8,21.2,0.0085,,
0.0890,14,-52.4,21.2,0.0075,,
0.0975,15,-51.1,21.2,0.0075,,
0.1060,16,-49.7,21.2,0.0075,,
0.1140,17,-48.2,21.2,0.0075,,
0.1225,18,-46.6,21.2,0.0075,,
0.1300,19,-45.1,21.2,0.0075,,
0.1385,20,-43.4,21.2,0.0085,,
0.1470,21,-41.7,21.2,0.0075,,
0.1555,22,-39.8,21.2,0.0075,,
0.1640,23,-38.0,21.2,0.0075,,
0.1725,24,-36.1,21.2,0.0075,,
0.1800,25,-34.2,21.2,0.0075,,
0.1885,26,-32.0,21.2,0.0085,,
0.1970,27,-30.0,21.2,0.0075,,
0.2055,28,-27.5,21.2,0.0075,,
0.2135,29,-25.0,21.2,0.0075,,
0.2220,30,-22.5,21.2,0.0075,,
0.2295,31,-20.3,21.2,0.0075,,
0.2380,32,-17.8,21.2,0.0075,,
0.2465,33,-15.5,21.2,0.0075,,
0.2550,34,-13.3,21.2,0.0075,,
0.2635,35,-11.4,21.2,0.0075,,
0.2710,36,-9.7,21.2,0.0075,,
0.2795,37,-8.0,21.2,0.0085,,
0.2880,38,-6.4,21.2,0.0075,,
0.2965,39,-4.8,21.2,0.0075,,
0.3050,40,-3.1,21.2,0.0075,,
0.3130,41,-1.5,21.2,0.0075,,
0.3215,42,-0.2,21.2,0.0085,,
0.3290,43,0.3,21.2,0.0075,,
0.3375,44,1.5,21.2,0.0075,,
0.3460,45,3.2,21.2,0.0075,,
0.3545,46,4.0,21.2,0.0075,,
0.3630,47,5.1,21.2,0.0075,,
0.3705,48,5.9,21.2,0.0075,,
0.3790,49,6.8,21.2,0.0085,,
0.3875,50,7.8,21.2,0.0075,,
0.3960,51,9.1,21.2,0.0075,,
0.4045,52,10.2,21.2,0.0075,,
0.4125,53,11.3,21.2,0.0075,,
0.4205,54,12.3,21.2,0.0080,,
0.4285,55,13.3,21.2,0.0075,,
0.4370,56,14.2,21.2,0.0075,,
0.4455,57,15.1,21.2,0.0075,,
0.4540,58,16.0,21.2,0.0075,,
0.4625,59,16.9,21.2,0.0085,,
0.4700,60,17.7,21.2,0.0075,,
0.4785,61,18.6,21.2,0.0075,,
0.4870,62,19.5,21.2,0.0075,,
0.4955,63,20.4,21.2,0.0075,,
0.5040,64,21.2,21.2,0.0075,,
0.5115,65,22.1,21.2,0.0075,,
0.5200,66,23.0,21.2,0.0085,,
0.5280,67,23.9,21.2,0.0075,,
0.5365,68,24.8,21.2,0.0075,,
0.5450,69,25.6,21.2,0.0075,,
0.5535,70,26.5,21.2,0.0075,,
0.5610,71,27.2,21.2,0.0075,,
0.5695,72,28.0,21.2,0.0085,,
0.5780,73,28.9,21.2,0.0075,,
0.5865,74,29.7,21.2,0.0075,,
0.5950,75,30.5,21.2,0.0075,,
0.6035,76,31.3,21.2,0.0075,,
0.6110,77,32.1,21.2,0.0075,,
0.6195,78,33.0,21.2,0.0075,,
0.6275,79,33.7,21.2,0.0075,,
0.6360,80,34.5,21.2,0.0075,,
