Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,C18_HD_20210809,9/17/2021 1:50:18 PM,OK,Unchecked,0,,25.0,°C,,2.080,mL,,59.787,g,,59.7868,g,,1.0,g/mL
2,C01_HD_20210809,9/17/2021 2:00:23 PM,OK,Unchecked,0,,25.0,°C,,2.082,mL,,59.868,g,,59.8680,g,,1.0,g/mL
3,C09_HD_20210809,9/17/2021 2:10:19 PM,OK,Unchecked,0,,25.0,°C,,2.106,mL,,59.936,g,,59.9355,g,,1.0,g/mL
4,V02_HD_20210805,9/17/2021 2:20:18 PM,OK,Unchecked,0,,25.0,°C,,2.123,mL,,60.226,g,,60.2261,g,,1.0,g/mL
5,V13_HD_20210805,9/17/2021 2:30:19 PM,OK,Unchecked,0,,25.0,°C,,2.122,mL,,59.978,g,,59.9775,g,,1.0,g/mL
6,V16_HD_20210805,9/17/2021 2:40:19 PM,OK,Unchecked,0,,25.0,°C,,2.142,mL,,60.291,g,,60.2906,g,,1.0,g/mL
7,V09_HD_20210805,9/17/2021 2:50:20 PM,OK,Unchecked,0,,25.0,°C,,2.121,mL,,59.778,g,,59.7785,g,,1.0,g/mL
8,C16_HD_20210809,9/17/2021 3:00:21 PM,OK,Unchecked,0,,25.0,°C,,2.107,mL,,59.770,g,,59.7704,g,,1.0,g/mL
9,C05_HD_20210809,9/17/2021 3:10:19 PM,OK,Unchecked,0,,25.0,°C,,2.105,mL,,59.652,g,,59.6518,g,,1.0,g/mL
10,C17_HD_20210809,9/17/2021 3:20:17 PM,OK,Unchecked,0,,25.0,°C,,2.120,mL,,60.289,g,,60.2892,g,,1.0,g/mL
11,C08_HD_20210809,9/17/2021 3:30:16 PM,OK,Unchecked,0,,25.0,°C,,2.116,mL,,59.558,g,,59.5579,g,,1.0,g/mL
12,C12_HD_20210809,9/17/2021 3:40:18 PM,OK,Unchecked,0,,25.0,°C,,2.133,mL,,59.725,g,,59.7251,g,,1.0,g/mL
13,C06_HD_20210809,9/17/2021 3:50:17 PM,OK,Unchecked,0,,25.0,°C,,2.170,mL,,60.487,g,,60.4869,g,,1.0,g/mL
14,C02_HD_20210809,9/17/2021 4:00:24 PM,OK,Unchecked,0,,25.0,°C,,2.120,mL,,60.120,g,,60.1200,g,,1.0,g/mL
15,C03_HD_20210809,9/17/2021 4:10:24 PM,OK,Unchecked,0,,25.0,°C,,2.125,mL,,59.862,g,,59.8624,g,,1.0,g/mL
16,C20_HD_20210809,9/17/2021 4:20:27 PM,OK,Unchecked,0,,25.0,°C,,2.141,mL,,60.194,g,,60.1936,g,,1.0,g/mL
17,C10_HD_20210809,9/17/2021 4:30:30 PM,OK,Unchecked,0,,25.0,°C,,2.125,mL,,59.687,g,,59.6873,g,,1.0,g/mL
18,V04_HD_20210805,9/17/2021 4:40:30 PM,OK,Unchecked,0,,25.0,°C,,2.130,mL,,59.700,g,,59.6996,g,,1.0,g/mL
19,C11_HD_20210809,9/17/2021 4:50:30 PM,OK,Unchecked,0,,25.0,°C,,2.136,mL,,59.796,g,,59.7955,g,,1.0,g/mL
20,C14_HD_20210809,9/17/2021 5:00:33 PM,OK,Unchecked,0,,25.0,°C,,2.130,mL,,60.056,g,,60.0562,g,,1.0,g/mL
21,C04_HD_20210809,9/17/2021 5:10:33 PM,OK,Unchecked,0,,25.0,°C,,2.158,mL,,60.318,g,,60.3184,g,,1.0,g/mL
22,C13_HD_20210809,9/17/2021 5:20:38 PM,OK,Unchecked,0,,25.0,°C,,2.103,mL,,59.719,g,,59.7192,g,,1.0,g/mL
23,C07_HD_20210809,9/17/2021 5:30:37 PM,OK,Unchecked,0,,25.0,°C,,2.158,mL,,60.057,g,,60.0569,g,,1.0,g/mL
24,C15_HD_20210809,9/17/2021 5:40:41 PM,OK,Unchecked,0,,25.0,°C,,2.162,mL,,60.243,g,,60.2434,g,,1.0,g/mL
25,V11_HD_20210805,9/17/2021 5:50:46 PM,OK,Unchecked,0,,25.0,°C,,2.158,mL,,60.214,g,,60.2136,g,,1.0,g/mL
26,CRM,9/17/2021 6:00:51 PM,OK,Unchecked,0,,25.0,°C,,2.080,mL,,59.593,g,,59.5929,g,,1.0,g/mL
SystemInternal9/17/2021 6:13:38 PM,,,,,,,,,,,,,,,,,,1/1,,
