Task,T3203
Scope 1/1, Sample 1/2 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-69.0,21.5,NaN,,
0.0010,1,-69.5,21.5,0.0010,,
0.0025,2,-69.3,21.5,0.0015,,
0.0050,3,-69.8,21.5,0.0020,,
0.0090,4,-69.9,21.5,0.0035,,
0.0150,5,-69.9,21.5,0.0055,,
0.0235,6,-69.6,21.5,0.0075,,
0.0320,7,-69.7,21.5,0.0075,,
0.0405,8,-70.1,21.5,0.0075,,
0.0490,9,-69.8,21.5,0.0070,,
0.0565,10,-69.7,21.5,0.0070,,
0.0650,11,-69.3,21.5,0.0075,,
0.0735,12,-69.3,21.5,0.0075,,
0.0820,13,-69.3,21.6,0.0075,,
0.0905,14,-69.0,21.6,0.0075,,
0.0985,15,-68.4,21.6,0.0065,,
0.1065,16,-68.2,21.6,0.0075,,
0.1145,17,-67.5,21.6,0.0075,,
0.1230,18,-67.0,21.6,0.0075,,
0.1315,19,-66.8,21.6,0.0075,,
0.1400,20,-66.4,21.6,0.0075,,
0.1485,21,-65.8,21.6,0.0070,,
0.1560,22,-65.2,21.6,0.0070,,
0.1645,23,-64.4,21.6,0.0075,,
0.1730,24,-63.4,21.6,0.0075,,
0.1815,25,-62.6,21.6,0.0075,,
0.1895,26,-61.9,21.6,0.0075,,
0.1980,27,-61.2,21.6,0.0070,,
0.2055,28,-60.4,21.6,0.0070,,
0.2140,29,-59.7,21.6,0.0075,,
0.2225,30,-59.0,21.6,0.0075,,
0.2310,31,-57.9,21.6,0.0075,,
0.2395,32,-56.8,21.6,0.0075,,
0.2480,33,-55.8,21.6,0.0070,,
0.2555,34,-55.1,21.6,0.0070,,
0.2640,35,-54.0,21.6,0.0075,,
0.2725,36,-53.1,21.6,0.0075,,
0.2810,37,-52.5,21.6,0.0075,,
0.2890,38,-51.6,21.6,0.0075,,
0.2975,39,-50.8,21.6,0.0070,,
0.3050,40,-49.8,21.6,0.0070,,
0.3135,41,-49.0,21.6,0.0075,,
0.3220,42,-48.2,21.6,0.0075,,
0.3305,43,-47.3,21.6,0.0075,,
0.3390,44,-46.3,21.6,0.0075,,
0.3475,45,-45.4,21.6,0.0070,,
0.3550,46,-44.8,21.6,0.0070,,
0.3635,47,-43.9,21.6,0.0075,,
0.3720,48,-42.9,21.6,0.0075,,
0.3800,49,-42.2,21.6,0.0075,,
0.3885,50,-41.5,21.6,0.0075,,
0.3970,51,-40.8,21.6,0.0070,,
0.4045,52,-40.1,21.6,0.0070,,
0.4130,53,-39.5,21.6,0.0075,,
0.4215,54,-38.9,21.6,0.0075,,
0.4300,55,-38.3,21.6,0.0075,,
0.4385,56,-37.7,21.6,0.0075,,
0.4470,57,-36.9,21.6,0.0075,,
0.4545,58,-36.2,21.6,0.0070,,
0.4630,59,-35.7,21.6,0.0075,,
0.4710,60,-35.0,21.6,0.0075,,
0.4795,61,-34.3,21.6,0.0075,,
0.4880,62,-33.6,21.6,0.0070,,
0.4965,63,-33.1,21.6,0.0075,,
0.5040,64,-32.5,21.6,0.0070,,
0.5125,65,-31.7,21.6,0.0075,,
0.5210,66,-31.0,21.6,0.0075,,
0.5295,67,-30.3,21.6,0.0075,,
0.5380,68,-29.7,21.6,0.0070,,
0.5455,69,-29.2,21.6,0.0070,,
0.5540,70,-28.5,21.6,0.0075,,
0.5625,71,-27.9,21.6,0.0075,,
0.5710,72,-27.3,21.6,0.0075,,
0.5790,73,-26.9,21.6,0.0075,,
0.5875,74,-26.5,21.6,0.0070,,
0.5955,75,-25.7,21.6,0.0075,,
0.6035,76,-25.3,21.6,0.0075,,
0.6120,77,-24.9,21.6,0.0075,,
0.6205,78,-24.3,21.6,0.0075,,
0.6290,79,-23.7,21.6,0.0070,,
0.6365,80,-23.2,21.6,0.0070,,
0.6450,81,-22.6,21.6,0.0075,,
0.6535,82,-21.9,21.6,0.0075,,
0.6620,83,-21.3,21.6,0.0075,,
0.6705,84,-20.6,21.6,0.0075,,
0.6790,85,-19.8,21.6,0.0070,,
0.6865,86,-19.4,21.6,0.0070,,
0.6950,87,-18.8,21.6,0.0075,,
0.7030,88,-18.1,21.6,0.0075,,
0.7115,89,-17.5,21.6,0.0075,,
0.7200,90,-17.0,21.6,0.0075,,
0.7285,91,-16.6,21.6,0.0070,,
0.7360,92,-15.9,21.6,0.0070,,
0.7445,93,-15.5,21.6,0.0075,,
0.7530,94,-15.1,21.6,0.0075,,
0.7615,95,-14.7,21.6,0.0075,,
0.7700,96,-14.1,21.6,0.0075,,
0.7785,97,-13.4,21.6,0.0075,,
0.7860,98,-13.1,21.6,0.0070,,
0.7945,99,-12.5,21.6,0.0075,,
0.8030,100,-12.0,21.6,0.0075,,
0.8110,101,-11.5,21.6,0.0075,,
0.8195,102,-10.8,21.6,0.0070,,
0.8270,103,-10.3,21.6,0.0070,,
0.8355,104,-9.8,21.6,0.0075,,
0.8440,105,-9.2,21.6,0.0075,,
0.8525,106,-8.7,21.6,0.0075,,
0.8610,107,-8.0,21.6,0.0075,,
0.8695,108,-7.5,21.6,0.0070,,
0.8770,109,-7.1,21.6,0.0070,,
0.8855,110,-6.6,21.6,0.0075,,
0.8940,111,-6.1,21.6,0.0075,,
0.9025,112,-5.5,21.6,0.0075,,
0.9110,113,-4.8,21.6,0.0075,,
0.9190,114,-4.2,21.6,0.0075,,
0.9270,115,-3.6,21.6,0.0075,,
0.9350,116,-2.9,21.6,0.0075,,
0.9435,117,-2.2,21.6,0.0075,,
0.9520,118,-1.2,21.6,0.0075,,
0.9605,119,-0.3,21.6,0.0070,,
0.9680,120,-0.1,21.6,0.0070,,
0.9765,121,0.4,21.6,0.0075,,
0.9850,122,0.5,21.6,0.0075,,
0.9935,123,1.0,21.6,0.0075,,
1.0020,124,1.7,21.6,0.0075,,
1.0105,125,2.6,21.6,0.0070,,
1.0180,126,3.0,21.6,0.0070,,
1.0265,127,4.2,21.6,0.0075,,
1.0345,128,4.5,21.6,0.0075,,
1.0430,129,5.1,21.6,0.0075,,
1.0515,130,5.8,21.6,0.0075,,
1.0600,131,6.3,21.6,0.0070,,
1.0675,132,6.6,21.6,0.0070,,
1.0760,133,7.3,21.6,0.0075,,
1.0845,134,8.0,21.6,0.0075,,
1.0930,135,8.7,21.6,0.0075,,
1.1015,136,9.7,21.6,0.0075,,
1.1100,137,10.6,21.6,0.0070,,
1.1175,138,11.1,21.6,0.0070,,
1.1260,139,12.0,21.6,0.0075,,
1.1340,140,13.0,21.6,0.0075,,
1.1425,141,13.9,21.6,0.0075,,
1.1510,142,14.9,21.6,0.0070,,
1.1595,143,15.4,21.6,0.0075,,
1.1670,144,16.4,21.6,0.0070,,
1.1755,145,17.3,21.6,0.0075,,
1.1840,146,18.2,21.6,0.0075,,
1.1925,147,19.1,21.6,0.0075,,
1.2010,148,20.1,21.6,0.0070,,
1.2095,149,20.7,21.6,0.0075,,
1.2170,150,21.9,21.6,0.0070,,
1.2255,151,22.9,21.6,0.0075,,
1.2335,152,23.9,21.6,0.0075,,
1.2420,153,24.9,21.6,0.0075,,
1.2505,154,25.9,21.6,0.0070,,
1.2580,155,27.1,21.7,0.0070,,
1.2665,156,28.4,21.7,0.0075,,
1.2750,157,29.5,21.7,0.0075,,
1.2835,158,30.8,21.6,0.0075,,
1.2920,159,32.1,21.6,0.0075,,
1.3005,160,33.6,21.7,0.0070,,
1.3080,161,35.2,21.7,0.0070,,
1.3165,162,37.0,21.7,0.0075,,
1.3250,163,38.7,21.7,0.0075,,
1.3330,164,40.6,21.7,0.0075,,
1.3415,165,42.6,21.7,0.0075,,
1.3500,166,44.9,21.7,0.0075,,
1.3575,167,47.5,21.7,0.0070,,
1.3660,168,50.2,21.7,0.0075,,
1.3745,169,53.4,21.7,0.0075,,
1.3830,170,56.9,21.7,0.0075,,
