Task,T3201
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-70.7,21.8,NaN,,
0.0005,1,-71.2,21.8,0.0005,,
0.0025,2,-70.6,21.8,0.0020,,
0.0050,3,-70.5,21.8,0.0025,,
0.0090,4,-71.2,21.8,0.0035,,
0.0150,5,-71.1,21.8,0.0055,,
0.0235,6,-70.6,21.8,0.0075,,
0.0315,7,-70.5,21.8,0.0080,,
0.0395,8,-70.9,21.8,0.0080,,
0.0480,9,-71.1,21.8,0.0075,,
0.0565,10,-70.5,21.8,0.0075,,
0.0650,11,-70.4,21.8,0.0075,,
0.0735,12,-70.3,21.8,0.0085,,
0.0810,13,-70.3,21.8,0.0075,,
0.0895,14,-69.6,21.8,0.0085,,
0.0980,15,-69.0,21.8,0.0075,,
0.1065,16,-69.1,21.8,0.0075,,
0.1150,17,-68.4,21.8,0.0075,,
0.1225,18,-67.6,21.8,0.0075,,
0.1310,19,-67.2,21.8,0.0085,,
0.1390,20,-67.0,21.8,0.0080,,
0.1475,21,-66.0,21.8,0.0075,,
0.1560,22,-65.1,21.8,0.0075,,
0.1645,23,-65.0,21.8,0.0075,,
0.1720,24,-64.5,21.8,0.0075,,
0.1805,25,-63.4,21.8,0.0085,,
0.1890,26,-62.5,21.8,0.0075,,
0.1975,27,-62.3,21.8,0.0075,,
0.2060,28,-61.1,21.8,0.0075,,
0.2145,29,-60.1,21.8,0.0085,,
0.2220,30,-59.3,21.8,0.0075,,
0.2305,31,-58.8,21.8,0.0085,,
0.2390,32,-57.2,21.8,0.0075,,
0.2470,33,-56.2,21.8,0.0075,,
0.2555,34,-55.5,21.8,0.0075,,
0.2630,35,-54.6,21.8,0.0075,,
0.2715,36,-53.0,21.8,0.0085,,
0.2800,37,-52.3,21.8,0.0085,,
0.2885,38,-51.6,21.8,0.0075,,
0.2970,39,-50.1,21.8,0.0075,,
0.3055,40,-49.6,21.8,0.0075,,
0.3130,41,-48.9,21.8,0.0075,,
0.3215,42,-47.4,21.8,0.0085,,
0.3300,43,-46.5,21.8,0.0075,,
0.3385,44,-46.1,21.8,0.0075,,
0.3470,45,-44.8,21.8,0.0075,,
0.3545,46,-43.8,21.8,0.0075,,
0.3630,47,-43.2,21.8,0.0085,,
0.3710,48,-42.4,21.8,0.0080,,
0.3795,49,-41.2,21.8,0.0075,,
0.3880,50,-41.0,21.8,0.0075,,
0.3965,51,-40.1,21.8,0.0075,,
0.4040,52,-39.2,21.8,0.0075,,
0.4125,53,-38.2,21.8,0.0085,,
0.4210,54,-38.0,21.8,0.0075,,
0.4295,55,-37.1,21.8,0.0075,,
0.4380,56,-35.9,21.8,0.0075,,
0.4465,57,-35.3,21.8,0.0085,,
0.4540,58,-35.1,21.8,0.0075,,
0.4625,59,-34.3,21.8,0.0085,,
0.4710,60,-33.1,21.8,0.0075,,
0.4790,61,-32.6,21.8,0.0075,,
0.4875,62,-32.3,21.8,0.0075,,
0.4955,63,-31.7,21.8,0.0080,,
0.5035,64,-30.6,21.8,0.0080,,
0.5120,65,-29.8,21.8,0.0085,,
0.5205,66,-29.6,21.8,0.0075,,
0.5290,67,-29.1,21.8,0.0075,,
0.5375,68,-28.1,21.8,0.0075,,
0.5450,69,-27.4,21.8,0.0075,,
0.5535,70,-26.8,21.8,0.0085,,
0.5620,71,-26.7,21.8,0.0075,,
0.5705,72,-26.1,21.8,0.0075,,
0.5790,73,-24.9,21.8,0.0075,,
0.5870,74,-24.4,21.8,0.0080,,
0.5950,75,-23.8,21.8,0.0080,,
0.6035,76,-23.6,21.8,0.0085,,
0.6115,77,-23.0,21.8,0.0075,,
0.6200,78,-22.0,21.8,0.0075,,
0.6285,79,-21.3,21.8,0.0075,,
0.6360,80,-20.7,21.8,0.0075,,
0.6445,81,-20.4,21.8,0.0085,,
0.6530,82,-20.1,21.8,0.0085,,
0.6615,83,-19.5,21.8,0.0075,,
0.6700,84,-18.8,21.8,0.0075,,
0.6785,85,-17.9,21.8,0.0075,,
0.6860,86,-17.3,21.8,0.0075,,
0.6945,87,-16.9,21.8,0.0085,,
0.7030,88,-16.8,21.8,0.0075,,
0.7110,89,-16.3,21.8,0.0075,,
0.7195,90,-15.3,21.8,0.0075,,
0.7280,91,-14.6,21.8,0.0075,,
0.7355,92,-14.2,21.8,0.0075,,
0.7440,93,-13.4,21.8,0.0085,,
0.7525,94,-13.1,21.8,0.0075,,
0.7610,95,-12.7,21.8,0.0075,,
0.7695,96,-12.1,21.8,0.0075,,
0.7770,97,-11.7,21.8,0.0075,,
0.7855,98,-10.9,21.8,0.0085,,
0.7940,99,-10.0,21.8,0.0085,,
0.8025,100,-9.4,21.8,0.0075,,
0.8110,101,-9.1,21.8,0.0075,,
0.8190,102,-8.9,21.8,0.0075,,
0.8270,103,-8.3,21.8,0.0080,,
0.8355,104,-7.9,21.8,0.0085,,
0.8435,105,-7.1,21.8,0.0075,,
0.8520,106,-6.4,21.8,0.0075,,
0.8605,107,-5.6,21.8,0.0075,,
0.8680,108,-5.1,21.8,0.0075,,
0.8765,109,-4.4,21.8,0.0085,,
0.8850,110,-3.7,21.8,0.0085,,
0.8935,111,-3.2,21.8,0.0075,,
0.9020,112,-2.8,21.8,0.0075,,
0.9105,113,-2.3,21.8,0.0075,,
0.9180,114,-1.7,21.8,0.0075,,
0.9265,115,-1.0,21.8,0.0085,,
0.9350,116,-0.3,21.8,0.0085,,
0.9430,117,0.5,21.8,0.0075,,
0.9515,118,0.5,21.8,0.0075,,
0.9600,119,1.2,21.8,0.0075,,
0.9675,120,1.7,21.8,0.0075,,
0.9760,121,2.6,21.8,0.0085,,
0.9845,122,3.6,21.8,0.0075,,
0.9930,123,3.3,21.8,0.0075,,
1.0015,124,3.8,21.8,0.0075,,
1.0090,125,4.5,21.8,0.0075,,
1.0175,126,5.1,21.8,0.0085,,
1.0260,127,5.7,21.8,0.0085,,
1.0345,128,6.7,21.8,0.0075,,
1.0430,129,7.4,21.8,0.0075,,
1.0515,130,8.0,21.8,0.0075,,
1.0590,131,8.6,21.8,0.0075,,
1.0675,132,9.5,21.8,0.0085,,
1.0755,133,10.2,21.8,0.0075,,
1.0840,134,10.7,21.8,0.0075,,
1.0925,135,11.2,21.8,0.0075,,
1.1000,136,12.1,21.8,0.0075,,
1.1085,137,12.7,21.8,0.0085,,
1.1170,138,13.4,21.8,0.0085,,
1.1255,139,14.4,21.8,0.0075,,
1.1340,140,15.5,21.8,0.0075,,
1.1425,141,16.5,21.8,0.0075,,
1.1500,142,17.0,21.8,0.0075,,
1.1585,143,18.1,21.8,0.0085,,
1.1670,144,19.0,21.8,0.0075,,
1.1755,145,19.9,21.8,0.0075,,
1.1840,146,20.7,21.8,0.0075,,
1.1920,147,21.6,21.8,0.0080,,
1.2000,148,22.5,21.8,0.0080,,
1.2080,149,23.4,21.8,0.0080,,
1.2165,150,24.4,21.8,0.0075,,
1.2250,151,25.3,21.8,0.0075,,
1.2335,152,26.1,21.8,0.0075,,
1.2410,153,27.4,21.8,0.0075,,
1.2495,154,28.5,21.8,0.0085,,
1.2580,155,29.5,21.8,0.0085,,
1.2665,156,30.6,21.8,0.0075,,
1.2750,157,31.8,21.8,0.0075,,
