"SampleID","TA","Mass","Sample.Index","TA_evap"
"C02_HN_20210809",2370.08551010245,60.3964,1,2370.08551010245
"C26_HN_20210809",2354.08768545025,59.7431,2,2352.74326072983
"C01_HN_20210809",2365.05423631165,59.9142,3,2362.35440270855
"C19_HN_20210809",2356.89929240763,60.618,4,2352.86580816506
"C20_HN_20210809",2364.02985203913,60.6141,5,2358.63867791817
"C10_HN_20210809",2357.79414544776,59.9237,6,2351.07678321002
"C18_HN_20210809",2339.21837900827,60.0436,7,2331.22560550368
"C17_HN_20210809",2325.66462704718,59.6806,8,2316.39903092349
"C06_HN_20210809",2360.26675694649,59.5515,9,2349.52606635743
"C08_HN_20210809",2352.88824842548,60.1749,10,2340.84959337385
"C09_HN_20210809",2355.39344283819,60.1293,11,2342.01052554933
"C13_HN_20210809",2347.3609835609,60.3468,12,2332.69830847903
"C11_HN_20210809",2349.81235717416,60.1182,13,2333.80909480975
"C05_HN_20210809",2355.91147755503,59.9419,14,2338.53947006314
"C03_HN_20210809",2353.11390391217,60.2712,15,2334.43839673826
"C04_HN_20210809",2352.16960765359,59.6402,16,2332.17949767353
"V12_HN_20210805",2369.01968994291,60.4204,17,2347.5563178936
"V11_HN_20210805",2392.67388831426,60.144,18,2369.65438853987
"C12_HN_20210809",2382.69656151117,59.8794,19,2358.43833859986
"V06_HN_20210805",2356.59002551434,59.8618,20,2331.27899641045
"V01_HN_20210805",2359.62722120743,59.8778,21,2332.96476673051
"V07_HN_20210806",2393.45571572901,60.0159,22,2365.07481791404
"V04_HN_20210805",2361.20533135369,59.7193,23,2331.89014100957
"V05_HN_20210805",2358.0019193863,60.2552,24,2327.41306200002
"V08_HN_20210805",2353.22467474838,59.7169,25,2321.38848974615
"V13_HN_20210805",2415.38291135744,60.357,26,2381.36343373269
"V02_HN_20210805",2362.89456146547,59.6717,27,2328.30263657915
"V20_HN_20210805",2358.66368181108,59.7332,28,2322.82579806944
"V09_HN_20210805",2355.42691228637,59.9841,29,2318.33357508501
"V18_HN_20210805",2358.97867960484,60.2128,30,2320.52427729537
"CRM",2249.6354082771,59.5869,31,2211.72020476681
