Task,T3228
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-71.2,22.0,NaN,,
0.0005,1,-71.6,22.0,0.0005,,
0.0025,2,-71.7,22.0,0.0020,,
0.0050,3,-71.9,22.0,0.0025,,
0.0090,4,-71.9,22.0,0.0035,,
0.0155,5,-72.1,22.0,0.0060,,
0.0235,6,-72.1,22.0,0.0080,,
0.0315,7,-72.1,22.0,0.0080,,
0.0395,8,-72.1,22.0,0.0080,,
0.0480,9,-72.1,22.0,0.0075,,
0.0565,10,-71.9,22.0,0.0075,,
0.0650,11,-71.8,22.0,0.0075,,
0.0735,12,-71.6,22.0,0.0085,,
0.0810,13,-71.4,22.0,0.0075,,
0.0895,14,-71.1,22.0,0.0085,,
0.0980,15,-70.7,22.0,0.0075,,
0.1065,16,-70.4,22.0,0.0075,,
0.1145,17,-69.9,22.0,0.0075,,
0.1225,18,-69.5,22.0,0.0080,,
0.1310,19,-69.0,22.0,0.0085,,
0.1390,20,-68.5,22.0,0.0080,,
0.1475,21,-68.0,22.0,0.0075,,
0.1560,22,-67.3,22.0,0.0075,,
0.1645,23,-66.8,22.0,0.0075,,
0.1720,24,-66.1,22.0,0.0075,,
0.1805,25,-65.4,22.0,0.0085,,
0.1890,26,-64.6,22.0,0.0075,,
0.1975,27,-63.9,22.0,0.0075,,
0.2060,28,-63.0,22.0,0.0075,,
0.2145,29,-62.3,22.0,0.0085,,
0.2220,30,-61.4,22.0,0.0075,,
0.2305,31,-60.5,22.0,0.0085,,
0.2385,32,-59.7,22.0,0.0075,,
0.2470,33,-58.7,22.0,0.0075,,
0.2555,34,-57.7,22.0,0.0075,,
0.2640,35,-56.9,22.0,0.0085,,
0.2715,36,-55.9,22.0,0.0075,,
0.2800,37,-55.0,22.0,0.0085,,
0.2885,38,-54.0,22.0,0.0075,,
0.2970,39,-53.0,22.0,0.0075,,
0.3055,40,-52.1,22.0,0.0075,,
0.3135,41,-51.1,22.0,0.0080,,
0.3215,42,-50.3,22.0,0.0080,,
0.3300,43,-49.4,22.0,0.0085,,
0.3380,44,-48.5,22.0,0.0075,,
0.3465,45,-47.7,22.0,0.0075,,
0.3550,46,-46.9,22.0,0.0075,,
0.3635,47,-46.1,22.0,0.0085,,
0.3710,48,-45.3,22.0,0.0075,,
