Task,T3298
Scope 1/1, Sample 1/33 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-74.4,21.8,NaN,,
0.0005,1,-74.7,21.8,0.0005,,
0.0025,2,-74.8,21.8,0.0020,,
0.0050,3,-74.8,21.8,0.0025,,
0.0090,4,-74.9,21.8,0.0035,,
0.0150,5,-74.9,21.8,0.0055,,
0.0235,6,-75.0,21.8,0.0075,,
0.0310,7,-74.8,21.8,0.0075,,
0.0395,8,-74.9,21.8,0.0085,,
0.0480,9,-74.8,21.8,0.0075,,
0.0565,10,-74.7,21.8,0.0075,,
0.0650,11,-74.4,21.8,0.0075,,
0.0735,12,-74.1,21.8,0.0075,,
0.0810,13,-73.8,21.8,0.0075,,
0.0895,14,-73.4,21.8,0.0085,,
0.0980,15,-72.9,21.8,0.0075,,
0.1065,16,-72.5,21.8,0.0075,,
0.1145,17,-72.0,21.8,0.0075,,
0.1230,18,-71.4,21.8,0.0075,,
0.1305,19,-70.9,21.8,0.0075,,
0.1390,20,-70.4,21.8,0.0085,,
0.1475,21,-69.7,21.8,0.0085,,
0.1560,22,-69.0,21.8,0.0075,,
0.1645,23,-68.3,21.8,0.0075,,
0.1730,24,-67.6,21.8,0.0075,,
0.1810,25,-66.8,21.8,0.0080,,
0.1890,26,-66.0,21.8,0.0080,,
0.1970,27,-65.1,21.8,0.0080,,
0.2055,28,-64.2,21.8,0.0075,,
0.2140,29,-63.2,21.8,0.0075,,
0.2225,30,-62.3,21.8,0.0075,,
0.2310,31,-61.3,21.8,0.0075,,
0.2385,32,-60.2,21.8,0.0075,,
0.2470,33,-59.2,21.8,0.0085,,
0.2555,34,-58.2,21.8,0.0075,,
0.2635,35,-57.1,21.8,0.0075,,
0.2720,36,-56.0,21.8,0.0075,,
0.2805,37,-54.9,21.8,0.0075,,
0.2880,38,-54.0,21.8,0.0075,,
0.2965,39,-52.9,21.8,0.0085,,
0.3050,40,-51.8,21.8,0.0075,,
0.3135,41,-50.6,21.8,0.0075,,
0.3220,42,-49.5,21.8,0.0075,,
0.3305,43,-48.4,21.8,0.0075,,
0.3380,44,-47.5,21.8,0.0075,,
