Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,9/29/2021 4:37:51 PM,OK,Unchecked,0,,25.0,°C,,2.440,mL,,59.848,g,,59.8478,g,,1.0,g/mL
2,junk2,9/29/2021 4:48:38 PM,OK,Unchecked,0,,25.0,°C,,2.458,mL,,60.106,g,,60.1056,g,,1.0,g/mL
3,CSEEP_A_filteredbottle_RF,9/29/2021 4:59:18 PM,OK,Unchecked,0,,25.0,°C,,2.367,mL,,59.636,g,,59.6358,g,,1.0,g/mL
4,Tet_Site2_Control_H,9/29/2021 5:09:47 PM,OK,Unchecked,0,,25.0,°C,,2.484,mL,,60.226,g,,60.2259,g,,1.0,g/mL
5,Tet_Site2_Control_E,9/29/2021 5:20:31 PM,OK,Unchecked,0,,25.0,°C,,2.446,mL,,59.780,g,,59.7800,g,,1.0,g/mL
6,Tet_Site2_Control_F,9/29/2021 5:31:12 PM,OK,Unchecked,0,,25.0,°C,,2.436,mL,,59.891,g,,59.8909,g,,1.0,g/mL
7,Tet_Site2_Control_G,9/29/2021 5:41:50 PM,OK,Unchecked,0,,25.0,°C,,2.482,mL,,60.167,g,,60.1674,g,,1.0,g/mL
8,Tet_Site2_Control_D,9/29/2021 5:52:37 PM,OK,Unchecked,0,,25.0,°C,,2.452,mL,,59.728,g,,59.7281,g,,1.0,g/mL
9,CRM,9/29/2021 6:03:17 PM,OK,Unchecked,0,,25.0,°C,,2.409,mL,,59.586,g,,59.5855,g,,1.0,g/mL
SystemInternal9/29/2021 6:15:49 PM,,,,,,,,,,,,,,,,,,1/1,,
