"SampleID","TA","Mass","Sample.Index"
"Junk",2236.43400283933,59.685,1
"PA6_L_20_0112",-59219.0633075699,14.2389,2
"PA11_L_20_0112",-36958.3283100274,19.1086,3
"I1_L_24_0112",2751.17247719189,59.7034,4
"I2_L_24_0112",2791.30246507729,59.7074,5
"I3_L_24_0112",2796.54756082284,59.7266,6
"PABLANK1_L_24_0112",2792.5952334145,59.6923,7
"PABLANK2_L_24_0112",2803.85548313116,59.9253,8
"PA5_L_24_0112",2700.06798858572,59.7855,9
"PA6_L_24_0112",2725.20109265752,59.7153,10
"PA7_L_24_0112",2730.6663109917,59.669,11
"PA10_L_24_0112",2706.1485664808,59.6313,12
"PA11_L_24_0112",2703.82896779619,59.9722,13
"PA13_L_24_0112",2679.11857529116,59.7161,14
"I1_L_28_0112",2790.98729735367,59.6797,15
"I2_L_28_0112",2792.480783079,59.6097,16
"I3_L_28_0112",2789.97272072824,59.696,17
"PABLANK1_L_28_0112",2787.9002854492,59.7506,18
"PABLANK2_L_28_0112",2779.88453243681,59.8376,19
"PA5_L_28_0112",2702.57279723288,59.6108,20
"PA6_L_28_0112",2744.22401635174,59.7795,21
"PA7_L_28_0112",2729.02791047162,59.8096,22
"PA10_L_28_0112",2710.84182666332,59.7171,23
"PA11_L_28_0112",2703.45670107557,59.6014,24
"PA13_L_28_0112",2711.66804824374,59.6448,25
