Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk,2/14/2019 10:06,OK,Unchecked,0,,25,°C,,2.682,mL,,59.779,g,,59.7791,g,,1,g/mL
2,I1_L_30_0112,2/14/2019 10:17,OK,Unchecked,0,,25,°C,,3.002,mL,,59.666,g,,59.6663,g,,1,g/mL
3,I2_L_30_0112,2/14/2019 10:29,OK,Unchecked,0,,25,°C,,3.01,mL,,59.923,g,,59.9233,g,,1,g/mL
4,I3_L_30_0112,2/14/2019 10:41,OK,Unchecked,0,,25,°C,,2.998,mL,,59.84,g,,59.8404,g,,1,g/mL
5,PABLANK1_L_30_0112,2/14/2019 10:52,OK,Unchecked,0,,25,°C,,3.002,mL,,59.98,g,,59.9797,g,,1,g/mL
6,PABLANK2_L_30_0112,2/14/2019 11:04,OK,Unchecked,0,,25,°C,,2.993,mL,,59.737,g,,59.7369,g,,1,g/mL
7,PA5_L_30_0112,2/14/2019 11:16,OK,Unchecked,0,,25,°C,,2.938,mL,,59.837,g,,59.8374,g,,1,g/mL
8,PA6_L_30_0112,2/14/2019 11:28,OK,Unchecked,0,,25,°C,,2.974,mL,,59.989,g,,59.9892,g,,1,g/mL
9,PA7_L_30_0112,2/14/2019 11:39,OK,Unchecked,0,,25,°C,,2.954,mL,,59.754,g,,59.7536,g,,1,g/mL
10,PA10_L_30_0112,2/14/2019 11:51,OK,Unchecked,0,,25,°C,,2.926,mL,,59.639,g,,59.6386,g,,1,g/mL
11,PA11_L_30_0112,2/14/2019 12:02,OK,Unchecked,0,,25,°C,,2.928,mL,,59.736,g,,59.7364,g,,1,g/mL
12,PA13_L_30_0112,2/14/2019 12:14,OK,Unchecked,0,,25,°C,,2.926,mL,,59.655,g,,59.6554,g,,1,g/mL
13,I1_L_31_0112,2/14/2019 12:26,OK,Unchecked,0,,25,°C,,2.953,mL,,59.718,g,,59.7185,g,,1,g/mL
14,I2_L_31_0112,2/14/2019 12:37,OK,Unchecked,0,,25,°C,,2.992,mL,,59.719,g,,59.7187,g,,1,g/mL
15,I3_L_31_0112,2/14/2019 12:49,OK,Unchecked,0,,25,°C,,2.996,mL,,59.837,g,,59.8374,g,,1,g/mL
16,PABLANK1_L_31_0112,2/14/2019 13:01,OK,Unchecked,0,,25,°C,,2.996,mL,,59.884,g,,59.8842,g,,1,g/mL
17,PABLANK2_L_31_0112,2/14/2019 13:12,OK,Unchecked,0,,25,°C,,2.981,mL,,59.638,g,,59.6375,g,,1,g/mL
18,PA5_L_31_0112,2/14/2019 13:24,OK,Unchecked,0,,25,°C,,2.918,mL,,59.664,g,,59.6636,g,,1,g/mL
19,PA6_L_31_0112,2/14/2019 13:36,OK,Unchecked,0,,25,°C,,2.958,mL,,59.747,g,,59.7469,g,,1,g/mL
20,PA7_L_31_0112,2/14/2019 13:47,OK,Unchecked,0,,25,°C,,2.911,mL,,59.749,g,,59.7494,g,,1,g/mL
21,PA10_L_31_0112,2/14/2019 13:59,OK,Unchecked,0,,25,°C,,2.917,mL,,59.768,g,,59.7683,g,,1,g/mL
22,PA11_L_31_0112,2/14/2019 14:10,OK,Unchecked,0,,25,°C,,2.928,mL,,59.885,g,,59.8849,g,,1,g/mL
23,PA13_L_31_0112,2/14/2019 14:22,OK,Unchecked,0,,25,°C,,2.94,mL,,59.661,g,,59.6612,g,,1,g/mL
