SampleID,TA,Mass,Sample.Index
Junk,2301.620314,59.7938,1
I1_L_24_0115,2606.614194,59.9123,2
I2_L_24_0115,2603.649881,59.6086,3
I3_L_24_0115,2600.763119,59.7858,4
PABLANK3_L_24_0115,2602.507591,59.8076,5
PABLANK4_L_24_0115,2600.684959,59.977,6
PA1_L_24_015,2583.354901,59.9106,7
PA2_L_24_015,2607.091565,59.8174,8
PA3_L_24_015,2574.649058,59.6184,9
PA8_L_24_015,2556.514835,59.5464,10
PA12_L_24_015,2586.455246,59.6816,11
PA16_L_24_015,2584.928552,59.9557,12
I1_L_28_0115,2574.19119,59.6043,13
I2_L_28_0115,2598.643268,59.7563,14
I3_L_28_0115,2600.215673,59.7903,15
PABLANK3_L_28_0115,2599.489997,59.6548,16
PABLANK4_L_28_0115,2597.795,59.6465,17
PA1_L_28_0115,2574.623974,59.5629,18
PA2_L_28_0115,2603.493658,59.9055,19
PA3_L_28_0115,2557.974502,59.7061,20
PA8_L_28_0115,2541.083663,59.8982,21
PA12_L_28_0115,2580.433553,59.8126,22
PA16_L_28_0115,2573.546075,59.7825,23
CRM,2219.27489,59.9578,24
I1_L_30_0115,2597.738509,59.8201,25
I2_L_30_0115,2591.546129,59.9698,26
I3_L_30_0115,2588.565336,59.6275,27
PABLANK3_L_30_0115,2594.012491,59.5676,28
PABLANK4_L_30_0115,2593.554316,59.6145,29
PA1_L_30_0115,2561.856499,59.6066,30
PA2_L_30_0115,2613.784691,59.6569,31
PA3_L_30_0115,2543.273167,59.8579,32
PA8_L_30_0115,2520.786656,59.7657,33
PA12_L_30_0115,2549.979595,59.9206,34
PA16_L_30_0115,2561.64138,59.8853,35
I1_L_31_0115,2591.026011,59.8598,36
I2_L_31_0115,2634.143405,59.7208,37
I3_L_31_0115,2588.440628,59.7053,38
PABLANK3_L_31_0115,2584.667859,59.8267,39
PABLANK4_L_31_0115,2587.23487,59.8312,40
PA1_L_31_0115,2552.40472,59.5618,41
PA2_L_31_0115,2610.409568,59.7528,42
PA3_L_31_0115,2569.441983,59.6033,43
PA8_L_31_0115,2523.538792,59.5613,44
PA12_L_31_0115,2535.397839,59.6133,45
PA16_L_31_0115,2560.834027,59.8032,46
