"SampleID","TA","Mass","Sample.Index"
"Junk",2316.89220649474,59.5916,1
"I1_L_32_0115",2595.98407162286,59.7891,2
"I2_L_32_0115",2591.15174136011,59.9276,3
"I3_L_32_0115",2606.39916321639,59.8701,4
"PABLANK3_L_32_0115",2604.79863172,59.6612,5
"PABLANK4_L_32_0115",2605.73658814595,59.7874,6
"PA1_L_32_0115",2583.685798042,59.6554,7
"PA2_L_32_0115",2828.45366158281,59.9774,8
"PA3_L_32_0115",2567.03330389533,59.9243,9
"PA8_L_32_0115",2545.82937041553,59.8595,10
"PA12_L_32_0115",2543.01133251418,59.7959,11
"PA16_L_32_0115",2579.41353206238,59.7882,12
"I1_L_35_0115",2597.06855206016,59.678,13
"I2_L_35_0115",2604.69683481112,59.8691,14
"I3_L_35_0115",2601.31651646073,59.706,15
"PABLANK3_L_35_0115",2600.37160162805,59.7913,16
"PABLANK4_L_35_0115",2605.73399110191,59.6888,17
"PA1_L_35_0115",2604.05904264757,59.8226,18
"PA2_L_35_0115",2616.01790014905,59.7555,19
"PA3_L_35_0115",2594.91237540754,59.6332,20
"PA8_L_35_0115",2589.60559770649,59.6559,21
"PA12_L_35_0115",2594.20322495333,59.7074,22
"PA16_L_35_0115",2603.60607548597,59.5175,23
"CRM",2223.50367305791,59.7795,24
"I1_L_38_0115",2578.25868947938,59.9865,25
"I2_L_38_0115",2594.54778315458,59.6557,26
"I3_L_38_0115",2594.67740774621,59.7793,27
"PABLANK3_L_38_0115",2588.52659609624,59.8416,28
"PABLANK4_L_38_0115",2593.11987331306,59.6954,29
"PA1_L_38_0115",2642.61975784166,59.7351,30
"PA2_L_38_0115",2598.98042323319,59.6667,31
"PA3_L_38_0115",2622.43946459991,59.6224,32
"PA8_L_38_0115",2627.18830026623,59.5523,33
"PA12_L_38_0115",2817.81792519035,59.7247,34
"PA16_L_38_0115",2554.58887482249,59.7016,35
