Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,4/6/2022 1:09:03 PM,OK,Unchecked,0,,25.0,°C,,2.273,mL,,60.380,g,,60.3801,g,,1.0,g/mL
2,junk2,4/6/2022 1:19:30 PM,OK,Unchecked,0,,25.0,°C,,2.240,mL,,59.580,g,,59.5800,g,,1.0,g/mL
3,V1,4/6/2022 1:29:43 PM,OK,Unchecked,0,,25.0,°C,,2.384,mL,,60.373,g,,60.3727,g,,1.0,g/mL
4,V2,4/6/2022 1:40:16 PM,OK,Unchecked,0,,25.0,°C,,2.392,mL,,60.446,g,,60.4459,g,,1.0,g/mL
5,V3,4/6/2022 1:50:47 PM,OK,Unchecked,0,,25.0,°C,,2.365,mL,,59.945,g,,59.9451,g,,1.0,g/mL
6,V4,4/6/2022 2:01:17 PM,OK,Unchecked,0,,25.0,°C,,2.370,mL,,59.876,g,,59.8762,g,,1.0,g/mL
7,V5,4/6/2022 2:11:46 PM,OK,Unchecked,0,,25.0,°C,,2.362,mL,,59.932,g,,59.9315,g,,1.0,g/mL
8,V6,4/6/2022 2:22:13 PM,OK,Unchecked,0,,25.0,°C,,2.370,mL,,59.909,g,,59.9092,g,,1.0,g/mL
9,V7,4/6/2022 2:32:43 PM,OK,Unchecked,0,,25.0,°C,,2.358,mL,,59.714,g,,59.7135,g,,1.0,g/mL
10,V8,4/6/2022 2:43:12 PM,OK,Unchecked,0,,25.0,°C,,2.371,mL,,59.994,g,,59.9938,g,,1.0,g/mL
11,V9,4/6/2022 2:53:43 PM,OK,Unchecked,0,,25.0,°C,,2.381,mL,,60.344,g,,60.3444,g,,1.0,g/mL
12,V10,4/6/2022 3:04:14 PM,OK,Unchecked,0,,25.0,°C,,2.364,mL,,59.910,g,,59.9100,g,,1.0,g/mL
13,V11,4/6/2022 3:14:44 PM,OK,Unchecked,0,,25.0,°C,,2.360,mL,,59.541,g,,59.5411,g,,1.0,g/mL
14,V12,4/6/2022 3:25:13 PM,OK,Unchecked,0,,25.0,°C,,2.372,mL,,60.294,g,,60.2941,g,,1.0,g/mL
15,V13,4/6/2022 3:35:43 PM,OK,Unchecked,0,,25.0,°C,,2.361,mL,,60.044,g,,60.0443,g,,1.0,g/mL
16,V14,4/6/2022 3:46:13 PM,OK,Unchecked,0,,25.0,°C,,2.373,mL,,60.074,g,,60.0742,g,,1.0,g/mL
17,V15,4/6/2022 3:56:43 PM,OK,Unchecked,0,,25.0,°C,,2.356,mL,,59.748,g,,59.7477,g,,1.0,g/mL
18,V16,4/6/2022 4:07:12 PM,OK,Unchecked,0,,25.0,°C,,2.362,mL,,59.897,g,,59.8966,g,,1.0,g/mL
19,V17,4/6/2022 4:17:43 PM,OK,Unchecked,0,,25.0,°C,,2.360,mL,,60.020,g,,60.0199,g,,1.0,g/mL
20,V18,4/6/2022 4:28:12 PM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,60.399,g,,60.3988,g,,1.0,g/mL
21,V19,4/6/2022 4:38:44 PM,OK,Unchecked,0,,25.0,°C,,2.369,mL,,60.205,g,,60.2050,g,,1.0,g/mL
22,V20,4/6/2022 4:49:13 PM,OK,Unchecked,0,,25.0,°C,,2.349,mL,,59.867,g,,59.8668,g,,1.0,g/mL
4/6/2022 5:01:29 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
