Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,4/7/2022 8:17:31 PM,OK,Unchecked,0,,25.0,°C,,1.266,mL,,59.690,g,,59.6901,g,,1.0,g/mL
2,junk2,4/7/2022 8:25:51 PM,OK,Unchecked,0,,25.0,°C,,1.242,mL,,60.052,g,,60.0522,g,,1.0,g/mL
3,VSpringK,4/7/2022 8:34:02 PM,OK,Unchecked,0,,25.0,°C,,3.218,mL,,59.648,g,,59.6475,g,,1.0,g/mL
4,VSpringF,4/7/2022 8:46:16 PM,OK,Unchecked,0,,25.0,°C,,3.208,mL,,59.696,g,,59.6965,g,,1.0,g/mL
5,CSpringRoadK,4/7/2022 8:58:28 PM,OK,Unchecked,0,,25.0,°C,,1.703,mL,,59.737,g,,59.7374,g,,1.0,g/mL
6,CSpringRoadF,4/7/2022 9:07:36 PM,OK,Unchecked,0,,25.0,°C,,1.712,mL,,60.400,g,,60.4002,g,,1.0,g/mL
7,CSpringBeachK,4/7/2022 9:16:44 PM,OK,Unchecked,0,,25.0,°C,,2.078,mL,,59.709,g,,59.7090,g,,1.0,g/mL
8,CSpringBeachF,4/7/2022 9:26:36 PM,OK,Unchecked,0,,25.0,°C,,2.108,mL,,59.718,g,,59.7176,g,,1.0,g/mL
9,CSpringBeach2K,4/7/2022 9:36:34 PM,OK,Unchecked,0,,25.0,°C,,2.116,mL,,60.271,g,,60.2711,g,,1.0,g/mL
SystemInternal4/7/2022 9:47:00 PM,,,,,,,,,,,,,,,,,,1/1,,
