SampleID,Tide,Day_Night,TA,Mass,Sample.Index,TA_evap
junk1,,,2129.235901,60.0716,1,2129.235901
junk2,,,2124.680566,59.7586,2,2123.467157
C1,High,Night,2303.834622,60.3287,3,2301.204674
C2,High,Night,2338.88798,60.1658,4,2334.88532
C3,High,Night,2342.446091,60.119,5,2337.104139
C4,High,Night,2295.19885,60.0372,6,2288.659822
C5,High,Night,2292.832912,59.7268,7,2284.998631
C6,High,Night,2335.352953,59.6826,8,2326.048758
C7,High,Night,2334.432529,59.8359,9,2323.8094
C8,High,Night,2292.893622,59.8503,10,2281.161932
C9,High,Night,2318.823657,59.912,11,2305.648522
C10,High,Night,2284.64029,60.26,12,2270.369396
C11,High,Night,2327.445308,59.8443,13,2311.594375
C12,High,Night,2343.043918,59.8497,14,2325.766793
C13,High,Night,2310.595411,59.6429,15,2292.257352
C14,High,Night,2316.265139,60.3475,16,2296.580166
C15,High,Night,2340.212488,59.924,17,2319.01011
C16,High,Night,2333.938652,60.0539,18,2311.484234
C17,High,Night,2322.170715,60.2689,19,2298.528705
C18,High,Night,2340.295927,60.1762,20,2315.159905
C19,High,Night,2344.708838,59.8886,21,2318.214953
C20,High,Night,2308.425722,59.6666,22,2281.053085
