"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2175.86919176153,60.297,1,2175.86919176153
"junk2",2125.48804340679,60.2564,2,2124.27417245111
"A",2249.59172063297,60.3526,3,2247.02369355462
"B",2266.89064125761,60.106,4,2263.01119349733
"C",2256.41148921875,60.4401,5,2251.26573895827
"D",2249.6557314756,60.1375,6,2243.24645588735
"E",2249.92418754222,59.6904,7,2242.23651947545
"F",2244.03239880661,60.3493,8,2235.09203068387
"G",2271.33296489935,60.0509,9,2260.99697871095
"H",2282.29923274943,60.2314,10,2270.62174946646
"C1",2248.88174472228,60.2497,11,2236.10400753636
"C2",2250.88410434783,59.9387,12,2236.82406735304
"C3",2307.51161225629,60.1969,13,2291.79643669041
"C4",2262.67939094938,60.0089,14,2245.9948577206
"C5",2276.28871430641,60.0134,15,2258.22293085953
"C6",2333.05152986706,59.8905,16,2313.22389646876
"C7",2289.05529386467,59.6584,17,2268.31640105503
"C8",2277.77846427157,60.2674,18,2255.86435340987
"C9",2283.9264873129,60.2075,19,2260.67384208007
"C10",2256.38778769634,60.2448,20,2232.15298387145
"C11",2271.16624644025,59.8181,21,2245.50335100025
"C12",2291.91029495453,60.4509,22,2264.73349303807
"C13",2317.84480068556,60.0764,23,2289.06794650098
"C14",2307.64990674689,59.8357,24,2277.71423395773
"C15",2308.4585814106,60.3093,25,2277.22802563053
"C16",2282.39414280931,60.1165,26,2250.24774643171
"C17",2255.99662719541,60.2561,27,2222.96964954503
"C18",2325.43772350591,59.7054,28,2290.10467987357
"C19",2324.45890965655,59.9686,29,2287.85325753598
"C20",2224.14744584089,60.0208,30,2187.89096695984
