Task,T3778
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-79.4,21.3,NaN,,
0.0010,1,-79.7,21.3,0.0010,,
0.0025,2,-79.7,21.3,0.0015,,
0.0050,3,-79.7,21.3,0.0025,,
0.0090,4,-79.7,21.3,0.0035,,
0.0150,5,-79.6,21.3,0.0055,,
0.0235,6,-79.6,21.3,0.0075,,
0.0320,7,-79.4,21.3,0.0075,,
0.0405,8,-79.3,21.3,0.0075,,
0.0490,9,-79.1,21.3,0.0075,,
0.0565,10,-78.7,21.3,0.0070,,
0.0650,11,-78.4,21.3,0.0075,,
0.0735,12,-77.9,21.3,0.0075,,
0.0815,13,-77.3,21.3,0.0075,,
0.0900,14,-76.7,21.3,0.0075,,
0.0985,15,-76.1,21.3,0.0075,,
0.1060,16,-75.5,21.3,0.0070,,
0.1145,17,-74.8,21.3,0.0075,,
0.1230,18,-74.0,21.3,0.0075,,
0.1315,19,-73.3,21.3,0.0075,,
0.1400,20,-72.4,21.3,0.0075,,
0.1480,21,-71.6,21.3,0.0075,,
0.1560,22,-70.9,21.3,0.0075,,
0.1640,23,-69.9,21.3,0.0075,,
0.1725,24,-68.9,21.3,0.0075,,
0.1810,25,-67.9,21.3,0.0075,,
0.1895,26,-66.9,21.3,0.0075,,
0.1980,27,-65.8,21.3,0.0075,,
0.2055,28,-64.8,21.3,0.0070,,
0.2140,29,-63.8,21.3,0.0075,,
0.2225,30,-62.6,21.3,0.0075,,
0.2310,31,-61.3,21.3,0.0075,,
0.2395,32,-60.1,21.3,0.0075,,
0.2475,33,-58.8,21.3,0.0075,,
0.2555,34,-57.7,21.3,0.0075,,
0.2635,35,-56.5,21.3,0.0075,,
0.2720,36,-55.1,21.3,0.0075,,
0.2805,37,-53.8,21.3,0.0075,,
0.2890,38,-52.5,21.3,0.0075,,
0.2975,39,-51.1,21.3,0.0075,,
0.3050,40,-50.0,21.3,0.0070,,
0.3135,41,-48.9,21.3,0.0075,,
0.3220,42,-47.7,21.3,0.0075,,
0.3305,43,-46.6,21.3,0.0075,,
0.3385,44,-45.5,21.3,0.0075,,
0.3470,45,-44.5,21.3,0.0085,,
0.3550,46,-43.4,21.3,0.0075,,
0.3630,47,-42.4,21.3,0.0075,,
0.3715,48,-41.4,21.3,0.0075,,
0.3800,49,-40.4,21.3,0.0075,,
0.3885,50,-39.4,21.3,0.0075,,
0.3970,51,-38.7,21.3,0.0085,,
0.4045,52,-37.7,21.3,0.0070,,
0.4130,53,-36.9,21.3,0.0075,,
