Task,T3781
Scope 1/1, Sample 1/23 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-58.7,21.9,NaN,,
0.0010,1,-58.9,21.9,0.0010,,
0.0025,2,-59.0,21.9,0.0015,,
0.0050,3,-59.1,21.9,0.0020,,
0.0090,4,-59.2,21.9,0.0035,,
0.0150,5,-59.2,21.9,0.0055,,
0.0235,6,-59.2,21.9,0.0075,,
0.0320,7,-59.2,21.9,0.0075,,
0.0405,8,-59.1,21.9,0.0075,,
0.0490,9,-58.8,21.9,0.0070,,
0.0565,10,-58.6,21.9,0.0070,,
0.0650,11,-58.2,21.9,0.0075,,
0.0735,12,-57.8,21.9,0.0075,,
0.0820,13,-57.4,21.9,0.0075,,
0.0900,14,-56.9,21.9,0.0075,,
0.0985,15,-56.3,21.9,0.0070,,
0.1065,16,-55.7,21.9,0.0075,,
0.1145,17,-55.0,21.9,0.0075,,
0.1230,18,-54.3,21.9,0.0075,,
0.1315,19,-53.6,21.9,0.0075,,
0.1400,20,-52.8,21.9,0.0075,,
0.1485,21,-52.0,21.9,0.0075,,
0.1560,22,-51.1,21.9,0.0070,,
0.1645,23,-50.2,21.9,0.0075,,
0.1730,24,-49.3,21.9,0.0075,,
0.1815,25,-48.2,21.9,0.0075,,
0.1895,26,-47.2,21.9,0.0075,,
0.1975,27,-46.3,21.9,0.0075,,
0.2060,28,-45.2,21.9,0.0075,,
0.2140,29,-44.1,21.9,0.0075,,
0.2225,30,-43.0,21.9,0.0075,,
0.2310,31,-42.0,21.9,0.0075,,
0.2395,32,-41.0,21.9,0.0070,,
0.2470,33,-40.1,21.9,0.0070,,
0.2555,34,-39.2,21.9,0.0075,,
0.2640,35,-38.2,21.9,0.0075,,
0.2725,36,-37.2,21.9,0.0075,,
0.2810,37,-36.3,21.9,0.0075,,
0.2895,38,-35.5,21.9,0.0075,,
0.2970,39,-34.6,21.9,0.0070,,
0.3055,40,-33.7,21.9,0.0075,,
0.3140,41,-32.9,21.9,0.0075,,
0.3220,42,-32.1,21.9,0.0075,,
0.3305,43,-31.3,21.9,0.0075,,
0.3390,44,-30.7,21.9,0.0075,,
0.3465,45,-30.0,21.9,0.0070,,
0.3550,46,-29.3,21.9,0.0075,,
0.3635,47,-28.6,21.9,0.0075,,
0.3720,48,-27.9,21.9,0.0075,,
0.3805,49,-27.2,21.9,0.0075,,
0.3880,50,-26.6,21.9,0.0070,,
0.3965,51,-25.9,21.9,0.0075,,
0.4050,52,-25.3,21.9,0.0075,,
0.4130,53,-24.6,21.9,0.0075,,
0.4215,54,-23.9,21.9,0.0075,,
0.4300,55,-23.3,21.9,0.0075,,
0.4375,56,-22.8,21.9,0.0070,,
0.4460,57,-22.1,21.9,0.0075,,
0.4545,58,-21.5,21.9,0.0075,,
0.4630,59,-20.8,21.9,0.0075,,
0.4715,60,-20.3,21.9,0.0075,,
0.4800,61,-19.7,21.9,0.0070,,
0.4875,62,-19.2,21.9,0.0070,,
0.4960,63,-18.6,21.9,0.0075,,
0.5045,64,-18.0,21.9,0.0075,,
0.5130,65,-17.5,21.9,0.0075,,
0.5210,66,-17.0,21.9,0.0075,,
0.5295,67,-16.5,21.9,0.0075,,
0.5370,68,-15.9,21.9,0.0070,,
0.5455,69,-15.4,21.9,0.0075,,
0.5540,70,-14.8,21.9,0.0075,,
0.5625,71,-14.3,21.9,0.0075,,
0.5710,72,-13.7,21.9,0.0075,,
0.5785,73,-13.2,21.9,0.0070,,
0.5870,74,-12.7,21.9,0.0075,,
0.5955,75,-12.1,21.9,0.0075,,
0.6040,76,-11.6,21.9,0.0075,,
0.6125,77,-11.1,21.9,0.0075,,
0.6210,78,-10.6,21.9,0.0070,,
0.6285,79,-10.1,21.9,0.0070,,
0.6370,80,-9.7,21.9,0.0075,,
0.6450,81,-9.2,21.9,0.0075,,
0.6535,82,-8.7,21.9,0.0075,,
0.6620,83,-8.2,21.9,0.0075,,
0.6705,84,-7.8,21.9,0.0075,,
0.6780,85,-7.3,21.9,0.0070,,
0.6865,86,-6.8,21.9,0.0075,,
0.6950,87,-6.3,21.9,0.0075,,
0.7035,88,-5.8,21.9,0.0075,,
0.7120,89,-5.3,21.9,0.0075,,
0.7195,90,-4.9,21.9,0.0070,,
0.7280,91,-4.3,21.9,0.0075,,
0.7365,92,-3.6,21.9,0.0075,,
0.7445,93,-3.0,21.9,0.0075,,
0.7530,94,-2.5,21.9,0.0075,,
0.7615,95,-1.9,21.9,0.0070,,
0.7690,96,-1.3,21.9,0.0070,,
0.7775,97,-0.8,21.9,0.0075,,
0.7860,98,-0.2,21.9,0.0075,,
0.7945,99,0.2,21.9,0.0075,,
0.8030,100,0.5,21.9,0.0075,,
0.8115,101,0.4,21.9,0.0070,,
0.8190,102,0.8,21.9,0.0070,,
0.8275,103,1.3,21.9,0.0075,,
0.8360,104,1.9,21.9,0.0075,,
0.8445,105,2.5,21.9,0.0075,,
0.8525,106,3.6,21.9,0.0075,,
0.8610,107,3.5,21.9,0.0075,,
0.8685,108,4.1,21.9,0.0070,,
0.8770,109,4.7,21.9,0.0075,,
0.8855,110,5.2,21.9,0.0075,,
0.8940,111,5.6,21.9,0.0075,,
0.9025,112,6.1,21.9,0.0075,,
0.9100,113,6.5,21.9,0.0070,,
0.9185,114,6.9,21.9,0.0075,,
0.9270,115,7.4,21.9,0.0075,,
0.9355,116,8.0,21.9,0.0075,,
0.9440,117,8.5,21.9,0.0075,,
0.9520,118,9.3,21.9,0.0065,,
0.9600,119,9.9,21.9,0.0075,,
0.9680,120,10.5,21.9,0.0075,,
0.9765,121,11.2,21.9,0.0075,,
0.9850,122,11.9,21.9,0.0075,,
0.9935,123,12.5,21.9,0.0075,,
1.0020,124,13.0,21.9,0.0075,,
1.0095,125,13.6,21.9,0.0070,,
1.0180,126,14.3,21.9,0.0075,,
1.0265,127,14.9,21.9,0.0075,,
1.0350,128,15.5,21.9,0.0075,,
1.0435,129,16.2,21.9,0.0075,,
1.0510,130,16.8,21.9,0.0070,,
1.0595,131,17.5,21.9,0.0075,,
1.0680,132,18.2,21.9,0.0075,,
1.0760,133,18.9,21.9,0.0075,,
1.0845,134,19.6,21.9,0.0075,,
1.0930,135,20.3,21.9,0.0070,,
1.1005,136,20.9,21.9,0.0070,,
1.1090,137,21.7,21.9,0.0075,,
1.1175,138,22.5,21.9,0.0075,,
1.1260,139,23.3,21.9,0.0075,,
1.1345,140,24.1,21.9,0.0075,,
1.1430,141,24.9,21.9,0.0075,,
1.1505,142,25.7,21.9,0.0070,,
1.1590,143,26.6,21.9,0.0075,,
1.1675,144,27.5,21.9,0.0075,,
1.1755,145,28.4,21.9,0.0075,,
1.1840,146,29.3,21.9,0.0075,,
1.1920,147,30.2,21.9,0.0075,,
1.2000,148,31.3,21.9,0.0075,,
1.2085,149,32.3,21.9,0.0075,,
1.2170,150,33.4,21.9,0.0075,,
1.2255,151,34.6,21.9,0.0075,,
1.2340,152,35.9,21.9,0.0070,,
1.2415,153,37.1,21.9,0.0070,,
1.2500,154,38.4,21.9,0.0075,,
1.2585,155,39.9,21.9,0.0075,,
1.2670,156,41.3,21.9,0.0075,,
1.2755,157,43.1,21.9,0.0075,,
1.2840,158,44.6,21.9,0.0075,,
1.2915,159,46.5,21.9,0.0070,,
1.3000,160,48.6,21.9,0.0075,,
1.3080,161,50.7,21.9,0.0075,,
1.3165,162,53.2,21.9,0.0075,,
1.3250,163,55.9,21.9,0.0075,,
1.3325,164,58.7,21.9,0.0070,,
1.3410,165,61.9,21.9,0.0075,,
1.3495,166,65.7,21.9,0.0075,,
1.3580,167,69.9,21.9,0.0075,,
1.3665,168,74.6,21.9,0.0075,,
1.3750,169,79.8,21.9,0.0070,,
1.3825,170,85.1,21.9,0.0070,,
1.3910,171,91.5,21.9,0.0075,,
1.3995,172,98.4,21.9,0.0075,,
1.4080,173,105.5,21.9,0.0075,,
1.4160,174,113.3,21.9,0.0075,,
1.4245,175,120.3,21.9,0.0075,,
1.4320,176,128.1,21.9,0.0070,,
1.4405,177,135.8,21.9,0.0075,,
1.4490,178,143.5,21.9,0.0075,,
1.4575,179,150.4,21.9,0.0075,,
1.4660,180,157.1,21.9,0.0075,,
1.4735,181,162.8,21.9,0.0070,,
1.4820,182,168.4,21.9,0.0075,,
1.4905,183,173.3,21.9,0.0075,,
1.4990,184,177.7,21.9,0.0075,,
1.5075,185,181.4,21.9,0.0075,,
1.5155,186,184.6,21.9,0.0075,,
1.5195,187,185.2,21.9,0.0055,,
1.5195,427,193.9,22.0,0.0000,,
1.5200,428,193.9,22.0,0.0005,,
1.5215,429,193.9,22.0,0.0020,,
1.5240,430,193.9,22.0,0.0030,,
1.5285,431,193.9,22.0,0.0050,,
1.5345,432,194.1,22.0,0.0065,,
1.5430,433,194.7,22.0,0.0095,,
1.5505,434,195.4,22.0,0.0095,,
1.5590,435,196.4,22.0,0.0105,,
1.5675,436,197.3,22.0,0.0095,,
1.5760,437,198.3,22.0,0.0095,,
1.5845,438,199.1,22.0,0.0095,,
1.5920,439,199.9,22.0,0.0095,,
1.6005,440,200.9,22.0,0.0105,,
1.6090,441,201.7,22.0,0.0105,,
1.6170,442,202.6,22.0,0.0090,,
1.6255,443,203.3,22.0,0.0095,,
1.6340,444,204.1,22.0,0.0095,,
1.6415,445,204.8,22.0,0.0095,,
1.6500,446,205.4,22.0,0.0105,,
1.6585,447,206.2,22.0,0.0105,,
1.6670,448,206.9,22.0,0.0095,,
1.6755,449,207.5,22.0,0.0095,,
1.6840,450,208.2,22.0,0.0095,,
1.6915,451,208.8,22.0,0.0095,,
1.7000,452,209.4,22.0,0.0105,,
1.7085,453,210.1,22.0,0.0095,,
1.7170,454,210.7,22.0,0.0095,,
1.7250,455,211.3,22.0,0.0090,,
1.7335,456,211.9,22.0,0.0095,,
1.7410,457,212.3,22.0,0.0095,,
1.7495,458,212.9,22.0,0.0105,,
1.7580,459,213.4,22.0,0.0095,,
1.7665,460,213.9,22.0,0.0095,,
1.7750,461,214.5,22.0,0.0095,,
1.7835,462,214.9,22.0,0.0105,,
1.7910,463,215.4,22.0,0.0095,,
1.7995,464,215.9,22.0,0.0105,,
1.8080,465,216.4,22.0,0.0095,,
1.8160,466,216.8,22.0,0.0090,,
1.8245,467,217.3,22.0,0.0095,,
1.8330,468,217.7,22.0,0.0105,,
1.8405,469,218.2,22.0,0.0095,,
1.8490,470,218.5,22.0,0.0105,,
1.8575,471,219.0,22.0,0.0095,,
1.8660,472,219.4,22.0,0.0095,,
1.8745,473,219.9,22.0,0.0095,,
1.8820,474,220.2,22.0,0.0095,,
1.8905,475,220.5,22.0,0.0105,,
1.8990,476,220.9,22.0,0.0105,,
1.9075,477,221.3,22.0,0.0095,,
1.9160,478,221.6,22.0,0.0095,,
1.9240,479,222.1,22.0,0.0090,,
1.9320,480,222.4,22.0,0.0100,,
1.9400,481,222.8,22.0,0.0100,,
1.9485,482,223.1,22.0,0.0095,,
1.9570,483,223.5,22.0,0.0095,,
1.9655,484,223.8,22.0,0.0095,,
1.9740,485,224.2,22.0,0.0105,,
1.9815,486,224.5,22.0,0.0095,,
1.9900,487,224.9,22.0,0.0105,,
1.9985,488,225.3,22.0,0.0095,,
2.0070,489,225.5,22.0,0.0095,,
2.0155,490,225.9,22.0,0.0095,,
2.0230,491,226.2,22.0,0.0095,,
2.0315,492,226.4,22.0,0.0105,,
2.0400,493,226.7,22.0,0.0095,,
2.0480,494,227.1,22.0,0.0090,,
2.0565,495,227.3,22.0,0.0095,,
2.0650,496,227.6,22.0,0.0105,,
2.0725,497,227.9,22.0,0.0095,,
2.0810,498,228.3,22.0,0.0105,,
2.0895,499,228.6,22.0,0.0095,,
2.0980,500,228.8,22.0,0.0095,,
2.1065,501,229.2,22.0,0.0095,,
2.1140,502,229.5,22.0,0.0095,,
2.1225,503,229.7,22.0,0.0105,,
2.1310,504,230.0,22.0,0.0105,,
2.1395,505,230.2,22.0,0.0095,,
2.1480,506,230.4,22.0,0.0095,,
2.1560,507,230.7,22.0,0.0090,,
2.1640,508,230.9,22.0,0.0100,,
2.1720,509,231.2,22.0,0.0100,,
2.1805,510,231.4,22.0,0.0095,,
2.1890,511,231.8,22.0,0.0095,,
2.1975,512,232.0,22.0,0.0095,,
2.2060,513,232.2,22.0,0.0095,,
2.2135,514,232.5,22.0,0.0095,,
2.2220,515,232.8,22.0,0.0105,,
2.2305,516,233.1,22.0,0.0095,,
2.2390,517,233.3,22.0,0.0095,,
2.2475,518,233.5,22.0,0.0095,,
2.2550,519,233.7,22.0,0.0095,,
2.2635,520,233.9,22.0,0.0105,,
2.2715,521,234.1,22.0,0.0100,,
2.2790,522,234.3,22.0,0.0085,,
2.2820,523,234.5,22.0,0.0035,,
2.2830,524,234.6,22.0,0.0010,,
2.2835,525,234.7,22.0,0.0005,,
2.2850,526,234.7,22.0,0.0020,,
2.2870,527,234.8,22.0,0.0025,,
2.2900,528,234.8,22.0,0.0035,,
2.2950,529,234.9,22.0,0.0055,,
2.2990,530,235.0,22.0,0.0080,,
Scope 1/1, Sample 2/23 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-75.6,21.8,NaN,,
0.0010,1,-75.8,21.8,0.0010,,
