"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2085.46520998537,59.7281,1,2085.46520998537
"junk2",2050.56362761378,59.9549,2,2049.39254615884
"VRC_A",2348.89964387581,60.0213,3,2346.21825158828
"VRC_B",2338.2757856871,59.5576,4,2334.2741728194
"VRC_C",2334.47442708909,59.8006,5,2329.15065416528
"VRC_D",2325.20554625579,59.9054,6,2318.58102902999
"VRC_G",2352.08393104272,59.6475,7,2344.04719779315
"VRC_H",2355.99766348503,60.2516,8,2346.61121861058
"VRC_J",2362.62236968518,60.1813,9,2351.87095958422
"VRC_K",2363.11548843276,60.3542,10,2351.02450526284
"VRC_L",2363.94643737754,59.7657,11,2350.5149235288
"VRC_M",2340.7172335883,60.2619,12,2326.0960583643
"VRC_N",2343.16561856354,59.9601,13,2327.20762343144
"VRC_O",2347.93454219128,60.2503,14,2330.62135498283
"VRC_P",2354.28077883937,60.4315,15,2335.59601075335
