Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,6/2/2022 2:10:55 PM,OK,Unchecked,0,,25.0,°C,,2.220,mL,,59.653,g,,59.6534,g,,1.0,g/mL
2,junk2,6/2/2022 2:21:14 PM,OK,Unchecked,0,,25.0,°C,,2.204,mL,,59.960,g,,59.9598,g,,1.0,g/mL
3,C11_HD,6/2/2022 2:31:23 PM,OK,Unchecked,0,,25.0,°C,,2.265,mL,,59.659,g,,59.6589,g,,1.0,g/mL
4,C11_LD,6/2/2022 2:41:39 PM,OK,Unchecked,0,,25.0,°C,,2.234,mL,,60.022,g,,60.0219,g,,1.0,g/mL
5,C11_HN,6/2/2022 2:51:50 PM,OK,Unchecked,0,,25.0,°C,,2.246,mL,,59.630,g,,59.6302,g,,1.0,g/mL
6,C11_LN,6/2/2022 3:02:05 PM,OK,Unchecked,0,,25.0,°C,,2.213,mL,,59.591,g,,59.5908,g,,1.0,g/mL
7,C14_HD,6/2/2022 3:12:15 PM,OK,Unchecked,0,,25.0,°C,,2.276,mL,,60.110,g,,60.1101,g,,1.0,g/mL
8,C14_LD,6/2/2022 3:22:34 PM,OK,Unchecked,0,,25.0,°C,,2.270,mL,,59.535,g,,59.5354,g,,1.0,g/mL
9,C14_HN,6/2/2022 3:32:51 PM,OK,Unchecked,0,,25.0,°C,,2.274,mL,,60.483,g,,60.4830,g,,1.0,g/mL
10,C14_LN,6/2/2022 3:43:08 PM,OK,Unchecked,0,,25.0,°C,,2.252,mL,,59.639,g,,59.6394,g,,1.0,g/mL
11,C5_HD,6/2/2022 3:53:24 PM,OK,Unchecked,0,,25.0,°C,,2.244,mL,,59.842,g,,59.8415,g,,1.0,g/mL
12,C5_LD,6/2/2022 4:03:37 PM,OK,Unchecked,0,,25.0,°C,,2.220,mL,,59.908,g,,59.9075,g,,1.0,g/mL
13,C5_HN,6/2/2022 4:13:49 PM,OK,Unchecked,0,,25.0,°C,,2.246,mL,,60.222,g,,60.2215,g,,1.0,g/mL
14,C5_LN,6/2/2022 4:24:04 PM,OK,Unchecked,0,,25.0,°C,,2.234,mL,,60.080,g,,60.0797,g,,1.0,g/mL
15,C16_HD,6/2/2022 4:34:17 PM,OK,Unchecked,0,,25.0,°C,,2.220,mL,,59.787,g,,59.7872,g,,1.0,g/mL
16,C16_LD,6/2/2022 4:44:29 PM,OK,Unchecked,0,,25.0,°C,,2.238,mL,,60.308,g,,60.3083,g,,1.0,g/mL
17,C16_HN,6/2/2022 4:54:43 PM,OK,Unchecked,0,,25.0,°C,,2.260,mL,,60.048,g,,60.0482,g,,1.0,g/mL
18,C16_LN,6/2/2022 5:04:59 PM,OK,Unchecked,0,,25.0,°C,,2.234,mL,,59.996,g,,59.9960,g,,1.0,g/mL
19,C9_HD,6/2/2022 5:15:12 PM,OK,Unchecked,0,,25.0,°C,,2.316,mL,,60.196,g,,60.1958,g,,1.0,g/mL
20,C9_LD,6/2/2022 5:25:35 PM,OK,Unchecked,0,,25.0,°C,,2.221,mL,,60.173,g,,60.1729,g,,1.0,g/mL
21,C9_HN,6/2/2022 5:35:46 PM,OK,Unchecked,0,,25.0,°C,,2.264,mL,,59.793,g,,59.7928,g,,1.0,g/mL
