Task,T3862
Scope 1/1, Sample 1/35 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-74.4,22.0,NaN,,
0.0010,1,-74.5,22.0,0.0010,,
0.0025,2,-74.5,22.0,0.0015,,
0.0050,3,-74.6,22.0,0.0020,,
0.0090,4,-74.6,22.0,0.0035,,
0.0155,5,-74.6,22.0,0.0060,,
0.0235,6,-74.5,22.0,0.0075,,
0.0320,7,-74.3,22.0,0.0075,,
0.0405,8,-74.2,22.0,0.0075,,
0.0490,9,-73.9,22.0,0.0070,,
0.0565,10,-73.6,22.0,0.0070,,
0.0650,11,-73.2,22.0,0.0075,,
0.0735,12,-72.8,22.0,0.0075,,
0.0820,13,-72.2,22.0,0.0075,,
0.0900,14,-71.7,22.0,0.0075,,
0.0985,15,-71.1,22.0,0.0070,,
0.1065,16,-70.5,22.0,0.0075,,
0.1145,17,-69.8,22.0,0.0075,,
0.1230,18,-69.0,22.0,0.0075,,
0.1315,19,-68.2,22.0,0.0075,,
0.1400,20,-67.3,22.0,0.0075,,
0.1485,21,-66.4,22.0,0.0070,,
0.1560,22,-65.6,22.0,0.0070,,
0.1645,23,-64.6,22.0,0.0075,,
0.1730,24,-63.5,22.0,0.0075,,
0.1815,25,-62.6,22.0,0.0075,,
0.1900,26,-61.5,22.0,0.0075,,
0.1980,27,-60.5,22.0,0.0075,,
0.2060,28,-59.5,22.0,0.0075,,
0.2140,29,-58.4,22.0,0.0075,,
0.2225,30,-57.2,22.0,0.0075,,
0.2310,31,-56.0,22.0,0.0075,,
0.2395,32,-54.8,22.0,0.0070,,
0.2470,33,-53.8,22.0,0.0070,,
0.2555,34,-52.5,22.0,0.0075,,
0.2640,35,-51.3,22.0,0.0075,,
0.2725,36,-50.1,22.0,0.0075,,
0.2810,37,-48.9,22.0,0.0075,,
0.2895,38,-47.7,22.0,0.0070,,
0.2970,39,-46.7,22.0,0.0070,,
0.3055,40,-45.6,22.0,0.0075,,
0.3135,41,-44.5,22.0,0.0075,,
0.3220,42,-43.5,22.0,0.0075,,
0.3305,43,-42.6,22.0,0.0075,,
0.3390,44,-41.8,22.0,0.0075,,
0.3465,45,-40.9,22.0,0.0070,,
0.3550,46,-40.1,22.0,0.0075,,
0.3635,47,-39.2,22.0,0.0075,,
0.3720,48,-38.4,22.0,0.0075,,
0.3805,49,-37.6,22.0,0.0070,,
0.3880,50,-36.9,22.0,0.0070,,
0.3965,51,-36.1,22.0,0.0075,,
0.4050,52,-35.2,22.0,0.0075,,
0.4135,53,-34.5,22.0,0.0075,,
0.4215,54,-33.7,22.0,0.0075,,
0.4300,55,-32.9,22.0,0.0070,,
0.4375,56,-32.3,22.0,0.0070,,
0.4460,57,-31.5,22.0,0.0075,,
0.4545,58,-30.8,22.0,0.0075,,
0.4630,59,-30.1,22.0,0.0075,,
0.4715,60,-29.5,22.0,0.0075,,
0.4800,61,-28.9,22.0,0.0075,,
0.4875,62,-28.2,22.0,0.0070,,
0.4960,63,-27.5,22.0,0.0075,,
0.5045,64,-26.9,22.0,0.0075,,
0.5130,65,-26.3,22.0,0.0075,,
0.5210,66,-25.7,22.0,0.0075,,
0.5295,67,-25.1,22.0,0.0075,,
0.5375,68,-24.5,22.0,0.0075,,
0.5455,69,-23.8,22.0,0.0075,,
0.5540,70,-23.2,22.0,0.0075,,
0.5625,71,-22.6,22.0,0.0075,,
0.5710,72,-22.0,22.0,0.0070,,
0.5785,73,-21.5,22.0,0.0070,,
0.5870,74,-20.8,22.1,0.0075,,
0.5955,75,-20.3,22.0,0.0075,,
0.6040,76,-19.7,22.1,0.0075,,
