Task,T2190
Scope 1/1, Sample 1/40 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-73.1,20.4,NaN,,
0.0010,1,-73.0,20.4,0.0010,,
0.0025,2,-73.0,20.4,0.0015,,
0.0050,3,-73.0,20.4,0.0025,,
0.0090,4,-73.0,20.4,0.0035,,
0.0150,5,-72.9,20.4,0.0055,,
0.0235,6,-72.5,20.4,0.0075,,
0.0320,7,-71.8,20.4,0.0085,,
0.0395,8,-71.0,20.4,0.0075,,
0.0480,9,-70.1,20.4,0.0075,,
0.0565,10,-68.9,20.4,0.0075,,
0.0650,11,-67.7,20.4,0.0075,,
0.0735,12,-66.5,20.4,0.0075,,
0.0815,13,-65.4,20.4,0.0080,,
0.0890,14,-64.1,20.4,0.0075,,
0.0975,15,-62.7,20.4,0.0075,,
0.1060,16,-61.2,20.4,0.0075,,
0.1145,17,-59.6,20.4,0.0075,,
0.1230,18,-57.9,20.4,0.0075,,
0.1315,19,-56.5,20.4,0.0085,,
0.1390,20,-54.6,20.4,0.0075,,
0.1475,21,-52.7,20.4,0.0075,,
0.1555,22,-50.7,20.4,0.0075,,
0.1640,23,-48.7,20.4,0.0075,,
0.1725,24,-46.5,20.4,0.0075,,
0.1810,25,-44.3,20.4,0.0085,,
0.1885,26,-41.9,20.4,0.0075,,
0.1970,27,-39.3,20.4,0.0075,,
0.2055,28,-36.5,20.4,0.0075,,
0.2140,29,-33.5,20.4,0.0075,,
0.2220,30,-30.5,20.4,0.0075,,
0.2300,31,-27.8,20.4,0.0080,,
0.2380,32,-24.6,20.4,0.0080,,
0.2465,33,-21.5,20.4,0.0075,,
0.2550,34,-18.5,20.4,0.0075,,
0.2635,35,-15.8,20.4,0.0075,,
0.2720,36,-13.4,20.4,0.0075,,
0.2795,37,-11.4,20.4,0.0075,,
0.2880,38,-9.4,20.4,0.0075,,
0.2965,39,-7.3,20.4,0.0075,,
0.3045,40,-5.4,20.4,0.0075,,
0.3130,41,-3.7,20.4,0.0075,,
0.3215,42,-2.4,20.4,0.0085,,
0.3290,43,-0.9,20.4,0.0075,,
0.3375,44,0.4,20.4,0.0075,,
0.3460,45,1.8,20.4,0.0075,,
0.3545,46,3.2,20.4,0.0075,,
0.3630,47,4.4,20.4,0.0075,,
0.3705,48,5.4,20.4,0.0075,,
0.3790,49,6.6,20.4,0.0085,,
0.3870,50,7.6,20.4,0.0075,,
0.3955,51,8.6,20.4,0.0075,,
0.4040,52,9.7,20.4,0.0075,,
0.4125,53,10.9,20.4,0.0075,,
0.4200,54,11.8,20.4,0.0075,,
0.4285,55,12.9,20.4,0.0075,,
0.4370,56,13.9,20.4,0.0075,,
0.4455,57,14.9,20.4,0.0075,,
0.4540,58,15.8,20.4,0.0075,,
0.4620,59,16.7,20.4,0.0080,,
0.4700,60,17.8,20.4,0.0080,,
0.4780,61,18.7,20.4,0.0075,,
0.4865,62,19.6,20.4,0.0075,,
0.4950,63,20.5,20.4,0.0075,,
0.5035,64,21.4,20.4,0.0075,,
0.5120,65,22.2,20.4,0.0085,,
0.5195,66,23.1,20.4,0.0075,,
0.5280,67,24.0,20.4,0.0075,,
0.5360,68,24.8,20.4,0.0075,,
0.5445,69,25.8,20.4,0.0075,,
0.5530,70,26.8,20.4,0.0075,,
0.5615,71,27.5,20.4,0.0085,,
0.5690,72,28.4,20.4,0.0075,,
0.5775,73,29.3,20.4,0.0075,,
0.5860,74,30.2,20.5,0.0075,,
0.5945,75,31.1,20.5,0.0075,,
0.6025,76,31.9,20.5,0.0075,,
0.6105,77,32.8,20.4,0.0080,,
0.6185,78,33.7,20.4,0.0080,,
0.6270,79,34.5,20.5,0.0075,,
0.6355,80,35.4,20.5,0.0075,,
0.6440,81,36.2,20.4,0.0075,,
0.6525,82,37.1,20.5,0.0075,,
0.6600,83,37.8,20.5,0.0075,,
0.6685,84,38.8,20.5,0.0085,,
0.6765,85,39.7,20.5,0.0075,,
0.6850,86,40.6,20.5,0.0075,,
0.6935,87,41.5,20.5,0.0075,,
0.7020,88,42.5,20.5,0.0075,,
0.7095,89,43.3,20.5,0.0075,,
0.7180,90,44.2,20.5,0.0085,,
0.7265,91,45.1,20.5,0.0075,,
0.7350,92,45.9,20.5,0.0075,,
0.7430,93,46.8,20.5,0.0075,,
0.7515,94,47.5,20.5,0.0075,,
0.7590,95,48.3,20.5,0.0075,,
0.7675,96,49.1,20.5,0.0075,,
0.7760,97,50.0,20.5,0.0075,,
0.7845,98,51.0,20.5,0.0075,,
0.7930,99,51.8,20.5,0.0075,,
0.8015,100,52.5,20.5,0.0085,,
0.8090,101,53.5,20.5,0.0075,,
