"SampleID","TA","Mass","Sample.Index","TA_evap"
"Junk1",2264.30544119057,60.2953,1,2264.30544119057
"D_13_1_BC",2010.75940963716,60.3002,2,2009.61106045976
"D_13_2_BC",1960.47209305328,60.1588,3,1958.2341112119
"D_13_3_BC",1895.50244169839,59.9452,4,1892.25856986434
"D_13_4_BC",1864.38398550021,59.8043,5,1860.13225463248
"D_13_5_BC",1844.60606039371,59.6508,6,1839.35077247236
"N_13_1_BC",2022.40107378415,59.9268,7,2015.49081954571
"N_13_2_BC",2010.66956061353,59.6906,8,2002.65892491387
"N_13_3_BC",2067.17342913665,59.7552,9,2057.76649658085
"N_13_4_BC",2102.29790676933,59.6516,10,2091.54140809911
"D_13_1_AI",2094.59059318113,59.9405,11,2082.68951026533
"D_13_2_AI",2020.03489041957,60.0236,12,2007.41684170031
"D_13_3_AI",1960.51652651016,60.0074,13,1947.16454108558
"D_13_4_AI",1889.8694512717,59.7604,14,1875.93394198836
"N_13_1_AI",2060.84770209598,60.0488,15,2044.49176795236
"N_13_2_AI",2097.84171662999,60.1498,16,2080.01303348583
"N_13_3_AI",2138.17506444768,59.803,17,2118.803149934
"N_13_4_AI",2170.27140185096,59.9616,18,2149.39159775845
