Task,T1911
Scope 1/1, Sample 1/20 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-71.4,21.5,NaN,,
0.0010,1,-71.4,21.5,0.0010,,
0.0025,2,-71.3,21.5,0.0015,,
0.0050,3,-71.3,21.5,0.0020,,
0.0090,4,-71.3,21.5,0.0035,,
0.0150,5,-71.2,21.5,0.0055,,
0.0235,6,-70.9,21.5,0.0075,,
0.0320,7,-70.3,21.5,0.0075,,
0.0405,8,-69.5,21.5,0.0075,,
0.0490,9,-68.7,21.5,0.0075,,
0.0565,10,-67.8,21.5,0.0070,,
0.0650,11,-66.7,21.5,0.0075,,
0.0735,12,-65.7,21.5,0.0075,,
0.0820,13,-64.5,21.5,0.0075,,
0.0905,14,-63.2,21.5,0.0075,,
0.0985,15,-62.1,21.5,0.0075,,
0.1065,16,-60.8,21.5,0.0075,,
0.1145,17,-59.3,21.5,0.0075,,
0.1230,18,-57.9,21.5,0.0075,,
0.1315,19,-56.2,21.5,0.0075,,
0.1400,20,-54.5,21.5,0.0070,,
0.1475,21,-52.9,21.5,0.0070,,
0.1560,22,-51.3,21.5,0.0075,,
0.1645,23,-49.4,21.5,0.0075,,
0.1730,24,-47.4,21.5,0.0075,,
0.1815,25,-45.2,21.5,0.0075,,
0.1900,26,-42.9,21.5,0.0070,,
0.1975,27,-40.8,21.5,0.0070,,
0.2060,28,-38.2,21.5,0.0075,,
0.2140,29,-35.3,21.5,0.0075,,
0.2225,30,-32.3,21.5,0.0075,,
0.2310,31,-29.2,21.5,0.0075,,
0.2395,32,-25.6,21.5,0.0070,,
0.2470,33,-22.4,21.5,0.0070,,
0.2555,34,-18.3,21.5,0.0075,,
0.2640,35,-14.1,21.5,0.0075,,
0.2725,36,-9.9,21.5,0.0075,,
0.2810,37,-6.2,21.5,0.0075,,
0.2895,38,-2.7,21.5,0.0075,,
0.2970,39,0.1,21.5,0.0070,,
0.3055,40,2.9,21.5,0.0075,,
0.3135,41,5.0,21.5,0.0075,,
