SampleID,TA,Mass,Sample.Index,TA_evap
Junk1,2267.349924,59.7968,1,2267.349924
Junk2,2243.1225,59.7984,2,2241.841447
D2_Ocean_1_BC,2234.689435,59.8323,3,2232.13842
D2_Ocean_2_BC,2230.382138,59.7627,4,2226.565169
D2_Ocean_3_BC,2173.987754,59.7902,5,2169.029971
D2_Ocean_4_BC,2141.73803,59.8373,6,2135.636212
D2_Ocean_5_BC,2170.199304,60.0073,7,2162.784044
N1_Ocean_1_BC,2150.984215,59.7411,8,2142.414557
N1_Ocean_2_BC,2146.110391,60.2017,9,2136.344246
N1_Ocean_3_BC,2134.54125,60.0865,10,2123.619777
N1_Ocean_4_BC,2120.369296,59.8983,11,2108.321743
N1_Ocean_5_BC,2103.567745,59.913,12,2090.427913
D2_Ocean_1_AI,2144.22269,60.1443,13,2129.619584
D2_Ocean_2_AI,2238.452389,60.0441,14,2221.9465
D2_Ocean_3_AI,2186.864526,59.7428,15,2169.508458
D2_Ocean_4_AI,2180.412638,59.7476,16,2161.882219
N1_Ocean_1_AI,2237.663443,60.3459,17,2217.390162
N1_Ocean_2_AI,2238.696521,60.1323,18,2217.15841
N1_Ocean_3_AI,2191.83148,60.4809,19,2169.516454
N1_Ocean_4_AI,2171.329659,59.6564,20,2148.008425
