"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk",2352.01219331097,59.6823,1,2352.01219331097
"D_22_3_BC",2144.53687224132,59.7787,2,2143.31212245706
"N_22_4_AI",2369.67858504361,60.0083,3,2366.97347250361
"N_17_2_BC",2164.5205737708,60.0614,4,2160.81631722698
"N_17_4_AI",2280.10798734758,59.842,5,2274.90819718259
"N_17_3_AI",2221.33707843121,60.1305,6,2215.00848276616
"N_17_2_AI",2273.21822439521,60.0313,7,2265.45096394739
"N_9_2_AI",2100.93382079784,60.0399,8,2092.56356653171
"N_25_5_BC",2325.59339267185,60.1783,9,2315.01048758575
"D_15_5_BC",1813.12856865005,59.9389,10,1803.85161747446
"N_30_3_BC",2388.29994248086,59.9157,11,2374.73005644403
"D_14_2_BC",2164.18377909754,59.8996,12,2150.66531142573
"N_16_2_BC",2173.55805573731,60.0117,13,2158.75516318973
"N_22_2_AI",2321.08917314357,59.8714,14,2303.97393817427
"N_8_3_AI",2311.79575913005,59.8222,15,2293.44817374013
"D_14_2_AI",2148.56328532167,59.8839,16,2130.30354068721
"N_23_4_BC",2186.00682301599,59.8661,17,2166.20155168629
"N_24_1_BC",2026.4791798754,59.7941,18,2006.98277576794
