Task,T2277
Scope 1/1, Sample 1/16 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.9,21.3,NaN,,
0.0010,1,-69.1,21.3,0.0010,,
0.0025,2,-69.0,21.3,0.0015,,
0.0050,3,-69.1,21.3,0.0025,,
0.0090,4,-69.0,21.3,0.0035,,
0.0150,5,-68.9,21.3,0.0055,,
0.0235,6,-68.7,21.3,0.0075,,
0.0320,7,-68.1,21.3,0.0075,,
0.0405,8,-67.4,21.3,0.0075,,
0.0480,9,-66.6,21.3,0.0070,,
0.0565,10,-65.5,21.3,0.0075,,
0.0650,11,-64.5,21.3,0.0075,,
0.0735,12,-63.3,21.3,0.0075,,
0.0820,13,-62.2,21.3,0.0075,,
0.0905,14,-61.1,21.3,0.0085,,
0.0980,15,-59.7,21.3,0.0070,,
0.1065,16,-58.4,21.3,0.0075,,
0.1145,17,-57.0,21.3,0.0075,,
0.1230,18,-55.4,21.3,0.0075,,
0.1315,19,-53.7,21.3,0.0075,,
0.1390,20,-52.3,21.3,0.0075,,
0.1475,21,-50.2,21.3,0.0075,,
0.1560,22,-48.2,21.3,0.0075,,
0.1645,23,-46.4,21.3,0.0075,,
0.1730,24,-44.2,21.3,0.0075,,
0.1815,25,-42.1,21.3,0.0075,,
0.1890,26,-39.9,21.3,0.0075,,
0.1975,27,-37.6,21.3,0.0075,,
0.2060,28,-34.8,21.3,0.0075,,
0.2140,29,-32.2,21.3,0.0075,,
0.2225,30,-28.9,21.3,0.0075,,
0.2310,31,-25.9,21.3,0.0085,,
0.2385,32,-22.4,21.3,0.0070,,
0.2470,33,-18.7,21.3,0.0075,,
0.2555,34,-15.2,21.3,0.0075,,
0.2640,35,-11.4,21.3,0.0075,,
0.2725,36,-7.9,21.3,0.0075,,
0.2810,37,-5.1,21.3,0.0085,,
0.2885,38,-1.8,21.3,0.0070,,
0.2970,39,0.3,21.3,0.0075,,
0.3055,40,3.0,21.4,0.0075,,
0.3140,41,4.6,21.3,0.0075,,
0.3220,42,6.1,21.4,0.0075,,
0.3300,43,7.3,21.3,0.0080,,
0.3380,44,8.9,21.4,0.0075,,
0.3465,45,10.7,21.4,0.0075,,
0.3550,46,12.3,21.4,0.0075,,
0.3635,47,13.7,21.4,0.0075,,
0.3720,48,14.8,21.4,0.0075,,
0.3795,49,15.8,21.4,0.0075,,
0.3880,50,16.8,21.4,0.0075,,
0.3965,51,18.0,21.4,0.0075,,
0.4050,52,19.2,21.4,0.0075,,
0.4130,53,20.2,21.4,0.0075,,
0.4215,54,21.3,21.4,0.0075,,
0.4295,55,22.4,21.4,0.0075,,
0.4375,56,23.4,21.4,0.0075,,
0.4460,57,24.4,21.4,0.0075,,
0.4545,58,25.3,21.4,0.0075,,
0.4630,59,26.3,21.4,0.0075,,
0.4715,60,27.3,21.4,0.0075,,
0.4790,61,28.2,21.4,0.0070,,
0.4875,62,29.2,21.4,0.0075,,
0.4960,63,30.0,21.4,0.0075,,
0.5045,64,30.9,21.4,0.0075,,
0.5125,65,31.9,21.4,0.0075,,
0.5210,66,32.9,21.4,0.0075,,
0.5285,67,33.7,21.4,0.0070,,
0.5370,68,34.7,21.4,0.0075,,
0.5455,69,35.5,21.4,0.0075,,
0.5540,70,36.2,21.4,0.0075,,
0.5625,71,37.0,21.4,0.0075,,
0.5710,72,37.8,21.4,0.0085,,
0.5785,73,38.6,21.4,0.0070,,
0.5870,74,39.4,21.4,0.0075,,
0.5955,75,40.2,21.4,0.0075,,
0.6040,76,41.1,21.4,0.0075,,
0.6120,77,42.0,21.4,0.0075,,
0.6205,78,42.7,21.4,0.0085,,
0.6280,79,43.6,21.4,0.0070,,
0.6365,80,44.3,21.4,0.0075,,
0.6450,81,45.1,21.4,0.0075,,
0.6535,82,45.9,21.4,0.0075,,
0.6620,83,46.7,21.4,0.0075,,
0.6695,84,47.5,21.4,0.0075,,
0.6780,85,48.2,21.4,0.0075,,
0.6865,86,49.0,21.4,0.0075,,
0.6950,87,49.8,21.4,0.0075,,
0.7035,88,50.6,21.4,0.0075,,
0.7115,89,51.5,21.4,0.0075,,
0.7195,90,52.0,21.4,0.0080,,
0.7275,91,52.7,21.4,0.0075,,
0.7360,92,53.3,21.4,0.0075,,
0.7445,93,54.2,21.4,0.0075,,
0.7530,94,55.1,21.4,0.0075,,
0.7615,95,55.7,21.4,0.0085,,
0.7690,96,56.4,21.4,0.0070,,
0.7775,97,57.2,21.4,0.0075,,
0.7860,98,57.8,21.4,0.0075,,
0.7945,99,58.6,21.4,0.0075,,
0.8030,100,59.4,21.4,0.0075,,
0.8105,101,60.1,21.4,0.0075,,
0.8190,102,61.2,21.4,0.0075,,
0.8275,103,62.0,21.4,0.0075,,
0.8355,104,62.6,21.4,0.0075,,
0.8440,105,63.2,21.4,0.0075,,
0.8525,106,64.0,21.4,0.0075,,
0.8600,107,64.6,21.4,0.0075,,
0.8685,108,65.5,21.4,0.0075,,
0.8770,109,66.2,21.4,0.0075,,
0.8855,110,66.9,21.4,0.0075,,
0.8940,111,67.8,21.4,0.0075,,
0.9025,112,68.3,21.4,0.0085,,
0.9100,113,69.3,21.4,0.0070,,
0.9185,114,70.3,21.4,0.0075,,
0.9270,115,71.0,21.4,0.0075,,
0.9350,116,71.9,21.4,0.0075,,
0.9435,117,72.8,21.4,0.0075,,
0.9520,118,73.5,21.4,0.0075,,
0.9595,119,74.1,21.4,0.0070,,
0.9680,120,75.0,21.4,0.0075,,
0.9765,121,75.7,21.4,0.0075,,
0.9850,122,76.9,21.4,0.0075,,
0.9935,123,77.8,21.4,0.0075,,
1.0020,124,78.8,21.4,0.0085,,
1.0095,125,79.4,21.4,0.0070,,
1.0180,126,80.3,21.4,0.0075,,
1.0265,127,81.3,21.4,0.0075,,
1.0345,128,82.1,21.4,0.0075,,
1.0430,129,83.3,21.4,0.0075,,
1.0505,130,84.3,21.4,0.0075,,
1.0590,131,85.8,21.4,0.0075,,
1.0675,132,86.8,21.4,0.0075,,
1.0760,133,87.8,21.4,0.0075,,
1.0845,134,88.6,21.4,0.0075,,
1.0930,135,89.6,21.4,0.0075,,
1.1005,136,90.7,21.4,0.0075,,
1.1090,137,92.0,21.4,0.0075,,
1.1175,138,93.1,21.4,0.0075,,
1.1255,139,94.4,21.4,0.0075,,
1.1340,140,95.7,21.4,0.0075,,
1.1425,141,97.2,21.4,0.0075,,
1.1500,142,98.5,21.4,0.0070,,
1.1585,143,99.6,21.4,0.0075,,
1.1670,144,101.0,21.4,0.0075,,
1.1755,145,102.1,21.4,0.0075,,
1.1840,146,104.1,21.4,0.0075,,
1.1925,147,105.5,21.4,0.0085,,
1.2000,148,107.5,21.4,0.0070,,
1.2085,149,109.1,21.4,0.0075,,
1.2170,150,110.6,21.4,0.0075,,
1.2255,151,113.2,21.4,0.0075,,
1.2335,152,115.1,21.4,0.0075,,
1.2415,153,117.5,21.4,0.0080,,
1.2500,154,119.4,21.4,0.0075,,
1.2580,155,121.2,21.4,0.0075,,
1.2665,156,124.5,21.4,0.0075,,
1.2750,157,127.0,21.4,0.0075,,
1.2835,158,129.9,21.4,0.0075,,
1.2910,159,132.8,21.4,0.0075,,
1.2995,160,135.6,21.4,0.0075,,
1.3080,161,139.3,21.4,0.0075,,
1.3165,162,143.0,21.4,0.0075,,
1.3250,163,147.6,21.4,0.0075,,
1.3330,164,150.9,21.4,0.0075,,
1.3410,165,154.0,21.4,0.0080,,
1.3490,166,157.3,21.4,0.0075,,
1.3575,167,160.5,21.4,0.0075,,
1.3660,168,163.8,21.4,0.0075,,
1.3745,169,167.1,21.4,0.0075,,
1.3830,170,169.6,21.4,0.0075,,
1.3905,171,172.2,21.4,0.0070,,
1.3990,172,174.4,21.4,0.0075,,
1.4075,173,176.8,21.4,0.0075,,
1.4160,174,179.1,21.4,0.0075,,
1.4245,175,181.1,21.4,0.0075,,
1.4325,176,183.0,21.4,0.0080,,
1.4405,177,184.7,21.4,0.0075,,
1.4440,178,185.2,21.4,0.0060,,
1.4440,418,188.8,21.4,0.0000,,
1.4445,419,188.8,21.4,0.0010,,
1.4460,420,188.8,21.4,0.0025,,
1.4485,421,188.9,21.4,0.0035,,
1.4525,422,189.0,21.4,0.0055,,
1.4585,423,189.4,21.4,0.0085,,
1.4670,424,190.1,21.4,0.0140,,
1.4745,425,191.2,21.4,0.0125,,
1.4830,426,192.4,21.4,0.0140,,
1.4915,427,193.6,21.4,0.0120,,
1.5000,428,195.0,21.4,0.0120,,
1.5085,429,195.9,21.4,0.0120,,
1.5165,430,197.1,21.4,0.0135,,
1.5245,431,198.3,21.4,0.0135,,
1.5330,432,199.2,21.4,0.0140,,
1.5410,433,200.3,21.4,0.0115,,
1.5495,434,201.2,21.4,0.0120,,
1.5580,435,202.2,21.4,0.0120,,
1.5655,436,203.0,21.4,0.0125,,
1.5740,437,203.9,21.4,0.0140,,
1.5825,438,204.8,21.4,0.0140,,
1.5910,439,205.4,21.4,0.0120,,
1.5995,440,206.4,21.5,0.0120,,
1.6080,441,207.0,21.4,0.0120,,
1.6155,442,207.7,21.5,0.0125,,
1.6240,443,208.3,21.5,0.0140,,
1.6325,444,209.1,21.4,0.0120,,
1.6405,445,209.6,21.4,0.0115,,
1.6490,446,210.3,21.4,0.0120,,
1.6575,447,211.1,21.5,0.0120,,
1.6650,448,211.7,21.5,0.0125,,
1.6735,449,212.2,21.5,0.0140,,
1.6820,450,212.7,21.5,0.0120,,
1.6905,451,213.3,21.5,0.0120,,
1.6990,452,213.9,21.5,0.0120,,
1.7075,453,214.5,21.5,0.0140,,
