SampleID,TA,Mass,Sample.Index,TA_evap
junk,2220.310206,60.0345,1,2220.310206
N_7_3_BC,2327.723323,59.8514,2,2326.393955
D_8_4_AI,2197.385045,60.1319,3,2194.876614
N_8_3_AI,2295.151033,59.8438,4,2291.223221
N_9_2_AI,2105.235359,60.0698,5,2100.434366
D_14_2_AI,2141.389776,59.9941,6,2135.288951
D_14_4_AI,2310.388234,59.9377,7,2302.493969
D_15_2_BC,2012.791354,59.9112,8,2004.772265
N_16_2_BC,1981.623585,59.9427,9,1972.605958
N_17_4_AI,2281.341465,59.8873,10,2269.668882
D_22_3_BC,2105.063432,59.9767,11,2093.102844
N_22_3_BC,2287.364456,59.9047,12,2273.076546
D_22_3_AI,1898.550258,59.9208,13,1885.62029
N_23_5_BC,2122.456107,60.0817,14,2106.805551
N_24_5_BC,2059.283122,59.821,15,2042.939605
N_24_3_AI,2197.308587,60.0971,16,2178.634576
N_24_4_AI,2137.119065,59.8353,17,2117.756718
