Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk,9/8/2019 10:29:53 AM,OK,Unchecked,0,,25.0,°C,,2.617,mL,,59.991,g,,59.9913,g,,1.0,g/mL
2,D_11_1_BC,9/8/2019 10:40:59 AM,OK,Unchecked,0,,25.0,°C,,2.484,mL,,60.067,g,,60.0674,g,,1.0,g/mL
3,D_11_2_BC,9/8/2019 10:51:40 AM,OK,Unchecked,0,,25.0,°C,,2.478,mL,,60.130,g,,60.1305,g,,1.0,g/mL
4,D_11_3_BC,9/8/2019 11:02:20 AM,OK,Unchecked,0,,25.0,°C,,2.452,mL,,60.136,g,,60.1362,g,,1.0,g/mL
5,D_11_4_BC,9/8/2019 11:12:58 AM,OK,Unchecked,0,,25.0,°C,,2.438,mL,,59.951,g,,59.9514,g,,1.0,g/mL
6,D_11_5_BC,9/8/2019 11:23:34 AM,OK,Unchecked,0,,25.0,°C,,2.474,mL,,60.073,g,,60.0728,g,,1.0,g/mL
7,N_11_1_BC,9/8/2019 11:34:16 AM,OK,Unchecked,0,,25.0,°C,,2.461,mL,,59.992,g,,59.9915,g,,1.0,g/mL
8,N_11_2_BC,9/8/2019 11:44:56 AM,OK,Unchecked,0,,25.0,°C,,2.452,mL,,59.987,g,,59.9873,g,,1.0,g/mL
9,N_11_3_BC,9/8/2019 11:55:34 AM,OK,Unchecked,0,,25.0,°C,,2.457,mL,,59.925,g,,59.9249,g,,1.0,g/mL
10,N_11_4_BC,9/8/2019 12:06:14 PM,OK,Unchecked,0,,25.0,°C,,2.542,mL,,59.930,g,,59.9295,g,,1.0,g/mL
11,D_11_1_AI,9/8/2019 12:17:00 PM,OK,Unchecked,0,,25.0,°C,,2.584,mL,,60.148,g,,60.1483,g,,1.0,g/mL
12,D_11_2_AI,9/8/2019 12:27:56 PM,OK,Unchecked,0,,25.0,°C,,2.558,mL,,60.152,g,,60.1520,g,,1.0,g/mL
13,D_11_3_AI,9/8/2019 12:38:47 PM,OK,Unchecked,0,,25.0,°C,,2.510,mL,,59.927,g,,59.9267,g,,1.0,g/mL
14,D_11_4_AI,9/8/2019 12:49:32 PM,OK,Unchecked,0,,25.0,°C,,2.513,mL,,60.174,g,,60.1742,g,,1.0,g/mL
15,N_11_1_AI,9/8/2019 1:00:19 PM,OK,Unchecked,0,,25.0,°C,,2.549,mL,,60.020,g,,60.0196,g,,1.0,g/mL
