Task,T1867
Scope 1/1, Sample 1/20 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-72.5,22.2,NaN,,
0.0010,1,-72.5,22.2,0.0010,,
0.0025,2,-72.5,22.2,0.0015,,
0.0050,3,-72.5,22.2,0.0025,,
0.0090,4,-72.6,22.2,0.0035,,
0.0150,5,-72.5,22.2,0.0055,,
0.0235,6,-71.9,22.2,0.0075,,
0.0320,7,-71.2,22.2,0.0075,,
0.0405,8,-70.3,22.2,0.0075,,
0.0490,9,-69.4,22.2,0.0075,,
0.0565,10,-68.5,22.2,0.0070,,
0.0650,11,-67.6,22.2,0.0075,,
0.0735,12,-66.6,22.2,0.0075,,
0.0815,13,-65.5,22.2,0.0075,,
0.0900,14,-64.5,22.2,0.0075,,
0.0985,15,-63.3,22.2,0.0075,,
0.1060,16,-62.0,22.2,0.0070,,
0.1145,17,-60.8,22.2,0.0075,,
0.1230,18,-59.4,22.2,0.0075,,
0.1315,19,-57.9,22.2,0.0075,,
0.1400,20,-56.3,22.2,0.0075,,
0.1480,21,-54.7,22.2,0.0075,,
0.1560,22,-53.2,22.2,0.0075,,
0.1645,23,-51.5,22.3,0.0075,,
0.1725,24,-49.6,22.3,0.0075,,
0.1810,25,-47.7,22.3,0.0075,,
0.1895,26,-45.4,22.3,0.0075,,
0.1980,27,-43.3,22.3,0.0075,,
0.2055,28,-41.2,22.3,0.0070,,
0.2140,29,-38.7,22.3,0.0075,,
0.2225,30,-36.0,22.3,0.0075,,
0.2310,31,-33.2,22.3,0.0075,,
0.2395,32,-29.8,22.3,0.0075,,
0.2475,33,-26.5,22.3,0.0075,,
0.2555,34,-23.2,22.3,0.0075,,
0.2635,35,-19.4,22.3,0.0075,,
0.2720,36,-15.5,22.3,0.0075,,
0.2805,37,-11.7,22.3,0.0075,,
0.2890,38,-8.1,22.3,0.0075,,
0.2975,39,-4.4,22.3,0.0075,,
0.3050,40,-1.1,22.3,0.0070,,
0.3135,41,1.1,22.3,0.0075,,
0.3220,42,3.7,22.3,0.0075,,
0.3305,43,5.8,22.3,0.0075,,
0.3385,44,7.4,22.3,0.0075,,
0.3470,45,9.2,22.3,0.0075,,
0.3545,46,10.9,22.3,0.0070,,
0.3630,47,12.6,22.3,0.0075,,
0.3715,48,14.1,22.3,0.0075,,
0.3800,49,15.4,22.3,0.0075,,
0.3885,50,16.7,22.3,0.0075,,
0.3970,51,17.9,22.3,0.0075,,
0.4045,52,18.9,22.3,0.0070,,
0.4130,53,19.9,22.3,0.0075,,
0.4215,54,21.0,22.3,0.0075,,
0.4295,55,22.2,22.3,0.0075,,
0.4380,56,23.3,22.3,0.0075,,
0.4465,57,24.2,22.3,0.0075,,
0.4540,58,25.2,22.3,0.0070,,
0.4625,59,26.1,22.3,0.0075,,
0.4710,60,27.2,22.3,0.0075,,
0.4795,61,28.0,22.3,0.0075,,
0.4880,62,28.9,22.3,0.0075,,
0.4965,63,29.7,22.3,0.0075,,
0.5040,64,30.6,22.3,0.0070,,
0.5125,65,31.4,22.3,0.0075,,
0.5205,66,32.4,22.3,0.0075,,
0.5290,67,33.3,22.3,0.0075,,
0.5375,68,34.2,22.3,0.0075,,
0.5460,69,35.0,22.3,0.0075,,
0.5535,70,35.8,22.3,0.0070,,
0.5620,71,36.6,22.3,0.0075,,
0.5705,72,37.4,22.3,0.0075,,
0.5790,73,38.3,22.3,0.0075,,
0.5875,74,39.1,22.3,0.0075,,
0.5960,75,39.9,22.3,0.0075,,
0.6035,76,40.6,22.3,0.0070,,
0.6120,77,41.4,22.3,0.0075,,
0.6200,78,42.3,22.3,0.0075,,
0.6285,79,43.1,22.3,0.0075,,
0.6370,80,43.9,22.3,0.0075,,
0.6455,81,44.8,22.3,0.0075,,
0.6530,82,45.4,22.3,0.0070,,
0.6615,83,46.3,22.3,0.0075,,
0.6700,84,47.0,22.3,0.0075,,
0.6785,85,47.8,22.3,0.0075,,
0.6870,86,48.5,22.3,0.0075,,
0.6950,87,49.4,22.3,0.0075,,
0.7030,88,50.1,22.3,0.0075,,
0.7110,89,50.7,22.3,0.0075,,
0.7195,90,51.5,22.3,0.0075,,
0.7280,91,52.3,22.3,0.0075,,
0.7365,92,53.2,22.3,0.0075,,
0.7450,93,53.9,22.3,0.0075,,
0.7525,94,54.6,22.3,0.0070,,
