SampleID,TA,Mass,Sample.Index,TA_evap
junk,2257.616667,59.7177,1,2257.616667
D_31_1_BC,2143.189328,60.058,2,2141.965348
D_31_2_BC,2142.909332,60.1845,3,2140.463089
D_31_3_BC,2117.542449,59.7962,4,2113.918589
D_31_4_BC,2107.415865,60.0125,5,2102.6099
D_31_5_BC,2020.33132,59.9819,6,2014.575391
N_31_1_BC,2084.651982,59.9678,7,2077.529025
N_31_2_BC,2071.774509,60.0559,8,2063.520427
N_31_3_BC,2141.344388,59.9848,9,2131.599931
N_31_4_BC,2199.377044,59.9424,10,2188.123835
N_31_5_BC,2253.374754,59.98,11,2240.571489
D_31_1_AI,2157.052159,59.998,12,2143.578239
D_31_2_AI,2143.55312,59.9587,13,2128.954575
D_31_3_AI,2157.266417,60.377,14,2141.359178
D_31_4_AI,2113.903513,59.9564,15,2097.126501
N_31_1_AI,2064.819884,60.0347,16,2047.271839
N_31_2_AI,2137.162585,60.0028,17,2117.799844
N_31_3_AI,2185.693032,59.9268,18,2164.664859
N_31_4_AI,2250.470321,60.0103,19,2227.558293
