SampleID,TA,Mass,Sample.Index,TA_evap,note
JUNK,2279.539553,60.363,1,2279.539553,
D_32_1_BC,2093.081622,59.8947,2,2091.886258,
D_32_2_BC,2073.755326,59.978,3,2071.388025,
D_32_3_BC,2064.405765,60.2531,4,2060.87284,
D_32_4_BC,2055.647869,59.9426,5,2050.959961,
D_32_5_BC,1939.908666,59.9307,6,1934.38186,
N_32_1_BC,2071.935369,59.9712,7,2064.855863,
N_32_2_BC,2012.20664,59.968,8,2004.18988,redo
N_32_3_BC,2046.981676,59.8045,9,2037.666628,
N_32_4_BC,2093.582476,60.0487,10,2082.870571,
N_32_5_BC,2156.425885,60.2062,11,2144.173466,
D_32_1_AI,2194.686501,59.9086,12,2180.9775,
D_32_2_AI,2180.002084,59.8423,13,2165.155305,
D_32_3_AI,2133.095319,59.8912,14,2117.366312,
D_32_4_AI,2057.174556,60.0936,15,2040.847773,
N_32_1_AI,2213.428517,60.0835,16,2194.617509,
N_32_2_AI,2138.794134,59.9645,17,2119.416611,redo
N_32_3_AI,2206.541575,60.0114,18,2185.312822,redo
N_32_4_AI,2142.909962,60.1338,19,2121.093005,redo
