Table of Measured Values
Task,T1143
Scope 1/1, Sample 1/36 (junk)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-80.2,23.3,NaN,,
0.0010,1,-80.3,23.3,0.0010,,
0.0025,2,-80.2,23.3,0.0015,,
0.0050,3,-80.2,23.3,0.0020,,
0.0085,4,-80.3,23.3,0.0030,,
0.0150,5,-80.2,23.3,0.0060,,
0.0230,6,-80.2,23.3,0.0075,,
0.0315,7,-80.1,23.3,0.0075,,
0.0400,8,-79.9,23.3,0.0075,,
0.0485,9,-79.7,23.3,0.0075,,
0.0560,10,-79.4,23.3,0.0070,,
0.0645,11,-79.1,23.3,0.0075,,
0.0730,12,-78.5,23.3,0.0075,,
0.0815,13,-78.0,23.3,0.0075,,
0.0900,14,-77.4,23.3,0.0075,,
0.0980,15,-76.8,23.3,0.0075,,
0.1060,16,-76.2,23.3,0.0075,,
0.1140,17,-75.4,23.3,0.0075,,
0.1225,18,-74.7,23.3,0.0075,,
0.1310,19,-73.9,23.3,0.0075,,
0.1395,20,-73.0,23.3,0.0075,,
0.1470,21,-72.1,23.3,0.0070,,
0.1555,22,-71.0,23.3,0.0075,,
0.1640,23,-70.0,23.3,0.0075,,
0.1725,24,-68.9,23.3,0.0075,,
0.1810,25,-67.8,23.3,0.0075,,
0.1890,26,-66.7,23.3,0.0075,,
0.1975,27,-65.5,23.3,0.0075,,
0.2050,28,-64.3,23.3,0.0070,,
0.2135,29,-63.0,23.3,0.0075,,
0.2220,30,-61.7,23.3,0.0075,,
0.2305,31,-60.3,23.3,0.0075,,
0.2390,32,-59.0,23.3,0.0075,,
0.2475,33,-57.8,23.3,0.0075,,
0.2550,34,-56.5,23.3,0.0070,,
0.2635,35,-55.1,23.3,0.0075,,
0.2720,36,-53.9,23.3,0.0075,,
0.2800,37,-52.8,23.3,0.0075,,
0.2885,38,-51.5,23.3,0.0075,,
0.2970,39,-50.5,23.3,0.0075,,
0.3045,40,-49.3,23.3,0.0070,,
0.3130,41,-48.1,23.3,0.0075,,
0.3215,42,-46.9,23.3,0.0075,,
0.3300,43,-45.8,23.3,0.0075,,
0.3385,44,-44.8,23.3,0.0075,,
0.3465,45,-43.8,23.3,0.0075,,
0.3545,46,-42.8,23.3,0.0075,,
0.3630,47,-41.8,23.3,0.0075,,
0.3710,48,-40.8,23.3,0.0075,,
0.3795,49,-39.9,23.3,0.0075,,
0.3880,50,-39.0,23.3,0.0075,,
0.3965,51,-38.1,23.3,0.0075,,
0.4040,52,-37.4,23.3,0.0070,,
0.4125,53,-36.5,23.3,0.0075,,
0.4210,54,-35.6,23.3,0.0075,,
0.4295,55,-34.8,23.3,0.0075,,
0.4375,56,-33.9,23.3,0.0075,,
0.4460,57,-33.1,23.3,0.0070,,
0.4540,58,-32.4,23.3,0.0075,,
0.4620,59,-31.6,23.3,0.0075,,
0.4705,60,-30.8,23.3,0.0075,,
0.4790,61,-30.1,23.3,0.0075,,
0.4875,62,-29.3,23.3,0.0075,,
0.4960,63,-28.6,23.3,0.0070,,
0.5035,64,-27.9,23.3,0.0070,,
0.5120,65,-27.2,23.3,0.0075,,
0.5205,66,-26.5,23.3,0.0075,,
0.5285,67,-25.8,23.3,0.0075,,
0.5370,68,-25.1,23.3,0.0075,,
0.5455,69,-24.4,23.3,0.0070,,
0.5530,70,-23.8,23.3,0.0070,,
0.5615,71,-23.1,23.3,0.0075,,
0.5700,72,-22.4,23.3,0.0075,,
0.5785,73,-21.7,23.3,0.0075,,
0.5870,74,-21.0,23.3,0.0075,,
0.5955,75,-20.4,23.3,0.0075,,
0.6030,76,-19.8,23.3,0.0070,,
0.6115,77,-19.1,23.3,0.0075,,
0.6200,78,-18.5,23.3,0.0075,,
0.6280,79,-17.8,23.3,0.0075,,
0.6365,80,-17.2,23.3,0.0075,,
0.6450,81,-16.6,23.3,0.0070,,
0.6525,82,-16.0,23.3,0.0070,,
0.6610,83,-15.3,23.3,0.0075,,
0.6695,84,-14.7,23.3,0.0075,,
0.6780,85,-14.0,23.3,0.0075,,
0.6865,86,-13.4,23.3,0.0075,,
0.6950,87,-12.9,23.3,0.0075,,
0.7025,88,-12.2,23.3,0.0070,,
0.7110,89,-11.6,23.3,0.0075,,
0.7190,90,-11.0,23.3,0.0075,,
0.7275,91,-10.3,23.3,0.0075,,
0.7360,92,-9.7,23.3,0.0075,,
0.7445,93,-9.1,23.3,0.0070,,
0.7520,94,-8.6,23.3,0.0070,,
0.7605,95,-8.0,23.3,0.0075,,
0.7690,96,-7.3,23.3,0.0075,,
