Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-56.4,NaN,20.2,,
0.0010,1,-56.4,0.0010,20.2,,
0.0025,2,-56.5,0.0015,20.2,,
0.0050,3,-56.5,0.0025,20.2,,
0.0085,4,-56.6,0.0030,20.2,,
0.0145,5,-56.3,0.0055,20.2,,
0.0230,6,-55.8,0.0075,20.2,,
0.0315,7,-55.3,0.0075,20.2,,
0.0400,8,-54.6,0.0075,20.2,,
0.0480,9,-53.6,0.0080,20.2,,
0.0560,10,-52.3,0.0075,20.2,,
0.0640,11,-51.0,0.0075,20.2,,
0.0725,12,-49.8,0.0075,20.2,,
0.0810,13,-48.2,0.0075,20.2,,
0.0895,14,-46.4,0.0075,20.2,,
0.0980,15,-45.0,0.0085,20.2,,
0.1055,16,-43.2,0.0070,20.2,,
0.1140,17,-41.3,0.0075,20.2,,
0.1225,18,-39.2,0.0075,20.2,,
0.1305,19,-37.0,0.0075,20.2,,
0.1390,20,-34.7,0.0075,20.2,,
0.1475,21,-32.5,0.0085,20.2,,
0.1550,22,-30.1,0.0070,20.2,,
0.1635,23,-27.2,0.0075,20.2,,
0.1720,24,-24.4,0.0075,20.2,,
0.1805,25,-21.8,0.0075,20.2,,
0.1885,26,-19.0,0.0075,20.2,,
0.1965,27,-16.6,0.0075,20.2,,
0.2045,28,-14.1,0.0075,20.2,,
0.2130,29,-11.9,0.0075,20.2,,
0.2215,30,-10.0,0.0075,20.2,,
0.2300,31,-7.9,0.0075,20.2,,
0.2385,32,-6.0,0.0075,20.2,,
0.2460,33,-4.3,0.0070,20.2,,
0.2545,34,-2.8,0.0075,20.2,,
0.2630,35,-1.4,0.0075,20.2,,
0.2710,36,0.2,0.0075,20.2,,
0.2795,37,1.4,0.0075,20.2,,
0.2880,38,2.7,0.0075,20.2,,
0.2955,39,3.8,0.0070,20.2,,
0.3040,40,5.1,0.0075,20.2,,
0.3125,41,6.5,0.0075,20.2,,
0.3210,42,7.4,0.0075,20.2,,
0.3295,43,8.4,0.0075,20.2,,
0.3375,44,9.7,0.0075,20.2,,
0.3455,45,10.5,0.0075,20.2,,
0.3535,46,11.6,0.0075,20.2,,
0.3620,47,12.5,0.0075,20.2,,
0.3705,48,13.4,0.0075,20.2,,
0.3790,49,14.4,0.0075,20.2,,
0.3875,50,15.3,0.0075,20.2,,
0.3955,51,16.1,0.0080,20.2,,
0.4035,52,17.0,0.0075,20.2,,
0.4115,53,17.9,0.0075,20.2,,
